Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN RUŠEC                                       ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: ŠIMO MARKSER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: ŽELJKO PECEK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: MIROSLAV RAJH                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, Nositelj liste: BRANIMIR GLAVAŠ, dipl.iur.                                        ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ERIKA ÈILOG;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: IVAN VEKIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: ANTUN LASLO                                 ;NEOVISNA LISTA, Nositelj liste: BORIS MIKŠIÆ                                 ;SLAVONSKO-BARANJSKA HRVATSKA STRANKA - SBHS, Nositelj liste: DAMIR JURIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ                                 ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: ZDRAVKO PEKO                                 
GOSPIÆ;2;;7;7;7;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;3;0
GOSPIÆ;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRUBIŠNO POLJE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HRVATSKA KOSTAJNICA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HVAR;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ILOK;1;;3;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
IMOTSKI;1;;8;8;8;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
IVANIÆ-GRAD;1;;2;2;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
KARLOVAC;1;;5;5;5;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0
KARLOVAC;2;;9;9;9;0;0;0;0;0;0;0;0;5;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0
KARLOVAC;3;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
KARLOVAC;4;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KAŠTELA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KNIN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KNIN;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KOPRIVNICA;1;;2;2;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KORÈULA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KRAPINA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
KRIŽEVCI;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KRK;1;;5;5;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KUTINA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
LABIN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEPOGLAVA;1;;67;67;66;1;0;2;0;2;0;0;0;24;0;1;4;1;3;0;18;0;1;0;1;0;1;8;0
MAKARSKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MALI LOŠINJ;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
METKOVIÆ;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NAŠICE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NIN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVA GRADIŠKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVALJA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVI MAROF;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
NOVSKA;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OBROVAC;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OGULIN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPATIJA;1;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ORAHOVICA;1;;23;23;23;0;0;0;0;0;0;0;0;15;0;0;0;0;0;2;0;0;0;0;1;0;0;4;1
OSIJEK;1;;51;51;48;3;1;0;1;0;0;0;0;12;0;1;3;0;2;0;17;0;1;0;0;0;0;9;1
OSIJEK;2;;10;10;10;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;5;0
OTOÈAC;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PAG;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PAKRAC;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
