Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN RUŠEC                                       ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: ŠIMO MARKSER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: ŽELJKO PECEK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: MIROSLAV RAJH                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, Nositelj liste: BRANIMIR GLAVAŠ, dipl.iur.                                        ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ERIKA ÈILOG;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: IVAN VEKIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: ANTUN LASLO                                 ;NEOVISNA LISTA, Nositelj liste: BORIS MIKŠIÆ                                 ;SLAVONSKO-BARANJSKA HRVATSKA STRANKA - SBHS, Nositelj liste: DAMIR JURIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ                                 ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: ZDRAVKO PEKO                                 
OSIJEK;89;1018;716;716;716;0;2;1;0;4;3;3;0;214;1;21;7;4;119;30;110;0;3;1;0;4;4;184;1
OSIJEK;90;1220;630;603;587;16;0;1;0;2;5;2;0;141;5;16;5;7;127;16;102;2;4;4;0;0;1;146;1
OSIJEK;91;1548;900;898;888;10;0;2;1;4;1;11;2;212;0;36;11;8;125;34;215;0;3;2;1;2;5;211;2
OSIJEK;92;1028;668;668;657;11;1;1;0;3;1;0;0;198;1;26;8;2;91;28;124;0;6;3;0;3;6;155;0
OSIJEK;93;734;468;468;463;5;0;0;0;1;3;7;0;118;1;17;5;7;58;18;109;0;13;1;0;1;3;100;1
OSIJEK;94;1146;669;666;663;3;0;3;0;7;0;7;0;172;4;23;9;6;77;49;165;0;4;0;0;1;2;133;1
OSIJEK;95;890;540;540;532;8;0;1;0;1;1;2;0;155;0;20;6;2;77;29;118;0;8;0;0;0;1;110;1
OSIJEK;96;696;453;452;447;5;0;0;0;1;1;3;0;104;1;11;1;5;53;22;114;1;2;1;0;2;2;122;1
OSIJEK;97;907;599;599;597;2;1;0;1;2;0;3;0;156;3;26;6;3;78;41;119;0;1;1;1;6;4;144;1
OSIJEK;98;642;395;395;392;3;1;0;0;2;1;1;0;107;0;11;10;2;72;17;73;0;4;1;0;8;2;79;1
OSIJEK;99;673;420;420;419;1;0;0;0;3;1;1;0;128;0;8;0;3;128;26;57;0;1;0;0;2;2;59;0
OSIJEK;100;1242;777;777;767;10;0;0;1;1;2;2;1;225;1;15;16;2;181;50;109;1;1;0;0;4;1;152;2
OSIJEK;101;575;359;359;356;3;0;1;1;2;1;0;0;107;1;6;5;4;67;24;55;0;7;2;0;0;1;72;0
OSIJEK;102;1159;720;720;714;6;1;3;2;2;0;4;0;242;3;23;5;6;101;34;88;0;3;0;0;2;2;191;2
OSIJEK;103;166;65;65;65;0;0;0;0;0;0;0;0;23;2;1;0;0;9;1;19;0;0;0;0;0;0;10;0
OSIJEK;104;1375;859;859;844;15;2;4;3;2;5;4;0;247;0;51;14;9;103;33;184;2;4;1;0;1;5;169;1
OSIJEK;105;124;66;66;66;0;0;0;0;0;0;0;0;7;0;1;0;0;3;6;20;0;0;0;0;0;0;29;0
OSIJEK;106;1395;796;796;791;5;1;1;0;6;5;7;0;224;2;26;5;6;110;39;133;0;3;3;0;1;2;215;2
OSIJEK;107;1454;895;895;885;10;0;3;0;3;6;4;1;227;1;32;5;9;151;52;119;1;5;2;0;3;1;258;2
OSIJEK;108;1018;576;576;568;8;2;0;0;4;0;4;0;153;0;21;1;8;76;19;130;0;1;1;0;5;3;139;1
OSIJEK;109;740;376;366;358;8;1;0;2;0;2;0;1;65;0;9;1;5;34;22;64;1;0;2;0;1;1;145;2
OSIJEK;110;703;376;375;364;11;0;0;0;2;1;1;0;68;1;11;5;4;49;16;55;0;0;3;3;0;2;141;2
OSIJEK;111;524;341;341;340;1;1;1;0;1;1;1;1;63;0;10;1;2;110;11;62;0;0;1;0;2;1;71;0
SLATINA;1;471;340;340;329;11;0;2;5;2;0;1;1;160;2;9;41;1;7;6;54;0;0;0;1;3;1;33;0
SLATINA;2;171;112;112;110;2;0;1;1;1;0;6;0;41;3;2;6;0;4;11;0;0;0;0;0;0;0;34;0
SLATINA;3;236;139;139;132;7;1;2;0;1;0;2;0;62;0;2;8;1;4;10;10;1;1;0;0;0;1;26;0
SLATINA;4;40;22;22;22;0;0;0;0;0;0;0;1;13;0;0;2;0;0;0;3;0;0;0;0;0;0;3;0
SLATINA;5;255;187;187;185;2;0;2;0;3;0;0;2;87;1;7;17;3;3;2;24;0;0;0;0;0;1;33;0
SLATINA;6;45;35;35;32;3;1;0;0;0;0;0;0;12;0;0;0;1;0;2;7;0;0;0;0;1;2;6;0
SLATINA;7;470;315;315;314;1;3;0;3;1;2;2;0;204;0;7;10;4;11;15;15;0;0;0;1;0;2;34;0
SLATINA;8;68;52;52;51;1;1;0;0;0;0;0;0;30;0;1;1;1;0;1;2;0;0;0;1;0;0;13;0
SLATINA;9;84;74;74;72;2;0;1;1;1;0;0;1;30;0;8;1;0;2;1;10;0;0;0;0;0;0;16;0
SLATINA;10;208;123;123;122;1;2;0;2;1;1;3;0;42;0;2;17;1;4;1;4;0;0;0;0;0;0;42;0
SLATINA;11;347;187;187;186;1;0;2;0;1;1;2;0;89;2;3;9;1;21;5;23;0;0;1;0;0;0;26;0
SLATINA;12;100;72;72;70;2;0;1;2;0;0;0;0;40;0;2;9;1;1;2;2;1;0;0;0;0;0;9;0
SLATINA;13;80;64;64;63;1;0;1;1;0;0;1;0;39;0;0;2;0;2;1;3;0;0;0;0;1;0;10;2
SLATINA;14;720;443;443;425;18;2;0;5;4;0;1;0;214;4;9;42;1;26;19;32;1;0;0;1;6;2;55;1
SLATINA;15;756;439;439;434;5;0;0;3;2;4;1;2;214;0;7;8;5;9;25;22;1;1;0;1;0;2;127;0
SLATINA;16;1439;899;899;895;4;3;0;1;1;1;3;2;332;1;43;21;5;27;37;62;1;1;3;0;1;2;348;0
SLATINA;17;776;466;466;461;5;1;0;2;1;0;2;1;150;2;24;16;0;9;37;24;0;2;3;0;2;3;180;2
SLATINA;18;885;501;501;483;18;0;0;3;1;0;0;0;182;0;26;14;1;23;18;41;0;0;3;1;1;0;168;1
SLATINA;19;733;426;426;422;4;0;2;0;0;1;2;0;110;1;29;13;0;18;23;42;1;0;0;0;1;1;177;1
SLATINA;20;1519;865;865;858;7;0;1;0;0;6;4;0;328;0;32;38;5;22;31;64;0;1;3;0;5;4;313;1
SLATINA;21;1064;647;647;641;6;1;0;1;0;5;2;0;263;0;18;17;6;18;18;78;0;2;1;0;2;5;203;1
SLATINA;22;1492;887;887;882;5;0;0;3;1;2;1;0;333;2;32;49;2;28;19;79;1;0;3;2;4;6;313;2
SLATINA;23;923;554;554;547;7;1;0;0;3;2;0;0;239;0;7;19;5;20;23;61;0;2;1;0;1;3;158;2
