Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MIRKO MAKAUS                                        ;AKCIJA MLADIH - AM, Nositelj liste: MARIO ALEMPIJEVIÆ, dipl.oec.                                                    ;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: RADOVAN SMOKVINA, dipl.ing.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: IVAN LESINGER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: NENAD PETROVIÆ                                       ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: ANTO ANUŠIÆ                                 ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: SILVANO HRELJA                    ;HRVATSKI DEMOKRŠÆANI - DEMOKRŠÆANI, Nositelj liste: SREÆKO BUTORAC, dr.med.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA ŠKRIBULJA, prof.;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ                                        ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS, STRANKA UMIROVLJENIKA - SU, Nositelj liste: mr.sc. IVAN JANKO;ISTARSKI DEMOKRATSKI SABOR - IDS, Nositelj liste: DAMIR KAJIN                    ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: VLADIMIR BRKLJAÈA;LJEVICA HRVATSKE - LJEVICA, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: NIKOLA IVANIŠ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;ZELENA ALTERNATIVA-STRANKA POTROŠAÈA - ZA-SPOT, Nositelj liste: PETAR CIGANOVIÆ                                 ;ZELENA STRANKA - ZS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, Nositelj liste: ALJOŠA BABIÆ                                 ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, DEMOKRATSKI CENTAR - DC, Nositelj liste: mr.sc. JOSIP-ANTON RUPNIK;;;
DUBROVNIK;8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUBROVNIK;9;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;
DUBROVNIK;10;;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUBROVNIK;11;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUBROVNIK;12;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
DUBROVNIK;13;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUBROVNIK;14;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUBROVNIK;15;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;
DUBROVNIK;16;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;
DUBROVNIK;17;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUBROVNIK;18;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;
DUBROVNIK;19;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUBROVNIK;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUBROVNIK;21;;5;5;4;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;;;
DUBROVNIK;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUBROVNIK;23;;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;;;
DUBROVNIK;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
DUGO SELO;1;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ÐAKOVO;1;;4;4;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ÐURÐEVAC;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
GAREŠNICA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
GLINA;1;;7;7;7;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
GOSPIÆ;1;;4;4;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
GOSPIÆ;2;;17;15;15;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;1;0;3;0;0;1;;;
GOSPIÆ;3;;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
GRUBIŠNO POLJE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
HRVATSKA KOSTAJNICA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
HVAR;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ILOK;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
IMOTSKI;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
IVANIÆ-GRAD;1;;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
KARLOVAC;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KARLOVAC;2;;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KARLOVAC;3;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;;;
KARLOVAC;4;;9;9;9;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;;;
KAŠTELA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KNIN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KNIN;2;;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
KOPRIVNICA;1;;6;6;6;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;;;
KORÈULA;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
KRAPINA;1;;9;9;9;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;;;
KRIŽEVCI;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
KRK;1;;9;9;9;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;;;
KUTINA;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
LABIN;1;;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;;;
LEPOGLAVA;1;;36;36;36;0;0;0;0;0;0;5;0;1;0;0;3;0;0;0;1;0;11;0;0;3;12;0;0;0;;;
MAKARSKA;1;;3;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
MALI LOŠINJ;1;;5;5;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;;;
METKOVIÆ;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NAŠICE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NIN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NOVA GRADIŠKA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NOVALJA;1;;10;10;10;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
NOVI MAROF;1;;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;;;
NOVSKA;1;;4;4;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
OBROVAC;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
OGULIN;1;;3;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
OPATIJA;1;;12;12;12;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;;;
ORAHOVICA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
OSIJEK;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
OSIJEK;2;;10;10;10;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;;;
OTOÈAC;1;;9;9;9;0;0;0;0;0;0;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
PAG;1;;8;8;8;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;;;
PAKRAC;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
PAZIN;1;;12;12;11;1;1;0;0;0;0;1;1;0;0;0;0;2;0;0;0;1;2;0;0;0;3;0;0;0;;;
PLOÈE;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
POREÈ;1;;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;;
POŽEGA;1;;7;7;7;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;;;
POŽEGA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
POŽEGA;3;;4;4;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;;
PULA;1;;4;4;4;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
PULA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
PULA;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
PULA;4;;98;98;98;0;0;1;0;0;1;17;0;4;2;1;7;3;0;0;0;0;12;0;3;0;42;1;2;2;;;
PULA;5;;15;15;14;1;0;1;0;0;0;4;0;0;0;0;1;1;0;0;0;2;0;0;0;0;5;0;0;0;;;
PULA;6;;7;7;7;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;;;
PULA;7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
PULA;8;;14;14;12;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;1;4;0;0;1;;;
PULA;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
PULA;10;;15;15;15;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;;;
PULA;11;;8;8;8;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;;;
RAB;1;;14;12;12;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0;;;
RIJEKA;1;;76;76;75;1;0;2;0;1;0;13;0;3;1;1;3;1;0;1;0;0;4;1;2;1;38;0;0;3;;;
RIJEKA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
RIJEKA;3;;9;9;9;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;0;0;;;
RIJEKA;4;;8;8;7;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;;;
RIJEKA;5;;7;7;7;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;3;0;0;0;;;
RIJEKA;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
RIJEKA;7;;5;5;5;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
RIJEKA;8;;50;50;50;0;0;0;0;0;0;16;0;4;0;0;0;3;0;0;0;1;3;0;0;0;23;0;0;0;;;
ROVINJ;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;;
SAMOBOR;1;;6;6;5;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
SENJ;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SINJ;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SINJ;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SISAK;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SISAK;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SISAK;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SISAK;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SISAK;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SISAK;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SISAK;7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SISAK;8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SISAK;9;;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;;;
SKRADIN;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SLATINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SLAVONSKI BROD;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SOLIN;1;;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
SPLIT;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;2;;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;3;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
SPLIT;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;7;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
SPLIT;8;;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;11;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;12;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SPLIT;13;;16;16;16;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13;0;0;0;;;
SUPETAR;1;;3;3;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;;
SVETI IVAN ZELINA;1;;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
ŠIBENIK;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
