Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MIRKO MAKAUS                                        ;AKCIJA MLADIH - AM, Nositelj liste: MARIO ALEMPIJEVIÆ, dipl.oec.                                                    ;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: RADOVAN SMOKVINA, dipl.ing.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: IVAN LESINGER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: NENAD PETROVIÆ                                       ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: ANTO ANUŠIÆ                                 ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: SILVANO HRELJA                    ;HRVATSKI DEMOKRŠÆANI - DEMOKRŠÆANI, Nositelj liste: SREÆKO BUTORAC, dr.med.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA ŠKRIBULJA, prof.;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ                                        ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS, STRANKA UMIROVLJENIKA - SU, Nositelj liste: mr.sc. IVAN JANKO;ISTARSKI DEMOKRATSKI SABOR - IDS, Nositelj liste: DAMIR KAJIN                    ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: VLADIMIR BRKLJAÈA;LJEVICA HRVATSKE - LJEVICA, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: NIKOLA IVANIŠ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;ZELENA ALTERNATIVA-STRANKA POTROŠAÈA - ZA-SPOT, Nositelj liste: PETAR CIGANOVIÆ                                 ;ZELENA STRANKA - ZS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, Nositelj liste: ALJOŠA BABIÆ                                 ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, DEMOKRATSKI CENTAR - DC, Nositelj liste: mr.sc. JOSIP-ANTON RUPNIK;;;
KRK;5;466;255;255;253;2;0;1;0;0;3;57;0;36;0;1;6;15;1;1;0;1;6;0;1;23;97;0;1;3;;;
KRK;6;725;449;449;436;13;1;1;1;3;1;137;6;45;7;3;14;14;0;1;1;0;0;0;3;72;124;1;1;0;;;
KRK;7;339;220;220;219;1;1;5;0;0;2;42;3;17;1;0;2;9;0;1;0;0;4;1;2;38;87;2;1;1;;;
KRK;8;407;243;243;239;4;1;6;0;3;3;53;5;12;4;0;7;13;0;1;0;2;3;1;3;29;91;0;1;1;;;
KRK;9;390;281;281;277;4;0;2;0;1;2;67;4;20;6;1;4;15;2;1;0;1;5;1;0;39;103;1;0;2;;;
LABIN;1;639;407;407;405;2;0;1;0;0;1;57;0;8;3;0;2;16;0;0;0;5;111;4;4;22;169;0;0;2;;;
LABIN;2;820;466;465;459;6;0;0;1;0;2;49;1;31;0;0;2;31;0;0;0;2;132;0;1;10;190;2;1;4;;;
LABIN;3;201;128;128;128;0;0;0;0;0;2;4;0;6;0;1;4;6;0;0;0;1;52;0;0;6;46;0;0;0;;;
LABIN;4;752;459;459;453;6;0;1;0;1;0;49;0;32;3;2;4;29;1;0;0;3;128;0;3;9;185;0;2;1;;;
LABIN;5;217;108;108;106;2;0;1;0;0;2;6;0;5;0;0;2;7;0;0;0;1;39;0;0;0;43;0;0;0;;;
LABIN;6;1165;660;660;651;9;1;0;0;0;0;62;0;32;2;1;7;45;0;0;0;8;174;3;11;4;295;2;2;2;;;
LABIN;7;577;327;327;322;5;1;0;0;0;1;29;1;10;1;1;1;28;0;0;0;4;88;1;4;7;138;3;1;3;;;
LABIN;8;548;336;336;327;9;0;0;2;2;0;37;3;8;1;0;1;27;0;0;1;2;91;0;2;6;142;1;0;1;;;
LABIN;9;819;469;469;460;9;0;0;1;1;4;47;1;19;0;0;8;30;2;0;0;3;117;0;12;6;206;0;2;1;;;
LABIN;10;1101;603;603;589;14;0;2;0;0;0;72;1;11;3;1;7;49;0;0;0;4;133;1;2;7;289;1;3;3;;;
LABIN;11;657;372;372;365;7;1;1;0;0;1;30;0;14;1;1;0;36;0;0;1;3;95;1;2;7;170;1;0;0;;;
LABIN;12;1102;739;739;729;10;0;5;0;0;6;61;0;42;3;1;5;58;0;1;0;11;188;2;5;16;316;1;1;7;;;
LABIN;13;871;568;568;558;10;0;1;0;0;3;46;0;24;2;2;2;32;0;1;1;8;161;1;2;11;259;0;2;0;;;
LABIN;14;1028;645;645;632;13;0;1;0;2;4;53;1;22;2;1;2;43;0;0;0;11;182;0;3;7;293;0;2;3;;;
LABIN;15;596;379;379;374;5;0;0;0;2;2;27;2;10;2;2;3;34;0;0;0;5;121;0;5;10;146;0;2;1;;;
LABIN;16;178;96;96;94;2;0;0;0;0;0;8;0;2;0;1;0;11;0;0;0;0;40;0;0;2;27;0;1;2;;;
MALI LOŠINJ;1;985;570;570;566;4;0;3;0;1;1;144;9;35;2;5;14;43;3;0;1;1;17;0;9;16;259;1;1;1;;;
MALI LOŠINJ;2;829;527;527;521;6;0;1;0;1;3;133;3;21;6;2;9;35;1;0;0;1;21;0;7;28;242;0;3;4;;;
MALI LOŠINJ;3;1072;674;674;670;4;1;6;0;1;2;214;9;32;4;5;13;32;3;0;0;5;12;2;10;29;288;0;1;1;;;
MALI LOŠINJ;4;1354;791;791;784;7;0;3;1;1;5;264;7;59;8;2;23;49;2;1;1;1;32;4;11;37;270;0;1;2;;;
MALI LOŠINJ;5;1190;775;775;768;7;0;8;0;3;3;268;6;44;3;4;16;35;2;0;1;1;29;2;6;41;291;1;0;4;;;
MALI LOŠINJ;6;820;458;458;456;2;0;1;1;2;4;157;2;18;5;2;21;20;1;0;0;4;21;0;9;17;169;0;1;1;;;
MALI LOŠINJ;7;163;61;61;60;1;0;2;0;1;3;13;1;3;1;0;4;3;0;1;0;1;1;0;1;8;16;0;0;1;;;
MALI LOŠINJ;8;349;91;91;89;2;0;0;0;1;0;51;1;5;0;0;6;7;0;0;0;1;0;0;0;2;15;0;0;0;;;
MALI LOŠINJ;9;142;65;65;64;1;0;0;1;0;0;15;0;23;0;0;0;0;0;0;0;0;2;1;0;5;17;0;0;0;;;
MALI LOŠINJ;10;255;135;135;131;4;0;1;0;0;0;48;1;6;1;2;2;2;0;0;0;0;1;0;0;6;60;0;0;1;;;
MALI LOŠINJ;11;515;294;294;294;0;0;3;1;2;1;77;0;18;3;0;4;10;0;0;0;2;18;0;4;14;132;1;2;2;;;
MALI LOŠINJ;12;70;42;42;42;0;0;0;0;0;0;14;0;2;0;1;0;1;0;0;0;1;1;1;1;4;16;0;0;0;;;
MALI LOŠINJ;13;96;53;53;49;4;0;0;0;0;0;15;0;1;1;1;2;8;0;0;0;0;3;0;0;3;15;0;0;0;;;
NOVIGRAD;1;1626;845;845;838;7;1;0;1;4;3;224;3;23;6;0;11;45;0;0;0;6;243;1;3;19;233;1;1;10;;;
NOVIGRAD;2;1391;856;856;846;10;0;0;0;0;3;123;1;20;5;2;9;56;1;2;1;2;259;1;6;7;334;3;3;8;;;
NOVIGRAD;3;597;323;323;321;2;0;1;0;0;2;86;0;11;0;0;0;12;0;0;0;2;98;0;2;2;101;0;2;2;;;
OPATIJA;1;881;586;586;583;3;0;6;2;1;1;104;15;45;2;0;7;35;1;0;0;2;67;0;9;12;270;1;0;3;;;
OPATIJA;2;804;482;482;478;4;1;11;0;0;3;103;6;20;1;0;6;27;3;0;0;3;65;0;2;11;210;1;0;5;;;
OPATIJA;3;1017;711;711;703;8;0;10;0;0;1;133;5;31;3;1;6;55;5;1;1;6;63;1;6;17;356;1;0;1;;;
OPATIJA;4;917;594;594;589;5;1;3;0;0;2;139;5;35;1;0;3;25;0;0;0;0;63;4;4;11;291;1;1;0;;;
OPATIJA;5;968;613;613;597;16;0;15;1;1;3;118;3;18;5;0;11;33;1;0;0;4;62;3;2;25;287;0;2;3;;;
OPATIJA;6;312;221;221;216;5;0;3;0;0;0;38;1;4;2;0;3;13;1;0;0;2;32;0;0;6;110;1;0;0;;;
OPATIJA;7;899;558;558;550;8;0;38;1;0;3;104;4;16;4;1;7;23;0;0;1;5;85;0;4;12;239;0;1;2;;;
OPATIJA;8;493;279;279;275;4;1;4;1;0;2;34;2;8;0;1;5;13;0;1;1;4;45;3;3;2;144;0;1;0;;;
OPATIJA;9;852;522;522;517;5;0;4;0;0;1;119;6;25;2;2;2;21;0;4;0;0;69;1;6;16;233;1;3;2;;;
OPATIJA;10;520;308;308;305;3;1;2;0;0;0;55;3;21;2;0;2;18;1;0;0;0;28;1;4;5;159;0;1;2;;;
OPATIJA;11;1231;738;738;733;5;0;14;0;0;0;114;1;53;4;3;10;30;1;0;0;4;87;0;10;11;383;2;3;3;;;
OPATIJA;12;798;471;470;463;7;0;4;0;2;4;85;2;22;2;1;4;28;0;0;0;2;80;1;4;8;211;2;0;1;;;
OPATIJA;13;949;575;575;571;4;0;6;0;0;5;97;5;38;2;1;3;37;2;0;0;4;69;1;4;10;283;0;1;3;;;
OPATIJA;14;889;545;545;539;6;0;2;0;0;2;93;5;38;2;1;5;27;1;0;0;4;70;1;4;8;272;0;1;3;;;
PAZIN;1;371;236;236;232;4;1;1;0;1;1;51;1;4;1;0;2;18;0;0;0;3;82;0;1;3;62;0;0;0;;;
PAZIN;2;130;78;78;72;6;0;0;0;0;0;10;1;0;0;1;4;3;0;0;0;2;36;0;0;1;14;0;0;0;;;
PAZIN;3;487;311;311;303;8;0;2;0;0;2;57;3;3;5;1;18;19;1;0;0;2;108;0;1;4;74;0;2;1;;;
PAZIN;4;702;423;420;408;12;2;2;0;0;1;91;2;15;2;2;6;17;1;0;0;8;153;3;2;5;91;0;2;3;;;
PAZIN;5;224;122;122;117;5;0;0;1;1;1;9;1;22;1;1;1;4;2;0;0;1;41;0;0;1;30;0;0;0;;;
PAZIN;6;136;70;70;67;3;0;0;0;0;0;12;1;0;0;0;3;4;0;0;0;2;41;0;0;0;4;0;0;0;;;
PAZIN;7;416;264;264;257;7;0;2;0;0;0;28;1;8;0;0;3;18;1;0;0;3;104;0;1;0;81;0;3;4;;;
PAZIN;8;1281;878;878;864;14;1;5;0;2;7;132;4;37;3;4;7;53;3;0;1;7;258;0;7;7;311;2;2;11;;;
PAZIN;9;316;206;206;205;1;0;2;0;0;0;20;0;10;1;1;3;19;0;0;0;0;76;1;0;0;67;1;1;3;;;
PAZIN;10;1171;838;838;819;19;1;3;1;0;2;111;2;14;6;3;6;55;3;0;0;3;251;2;5;7;333;4;2;5;;;
PAZIN;11;541;308;308;303;5;0;0;0;0;4;57;1;14;1;0;4;27;2;0;1;5;81;0;2;4;97;0;0;3;;;
PAZIN;12;1296;893;893;881;12;2;4;0;2;4;143;3;36;5;2;16;63;1;0;1;5;283;1;2;10;288;0;3;7;;;
PAZIN;13;277;145;145;143;2;0;1;1;3;0;33;3;5;1;1;3;9;0;0;0;1;49;0;1;4;26;0;0;2;;;
PAZIN;14;127;47;47;46;1;0;0;0;0;0;4;0;2;0;0;1;1;0;0;0;2;24;0;1;0;11;0;0;0;;;
PAZIN;15;232;149;149;145;4;0;1;0;0;0;26;0;3;3;0;5;10;2;0;0;3;46;1;1;2;40;0;1;1;;;
POREÈ;1;424;244;244;242;2;0;0;0;0;0;41;0;4;1;1;1;6;1;0;0;2;122;2;2;0;59;0;0;0;;;
POREÈ;2;1114;664;660;650;10;2;1;0;2;6;146;0;22;4;1;6;28;0;0;0;2;221;0;1;4;202;1;1;0;;;
POREÈ;3;593;362;362;354;8;0;0;0;2;3;57;1;25;1;0;4;8;2;0;0;3;142;0;3;0;100;0;0;3;;;
POREÈ;4;987;619;619;614;5;0;1;0;0;0;102;2;21;5;2;10;32;3;1;0;4;207;0;3;4;214;0;2;1;;;
POREÈ;5;1265;644;644;633;11;0;4;1;1;5;140;7;28;3;0;10;22;3;0;0;3;211;0;1;2;187;0;0;5;;;
POREÈ;6;1308;731;730;721;9;0;4;0;0;0;118;0;26;3;1;5;30;1;0;0;7;229;6;5;2;276;0;5;3;;;
