Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: JURE GRUBIŠIÆ                                        ;AKCIJA MLADIH - AM, Nositelj liste: LUKA BADEL                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENA STRANKA - ZS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: dr.sc. JOŠKO KOVAÈ, dipl.ing.                         ;DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: ANTE TEŠIJA;DEMOKRATSKI CENTAR - DC, Nositelj liste: JOŠKO MORIÆ;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: LUKA PODRUG, dipl. iur.                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: ANTE BARABA;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, Nositelj liste: STANKO ZRILIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ANA PETROV                                       ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: LUKŠA KEVO;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: IVIÆ PAŠALIÆ;NEOVISNA LISTA, Nositelj liste: DRAGO KRPINA                                 ;NEOVISNA LISTA, Nositelj liste: mr.sc. ÐULA RUŠINOVIÆ-SUNARA                                 ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS, Nositelj liste: dr.sc. MILORAD PUPOVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, LJEVICA HRVATSKE - LJEVICA, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: ZORAN RESTOVIÆ                                 ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: BORIS NIKOLIÆ-MALORA;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: LOVRO RUMORA;;;
LIŠANE OSTROVIÈKE  ;3;800;459;459;448;11;1;0;0;0;0;4;1;3;296;4;3;57;3;16;3;0;0;8;0;29;13;3;3;1;;;
LOVINAC  ;5;1351;688;688;681;7;1;0;3;2;1;4;0;6;492;0;8;24;1;14;18;0;2;2;2;17;78;3;3;0;;;
MARINA  ;16;4356;2755;2750;2645;105;3;15;23;12;21;20;5;31;1135;4;64;41;28;75;230;12;16;9;12;4;804;15;51;15;;;
MUÆ  ;15;3439;2055;2055;2007;48;4;4;4;28;9;3;5;75;1127;8;32;160;18;56;94;7;11;5;9;0;303;7;25;13;;;
MURTER-KORNATI  ;3;1966;1179;1179;1155;24;0;4;3;13;5;5;0;10;392;6;55;161;12;58;47;3;21;12;6;4;311;3;17;7;;;
NOVIGRAD  ;3;2406;1419;1419;1390;29;3;5;4;4;4;8;1;6;1001;30;44;34;5;33;26;1;5;5;1;2;159;2;5;2;;;
OKRUG  ;4;3884;1740;1728;1673;55;0;7;6;5;2;5;1;5;721;3;69;30;15;138;46;4;17;4;10;3;549;9;19;5;;;
OTOK  ;5;4783;2837;2837;2781;56;3;2;2;7;4;11;3;53;2009;8;18;43;13;71;95;40;27;40;4;6;276;2;33;11;;;
PAKOŠTANE  ;5;3849;2322;2321;2258;63;5;12;10;7;5;11;3;11;1011;9;249;241;16;157;64;2;16;14;5;4;360;6;22;18;;;
PAŠMAN  ;8;2121;1252;1250;1220;30;0;4;3;5;2;8;2;3;582;8;68;62;16;42;63;3;17;11;5;2;275;6;27;6;;;
PERUŠIÆ  ;14;2874;1860;1857;1828;29;7;2;5;4;0;46;2;9;1340;6;16;26;12;41;49;2;2;1;1;5;230;2;13;7;;;
PIROVAC  ;5;1964;1151;1151;1133;18;1;2;1;9;8;4;1;4;493;4;29;180;8;38;49;2;12;6;1;2;253;7;16;3;;;
PLITVIÈKA JEZERA  ;7;4077;2353;2353;2306;47;0;5;4;11;1;10;3;9;1123;9;45;84;11;164;29;2;7;10;5;309;441;5;12;7;;;
POLAÈA  ;2;1505;696;695;679;16;1;1;3;4;1;9;0;4;472;6;9;18;4;33;10;1;4;6;0;25;65;1;0;2;;;
POLIÈNIK  ;10;4312;2364;2364;2315;49;5;8;5;7;6;13;7;11;1611;14;51;92;22;91;58;5;18;9;2;2;240;6;20;12;;;
POSEDARJE  ;8;3278;2113;2113;2065;48;5;9;4;6;2;20;1;7;1278;17;72;75;23;60;91;3;10;2;3;0;333;6;30;8;;;
POVLJANA  ;1;708;436;436;430;6;0;2;0;4;0;2;0;2;225;2;7;38;4;4;9;1;0;0;0;2;122;1;1;4;;;
PREKO  ;8;4048;2412;2411;2387;24;6;19;12;7;15;16;4;6;1049;24;156;88;32;42;139;0;16;1;9;1;663;9;45;28;;;
PRGOMET  ;5;714;472;471;457;14;1;1;1;3;1;1;1;6;330;6;5;21;3;23;8;5;2;2;0;1;31;1;3;1;;;
PRIMORSKI DOLAC  ;1;681;424;424;415;9;1;0;3;0;2;18;0;3;300;4;1;16;2;8;8;1;2;0;0;0;43;1;1;1;;;
PRIMOŠTEN  ;4;2735;1725;1718;1678;40;0;8;12;1;10;9;2;11;722;5;339;26;11;36;44;7;6;7;7;2;372;7;27;7;;;
PRIVLAKA  ;2;2451;1241;1229;1204;25;3;3;3;3;1;11;2;7;499;6;47;45;10;120;88;3;4;2;3;3;311;3;25;2;;;
PROMINA  ;5;1267;682;682;669;13;4;2;3;3;1;5;1;8;439;1;9;42;3;28;28;1;9;1;2;1;62;1;8;7;;;
RAŽANAC  ;8;3062;1811;1811;1781;30;4;10;3;13;4;15;7;12;1085;10;44;98;17;56;44;0;14;5;1;0;308;4;16;11;;;
ROGOZNICA  ;7;2647;1532;1532;1510;22;2;6;7;2;2;7;2;11;726;2;61;39;10;51;95;0;2;7;5;4;430;6;21;12;;;
RUŽIÆ  ;4;1650;955;954;934;20;3;4;4;3;1;5;3;14;682;2;3;25;8;40;21;1;42;2;0;0;58;2;9;2;;;
SALI  ;12;2170;1307;1307;1287;20;2;11;7;15;3;12;0;7;482;6;61;148;12;29;66;0;4;4;1;8;363;7;35;4;;;
SEGET  ;7;4539;2845;2840;2739;101;8;7;10;8;9;3;4;30;1492;7;66;67;20;88;48;11;25;27;11;7;740;6;30;15;;;
STANKOVCI  ;6;1826;1098;1096;1070;26;2;0;2;2;3;9;4;5;679;6;56;30;5;24;14;1;3;28;1;7;166;5;13;5;;;
STARIGRAD  ;3;1907;1159;1159;1133;26;3;5;7;8;0;18;3;4;638;4;38;93;10;29;31;1;7;10;4;4;202;2;11;1;;;
SUKOŠAN  ;5;4061;2510;2510;2459;51;5;13;3;8;3;25;4;8;1444;8;121;87;22;89;73;3;21;8;4;7;461;3;20;19;;;
SVETI FILIP I JAKOV  ;7;4060;2661;2653;2602;51;5;8;6;8;3;20;1;9;1496;7;230;73;11;208;78;3;15;8;4;6;349;5;30;19;;;
ŠKABRNJA  ;2;1634;1117;1117;1099;18;3;2;4;3;0;5;0;1;795;10;24;52;4;89;18;0;6;6;2;2;64;1;6;2;;;
TISNO  ;6;3193;1893;1890;1857;33;4;4;6;13;9;18;1;12;696;7;97;68;20;42;83;2;34;10;6;4;657;6;48;10;;;
TKON  ;2;672;413;413;401;12;1;0;0;4;1;6;0;2;126;0;34;21;10;11;25;0;8;5;1;2;128;3;9;4;;;
TRIBUNJ  ;3;1584;954;954;943;11;0;6;3;6;3;10;1;7;327;8;54;80;11;38;38;4;9;19;4;3;288;4;16;4;;;
UDBINA  ;4;1658;837;837;821;16;4;2;3;4;0;1;1;4;354;1;11;33;4;31;14;2;11;1;0;228;105;4;3;0;;;
UNEŠIÆ  ;11;1789;1224;1224;1209;15;1;0;2;5;1;27;2;8;859;3;12;82;3;62;32;1;51;2;0;0;45;1;7;3;;;
VIR  ;1;3385;1361;1360;1346;14;0;4;2;2;4;15;1;7;489;2;67;39;4;182;49;4;3;6;3;1;443;3;13;3;;;
VRHOVINE  ;7;1006;509;509;489;20;0;1;0;3;0;0;2;0;89;0;6;16;2;4;5;0;0;1;1;211;136;4;7;1;;;
VRSI  ;2;2097;1287;1287;1275;12;1;7;4;2;1;3;1;6;722;0;59;31;6;19;41;0;6;9;6;21;311;2;11;6;;;
ZEMUNIK DONJI  ;2;1955;1108;1108;1083;25;4;7;5;6;2;7;3;8;670;4;10;34;9;93;26;1;11;4;1;6;156;2;10;4;;;
UKUPNO;746;428590;253586;253039;248503;4536;320;720;641;711;379;2025;311;1942;128919;890;9517;8279;1681;8440;8520;380;2468;1321;703;8305;56999;870;2833;1329;;;
