Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: mr.sc. DRAGUTIN PRIBANIÆ                                       ;AKCIJA MLADIH - AM, Nositelj liste: GORAN FRKOVIÆ, dipl.iur.                                                    ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: NENAD DUBRAVEC;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                   ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, PRIMORSKO GORANSKI SAVEZ - PGS, Nositelj liste: BOŽIDAR PANKRETIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ROBERT OSTRUN                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MLADEN ŠEPIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: KRUNOSLAV GAŠPARIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: HRVOJE HITREC                                 ;NEOVISNA LISTA, Nositelj liste: IVAN LONÈAR, dipl.ing.                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;ZELENA LISTA, Nositelj liste: DRAGUTIN RIBARIÆ.                                                          ;;;
SAMOBOR;4;922;581;581;572;9;2;4;3;5;7;1;0;0;129;0;38;1;43;10;17;28;0;1;9;1;4;254;11;4;;;
SAMOBOR;5;218;154;154;153;1;1;1;2;0;10;0;0;0;49;1;1;0;11;6;5;6;0;2;1;1;0;49;6;1;;;
SAMOBOR;6;318;206;206;197;9;0;1;1;0;8;1;0;2;56;1;7;3;24;1;3;9;0;0;1;1;1;70;5;2;;;
SAMOBOR;7;754;471;471;467;4;0;2;2;1;7;0;0;1;152;1;65;3;30;3;23;26;0;4;0;3;3;134;6;1;;;
SAMOBOR;8;209;142;142;137;5;1;0;0;0;4;0;0;0;58;0;1;0;26;1;2;7;0;0;1;1;0;33;2;0;;;
SAMOBOR;9;355;243;243;238;5;0;1;2;2;11;1;0;2;61;0;12;1;29;3;9;10;0;0;1;0;1;89;3;0;;;
SAMOBOR;10;660;392;392;382;10;0;2;2;6;6;0;3;1;115;1;48;3;13;4;7;30;1;2;0;1;1;126;3;7;;;
SAMOBOR;11;112;59;59;58;1;0;0;0;1;2;0;0;0;18;1;7;1;3;0;3;1;0;0;0;0;0;21;0;0;;;
SAMOBOR;12;467;282;282;276;6;0;0;4;0;8;0;0;0;99;2;10;1;35;3;6;7;0;2;1;1;0;94;1;2;;;
SAMOBOR;13;274;198;198;197;1;0;1;3;1;1;0;0;0;69;0;6;2;21;1;7;18;0;0;1;0;1;64;0;1;;;
SAMOBOR;14;63;43;43;40;3;0;0;0;1;1;0;0;0;11;0;3;0;5;0;0;0;0;0;0;0;0;18;1;0;;;
SAMOBOR;15;76;59;59;57;2;0;0;1;1;2;0;0;1;35;0;0;0;2;1;0;0;0;0;1;0;0;13;0;0;;;
SAMOBOR;16;49;41;41;37;4;0;0;0;0;0;0;0;0;13;0;0;0;4;0;0;0;0;0;0;0;0;20;0;0;;;
SAMOBOR;17;33;29;29;29;0;0;0;1;0;2;0;0;0;8;0;0;0;7;1;0;1;0;0;0;0;0;7;1;1;;;
SAMOBOR;18;65;50;50;49;1;0;0;1;1;1;1;1;0;27;0;3;0;6;0;0;2;0;0;0;0;0;6;0;0;;;
SAMOBOR;19;727;475;475;474;1;0;1;2;1;8;0;0;1;126;0;50;1;51;6;15;24;1;4;3;1;2;170;6;1;;;
SAMOBOR;20;651;430;430;418;12;1;4;6;2;8;0;0;2;113;1;24;2;69;5;6;23;0;1;2;3;1;134;7;4;;;
SAMOBOR;21;239;113;113;109;4;0;0;3;0;0;1;0;1;42;0;0;2;30;1;3;4;0;1;0;4;0;16;0;1;;;
SAMOBOR;22;342;206;206;200;6;0;1;3;1;4;0;0;0;84;1;11;0;20;0;5;15;0;1;0;0;1;47;5;1;;;
SAMOBOR;23;229;136;136;135;1;0;0;0;0;1;0;0;0;49;0;7;0;23;0;3;10;2;3;0;1;1;34;0;1;;;
SAMOBOR;24;797;542;542;540;2;1;3;0;7;10;0;0;3;126;0;36;0;48;10;11;17;0;1;2;2;2;250;8;3;;;
SAMOBOR;25;395;254;254;251;3;1;1;5;0;5;0;1;0;99;0;8;1;47;1;2;3;1;1;0;1;2;64;5;3;;;
SAMOBOR;26;589;410;410;402;8;0;4;1;3;8;0;0;0;121;0;27;5;39;4;7;20;1;3;1;2;9;136;5;6;;;
SAMOBOR;27;178;111;111;103;8;0;0;0;1;3;0;0;0;43;0;2;0;10;2;3;6;0;0;0;0;4;27;2;0;;;
SAMOBOR;28;524;322;322;320;2;0;2;3;0;5;0;0;0;83;0;16;0;60;1;7;11;1;0;2;1;1;119;7;1;;;
SAMOBOR;29;120;77;77;77;0;0;0;1;0;0;0;0;0;41;0;0;0;24;0;2;0;0;0;0;0;0;8;0;1;;;
SAMOBOR;30;94;57;57;57;0;0;0;0;0;0;0;0;0;8;0;0;0;29;0;2;3;0;0;0;0;0;15;0;0;;;
SAMOBOR;31;250;152;151;148;3;0;0;3;1;4;0;0;0;36;0;9;0;22;1;3;9;0;0;0;0;1;57;2;0;;;
SAMOBOR;32;504;319;319;315;4;1;0;2;1;5;0;1;1;112;0;18;2;41;8;11;16;0;3;0;0;5;81;6;1;;;
SAMOBOR;33;228;164;164;161;3;0;1;1;1;1;0;1;3;63;0;18;0;6;1;3;20;0;3;2;0;0;26;8;3;;;
SAMOBOR;34;420;271;271;264;7;0;1;3;1;6;0;1;0;81;2;13;0;51;3;5;17;0;0;0;2;0;73;1;4;;;
SAMOBOR;35;194;125;125;122;3;0;0;2;0;9;0;0;1;23;0;5;0;20;1;4;11;0;1;2;0;1;38;3;1;;;
SAMOBOR;36;929;544;544;536;8;0;1;6;1;7;0;1;2;131;0;62;1;44;9;24;33;0;0;1;1;1;198;9;4;;;
SAMOBOR;37;540;340;339;333;6;0;0;2;0;35;0;1;2;118;1;14;3;27;0;6;19;0;0;0;1;2;95;2;5;;;
SAMOBOR;38;466;292;291;288;3;1;4;0;3;38;0;0;1;100;0;17;2;29;3;5;8;0;0;0;1;3;71;1;1;;;
SAMOBOR;39;752;538;538;524;14;0;1;1;3;6;1;0;0;135;0;48;2;31;8;10;35;1;3;2;2;1;223;9;2;;;
SAMOBOR;40;885;619;618;605;13;1;1;2;6;12;0;0;1;150;1;50;1;43;4;16;29;0;2;3;3;1;273;6;0;;;
SAMOBOR;41;522;356;356;352;4;0;3;0;7;3;0;0;0;89;0;44;2;13;2;3;15;0;0;1;0;0;167;3;0;;;
SAMOBOR;42;590;342;342;334;8;0;1;1;2;7;0;0;3;86;0;23;1;21;4;15;19;0;1;1;3;2;140;4;0;;;
SAMOBOR;43;37;21;21;20;1;0;0;0;0;0;0;0;0;11;0;1;0;3;1;0;1;0;0;0;0;0;3;0;0;;;
SAMOBOR;44;788;564;563;560;3;0;2;2;3;5;0;0;3;161;1;60;3;30;11;15;33;2;1;1;3;2;216;4;2;;;
SAMOBOR;45;1078;742;742;728;14;0;1;0;3;12;0;0;4;172;2;76;0;40;6;23;41;1;4;2;6;0;321;4;10;;;
SAMOBOR;46;507;327;327;322;5;1;0;2;0;4;0;0;0;80;0;32;0;20;5;8;11;0;2;0;0;4;147;3;3;;;
SAMOBOR;47;935;608;608;603;5;1;1;1;5;2;1;3;0;181;1;70;0;29;4;12;28;0;1;2;2;0;254;1;4;;;
SAMOBOR;48;897;605;605;600;5;0;2;0;2;7;0;0;0;100;1;62;4;36;6;19;40;2;0;8;4;1;294;9;3;;;
SAMOBOR;49;1259;859;859;849;10;0;4;1;5;17;0;0;1;160;0;61;2;28;4;26;85;2;3;4;5;5;416;16;4;;;
SAMOBOR;50;1175;861;861;845;16;2;6;0;9;10;0;0;1;192;0;89;1;45;4;17;54;0;2;2;4;1;388;12;6;;;
SAMOBOR;51;1297;927;925;916;9;3;1;2;9;10;1;0;0;206;0;95;2;54;6;19;37;0;2;5;6;5;430;16;7;;;
SAMOBOR;52;1053;714;714;704;10;1;3;0;3;12;1;0;0;185;0;57;4;43;5;16;44;0;1;3;6;6;304;3;7;;;
SAMOBOR;53;1333;845;845;824;21;0;0;1;6;10;0;0;1;253;1;49;18;47;8;16;59;1;3;4;1;3;321;19;3;;;
SAMOBOR;54;980;627;627;616;11;1;5;1;4;15;0;0;1;205;1;37;1;30;2;15;35;1;2;3;2;6;239;7;3;;;
SAMOBOR;55;526;335;335;328;7;1;2;4;2;2;0;0;2;99;0;6;3;81;5;2;16;0;0;0;2;1;91;6;3;;;
SAMOBOR;56;176;116;116;114;2;1;1;1;1;2;0;0;0;35;1;7;0;8;1;2;10;1;0;0;0;2;40;1;0;;;
SAMOBOR;57;79;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SAMOBOR;58;67;3;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
SAMOBOR;59;244;154;154;148;6;0;0;0;1;6;1;0;0;41;0;12;1;23;2;3;6;0;2;0;0;2;47;0;1;;;
SAMOBOR;60;286;181;181;178;3;0;0;1;0;3;0;2;2;70;0;13;0;15;2;3;7;2;1;0;0;0;54;1;2;;;
SAMOBOR;61;155;96;96;94;2;0;0;0;1;0;0;0;0;23;0;5;0;23;1;3;4;0;0;1;0;1;30;2;0;;;
SAMOBOR;62;377;221;221;218;3;0;1;0;0;2;0;0;0;74;0;13;0;14;3;8;8;1;2;2;9;2;75;4;0;;;
SAMOBOR;63;73;42;42;41;1;0;0;0;1;0;1;0;1;13;0;3;0;1;1;0;4;1;0;1;0;3;11;0;0;;;
SAMOBOR;64;83;56;56;56;0;0;0;0;1;2;0;0;0;11;0;1;1;17;1;0;1;0;0;0;0;0;20;1;0;;;
SAMOBOR;65;113;78;78;73;5;0;0;2;1;1;0;0;1;29;0;6;0;10;2;0;4;0;0;0;0;3;13;0;1;;;
SAMOBOR;66;37;21;21;21;0;1;0;1;0;9;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;;;
SAMOBOR;67;27;15;15;14;1;0;0;0;0;5;0;0;0;7;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
SAMOBOR;68;237;157;157;154;3;0;2;1;3;6;1;1;0;26;1;5;0;34;3;6;9;0;0;1;1;0;50;4;0;;;
SAMOBOR;69;182;126;126;124;2;1;3;3;1;1;0;0;1;30;0;2;0;29;2;3;7;0;0;0;3;0;36;0;2;;;
SAMOBOR;70;158;86;86;85;1;0;0;0;0;4;0;0;0;13;0;2;2;15;1;5;7;1;0;0;0;0;33;2;0;;;
SAMOBOR;71;286;195;195;192;3;1;1;2;1;7;1;0;0;55;0;15;2;14;5;4;12;0;0;0;0;0;67;1;4;;;
SAMOBOR;72;187;108;108;104;4;0;0;1;4;10;0;0;0;21;0;8;0;12;4;3;4;2;0;0;0;0;33;1;1;;;
SAMOBOR;73;48;30;30;30;0;1;0;0;0;1;0;1;0;17;0;2;0;2;1;0;2;1;0;1;0;0;1;0;0;;;
SAMOBOR;74;73;40;40;40;0;0;1;0;0;1;0;0;0;6;0;1;0;6;0;3;0;0;0;0;0;0;20;2;0;;;
SAMOBOR;75;68;30;30;30;0;1;0;0;0;0;0;0;0;12;0;0;0;3;0;2;2;0;0;1;0;0;8;1;0;;;
SAMOBOR;76;38;28;28;28;0;0;0;2;1;1;0;1;0;9;0;5;0;4;0;0;0;0;0;0;1;0;4;0;0;;;
SAMOBOR;77;25;9;9;9;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;;;
SAMOBOR;78;36;18;18;18;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;12;1;0;;;
SAMOBOR;79;68;33;33;33;0;0;0;1;1;1;0;0;0;5;0;0;0;2;0;0;1;0;0;0;1;0;20;1;0;;;
SAMOBOR;80;66;41;41;41;0;0;0;2;0;2;0;1;1;28;0;1;0;1;0;0;2;0;0;0;0;0;3;0;0;;;
SLUNJ;1;1196;749;748;731;17;0;7;1;4;1;0;2;3;381;1;15;1;54;4;26;23;1;8;1;1;6;183;6;2;;;
SLUNJ;2;538;352;352;346;6;0;0;0;3;7;0;2;1;168;0;9;2;28;1;8;12;0;5;0;0;1;94;4;1;;;
SLUNJ;3;499;302;302;298;4;2;0;2;1;0;2;0;1;143;2;6;1;52;1;8;13;0;1;0;1;0;53;5;4;;;
SLUNJ;4;405;248;248;239;9;1;2;0;0;1;0;1;2;153;0;4;0;30;2;7;4;3;1;0;0;1;23;1;3;;;
SLUNJ;5;90;47;47;45;2;0;1;0;1;0;0;0;0;35;1;1;0;3;1;0;0;0;0;0;0;0;1;0;1;;;
SLUNJ;6;493;255;255;243;12;1;1;1;4;1;1;0;0;143;1;0;1;37;2;12;8;0;0;0;0;2;22;5;1;;;
SLUNJ;7;490;231;231;227;4;0;1;1;0;1;0;1;2;149;2;2;0;16;3;5;5;2;2;0;1;1;31;2;0;;;
SLUNJ;8;282;153;153;148;5;0;0;0;1;0;0;1;0;103;0;2;0;15;1;4;3;0;1;1;0;1;11;4;0;;;
SLUNJ;9;582;233;233;230;3;1;2;3;1;2;2;0;1;164;1;3;0;14;0;13;5;0;0;0;3;0;12;3;0;;;
SLUNJ;10;264;136;136;135;1;0;1;0;2;3;0;0;0;104;1;0;0;7;1;10;2;1;0;0;0;0;1;1;1;;;
SLUNJ;11;137;66;66;61;5;0;1;0;2;0;0;0;0;2;0;13;1;2;0;0;0;0;0;2;1;0;36;1;0;;;
SLUNJ;12;199;108;108;105;3;2;1;0;0;0;0;1;0;14;0;34;0;3;0;0;0;0;0;0;1;0;49;0;0;;;
SVETA NEDELJA;1;1119;734;734;722;12;0;7;4;6;5;0;0;0;206;0;55;4;16;9;10;77;0;6;3;2;7;292;8;5;;;
SVETA NEDELJA;2;923;616;616;608;8;0;3;2;4;5;0;0;0;162;0;53;4;41;9;19;44;0;0;2;2;3;248;4;3;;;
SVETA NEDELJA;3;1096;719;719;707;12;0;1;6;4;8;1;1;3;247;0;36;5;66;9;18;31;1;1;0;2;5;249;7;6;;;
SVETA NEDELJA;4;1196;740;740;731;9;0;10;6;4;7;0;4;1;232;1;30;7;49;7;26;39;2;2;1;1;3;287;7;5;;;
SVETA NEDELJA;5;545;339;339;333;6;2;0;2;2;6;1;0;4;81;0;11;0;21;4;13;17;0;3;1;1;5;151;7;1;;;
SVETA NEDELJA;6;646;363;363;355;8;2;0;0;2;0;1;0;0;98;0;9;1;95;1;17;14;1;2;0;2;0;104;6;0;;;
SVETA NEDELJA;7;1191;771;771;761;10;1;2;4;2;13;1;0;1;226;2;49;5;41;11;21;42;0;4;4;5;5;308;5;9;;;
SVETA NEDELJA;8;164;104;104;100;4;0;1;1;0;0;0;1;1;43;1;3;0;12;0;4;5;0;0;0;0;0;27;0;1;;;
SVETA NEDELJA;9;401;244;244;235;9;0;0;0;0;0;0;1;4;99;1;7;1;23;4;9;12;1;0;1;1;1;67;1;2;;;
SVETA NEDELJA;10;979;603;603;595;8;0;0;5;3;4;1;0;2;180;1;33;2;47;4;14;38;1;3;2;4;7;235;7;2;;;
SVETA NEDELJA;11;642;438;438;434;4;0;1;1;3;5;0;0;0;150;0;25;1;35;1;15;37;1;3;2;0;1;142;10;1;;;
SVETA NEDELJA;12;843;577;577;571;6;0;1;2;5;1;0;0;0;180;0;23;0;32;7;14;99;1;4;2;2;0;188;7;3;;;
SVETA NEDELJA;13;889;598;598;591;7;1;1;3;5;4;0;0;0;201;1;41;2;29;4;24;28;0;5;1;1;1;231;1;7;;;
SVETA NEDELJA;14;1122;741;741;733;8;3;5;6;8;6;0;1;0;258;1;34;3;63;8;18;29;1;6;0;7;9;242;14;11;;;
SVETA NEDELJA;15;989;657;657;650;7;1;9;1;4;8;1;1;1;185;1;43;3;93;7;14;43;0;0;2;1;3;214;7;8;;;
SVETA NEDELJA;16;1128;735;735;720;15;0;3;0;3;1;0;2;5;216;1;36;2;74;16;14;54;0;8;1;4;3;260;10;7;;;
SVETA NEDELJA;17;1042;675;674;670;4;1;2;0;2;10;0;1;0;226;0;41;3;67;5;14;50;3;1;2;2;2;228;7;3;;;
VRBOVSKO;1;201;154;154;149;5;1;0;0;1;1;0;0;0;55;0;6;0;8;3;18;18;2;3;3;0;1;28;1;0;;;
VRBOVSKO;2;468;326;326;320;6;3;2;0;2;1;0;0;2;141;0;3;1;22;1;20;17;9;1;0;0;1;86;7;1;;;
VRBOVSKO;3;611;394;394;391;3;2;0;2;0;2;0;0;2;119;2;9;1;11;2;11;20;1;0;3;0;2;197;5;0;;;
VRBOVSKO;4;767;541;541;531;10;0;1;1;1;1;0;2;0;204;0;19;3;23;0;11;33;4;0;3;2;1;212;10;0;;;
VRBOVSKO;5;130;93;93;93;0;1;0;1;0;1;1;0;0;57;0;1;1;11;0;1;3;0;0;0;0;0;14;1;0;;;
VRBOVSKO;6;316;189;189;185;4;2;0;1;0;2;0;0;0;98;1;5;0;8;3;1;15;0;0;0;0;0;48;1;0;;;
VRBOVSKO;7;467;289;289;286;3;0;2;5;1;5;3;0;1;116;0;4;1;23;0;5;16;0;0;1;0;1;97;5;0;;;
VRBOVSKO;8;216;141;141;138;3;0;1;0;0;1;1;0;1;70;0;5;1;6;0;8;15;1;0;2;0;1;24;1;0;;;
VRBOVSKO;9;322;249;249;244;5;0;0;0;0;2;1;0;0;36;0;9;0;17;1;0;19;0;0;5;0;0;151;2;1;;;
VRBOVSKO;10;106;93;93;91;2;0;0;0;0;1;0;0;0;5;0;1;0;6;0;1;14;0;0;2;0;0;59;1;1;;;
VRBOVSKO;11;633;488;488;482;6;2;0;1;3;1;2;0;0;91;0;49;1;6;1;3;36;0;0;7;0;1;273;5;0;;;
VRBOVSKO;12;215;156;156;151;5;0;0;0;0;1;0;0;0;15;1;13;0;4;2;0;14;0;0;1;0;0;96;4;0;;;
ZAGREB-JUŽNI DIO;1;806;534;534;527;7;1;3;1;7;4;0;0;1;238;1;22;1;13;8;4;25;3;5;1;1;2;179;5;2;;;
ZAGREB-JUŽNI DIO;2;925;619;619;613;6;0;5;0;4;7;0;0;1;194;1;50;1;19;6;13;28;1;7;0;1;3;266;3;3;;;
ZAGREB-JUŽNI DIO;3;1091;670;670;663;7;1;3;1;1;8;0;1;2;196;0;21;2;52;8;22;26;6;5;2;1;7;290;3;5;;;
ZAGREB-JUŽNI DIO;4;1224;673;673;670;3;1;0;1;4;9;0;0;6;344;3;34;2;20;5;23;4;0;4;1;4;5;192;3;5;;;
ZAGREB-JUŽNI DIO;5;1343;891;891;882;9;1;4;5;1;9;0;1;1;254;0;55;3;32;4;26;50;1;5;3;2;1;406;12;6;;;
ZAGREB-JUŽNI DIO;6;1242;897;897;889;8;1;3;3;4;5;2;0;1;199;2;61;5;25;2;21;57;1;3;4;23;1;448;8;10;;;
ZAGREB-JUŽNI DIO;7;1319;900;900;891;9;3;6;3;6;12;0;0;1;256;0;53;2;31;5;15;44;1;9;5;3;4;413;13;6;;;
ZAGREB-JUŽNI DIO;8;1366;919;917;897;20;0;5;1;3;8;1;0;2;246;0;68;5;26;6;24;46;0;3;8;4;6;417;9;9;;;
ZAGREB-JUŽNI DIO;9;1287;844;844;842;2;3;5;0;10;6;1;1;1;259;0;50;6;26;10;24;28;1;7;0;3;1;387;7;6;;;
ZAGREB-JUŽNI DIO;10;1481;934;934;926;8;0;3;1;7;10;0;1;2;327;0;61;3;39;9;18;17;1;9;3;5;0;392;12;6;;;
ZAGREB-JUŽNI DIO;11;1302;900;899;886;13;0;3;0;8;8;2;1;1;262;0;65;5;22;8;22;47;0;7;0;2;0;394;19;10;;;
ZAGREB-JUŽNI DIO;12;1436;945;945;938;7;1;2;0;7;11;1;2;1;328;3;59;4;33;6;22;44;1;1;1;3;5;385;11;7;;;
ZAGREB-JUŽNI DIO;13;1894;1022;1022;1001;21;1;3;0;4;6;2;3;2;377;0;62;8;38;12;31;29;2;10;7;6;1;369;17;11;;;
ZAGREB-JUŽNI DIO;14;1752;948;948;941;7;2;2;1;7;13;0;0;2;411;1;25;3;54;6;29;25;2;10;2;1;2;335;2;6;;;
ZAGREB-JUŽNI DIO;15;1723;898;898;888;10;0;1;0;3;8;1;1;3;400;0;36;5;30;7;40;28;0;11;3;1;6;296;5;3;;;
ZAGREB-JUŽNI DIO;16;1694;881;881;873;8;1;6;3;2;4;0;2;0;399;0;28;4;48;11;21;13;1;9;3;2;7;295;7;7;;;
ZAGREB-JUŽNI DIO;17;1652;769;769;758;11;0;3;1;6;6;0;0;0;358;0;21;3;17;3;29;13;2;5;3;3;7;275;3;0;;;
ZAGREB-JUŽNI DIO;18;506;371;371;368;3;0;0;3;0;8;0;0;2;114;1;6;3;43;2;8;14;1;1;2;1;3;150;4;2;;;
ZAGREB-JUŽNI DIO;19;1662;1012;1012;1000;12;0;3;3;6;14;0;0;0;348;1;60;3;84;7;15;27;0;7;3;6;9;389;4;11;;;
ZAGREB-JUŽNI DIO;20;1554;1096;1035;1008;27;0;4;2;2;4;1;1;0;260;2;80;7;29;7;23;47;0;3;10;2;4;493;12;15;;;
ZAGREB-JUŽNI DIO;21;1589;843;843;840;3;0;3;2;8;4;0;1;5;547;1;30;2;20;1;41;11;0;9;0;5;8;131;6;5;;;
ZAGREB-JUŽNI DIO;22;2025;1234;1234;1224;10;6;4;6;8;16;0;0;4;416;1;44;8;125;13;43;34;5;13;1;6;10;432;13;16;;;
ZAGREB-JUŽNI DIO;23;1287;825;785;775;10;0;3;1;6;9;0;1;2;232;0;27;1;36;6;36;39;1;3;5;8;7;321;24;7;;;
ZAGREB-JUŽNI DIO;24;1306;894;892;881;11;0;6;0;5;8;0;0;1;331;0;24;1;24;10;32;27;1;2;1;3;1;380;17;7;;;
ZAGREB-JUŽNI DIO;25;1401;919;919;907;12;0;2;1;6;14;0;0;4;298;2;45;6;41;17;33;68;1;3;0;4;1;339;14;8;;;
ZAGREB-JUŽNI DIO;26;1374;668;668;657;11;0;0;0;6;7;0;3;1;213;1;25;1;35;6;22;36;0;24;0;0;5;253;11;8;;;
ZAGREB-JUŽNI DIO;27;1418;812;812;794;18;1;4;1;1;8;1;1;2;258;1;32;6;43;5;19;44;0;5;4;1;4;344;8;1;;;
ZAGREB-JUŽNI DIO;28;1504;819;819;807;12;2;8;2;6;9;0;1;1;352;0;31;2;30;8;25;33;0;10;1;3;6;261;10;6;;;
ZAGREB-JUŽNI DIO;29;1226;825;822;805;17;0;4;1;5;5;0;1;0;368;0;33;2;42;6;27;30;0;8;0;0;3;258;6;6;;;
ZAGREB-JUŽNI DIO;30;497;370;370;366;4;0;0;2;2;2;0;0;0;176;1;14;0;14;2;8;6;0;2;0;1;2;121;10;3;;;
ZAGREB-JUŽNI DIO;31;1040;676;676;667;9;0;3;4;1;10;1;1;5;283;1;28;1;43;5;17;32;1;8;0;2;4;201;10;6;;;
ZAGREB-JUŽNI DIO;32;2053;1407;1349;1333;16;3;7;4;12;12;0;5;3;509;2;60;8;77;15;43;80;4;10;3;4;6;449;13;4;;;
ZAGREB-JUŽNI DIO;33;1272;810;810;802;8;1;2;0;4;10;0;3;0;287;0;37;5;33;3;28;37;0;8;5;6;8;307;12;6;;;
ZAGREB-JUŽNI DIO;34;1115;824;822;814;8;0;2;0;13;11;0;1;2;250;0;43;1;28;9;16;45;3;8;4;0;0;370;7;1;;;
ZAGREB-JUŽNI DIO;35;1220;858;857;840;17;0;2;2;4;10;0;0;3;221;0;69;3;25;8;16;43;2;10;4;2;2;401;8;5;;;
ZAGREB-JUŽNI DIO;36;1120;801;801;789;12;0;3;0;4;4;1;0;1;204;0;50;1;29;8;19;32;1;9;2;1;5;393;17;5;;;
ZAGREB-JUŽNI DIO;37;1127;799;799;790;9;1;1;1;5;4;0;2;2;259;1;39;6;27;4;23;41;0;5;4;1;3;351;6;4;;;
ZAGREB-JUŽNI DIO;38;1210;869;869;862;7;0;1;1;8;13;0;0;1;258;0;53;4;32;3;19;41;1;5;6;1;3;391;13;8;;;
ZAGREB-JUŽNI DIO;39;1271;859;859;848;11;2;0;0;6;4;0;0;1;255;1;81;8;34;8;20;39;0;8;3;3;3;356;10;6;;;
ZAGREB-JUŽNI DIO;40;1124;826;778;758;20;0;5;0;5;4;0;0;1;192;0;39;5;21;4;14;55;1;4;1;1;2;393;8;3;;;
ZAGREB-JUŽNI DIO;41;1156;737;737;724;13;0;3;0;5;8;0;0;4;178;2;57;4;22;5;15;43;2;7;2;2;3;341;15;6;;;
ZAGREB-JUŽNI DIO;42;1556;1071;1071;1057;14;1;3;0;7;13;0;0;4;356;3;131;3;43;1;34;30;2;14;1;6;4;384;6;11;;;
ZAGREB-JUŽNI DIO;43;1450;889;889;876;13;0;5;2;4;9;0;0;3;302;2;46;2;33;9;23;26;1;10;1;7;6;371;9;5;;;
ZAGREB-JUŽNI DIO;44;956;664;664;656;8;0;1;0;5;5;0;0;0;182;0;58;0;49;4;15;17;0;4;5;1;6;296;2;6;;;
ZAGREB-JUŽNI DIO;45;1265;781;781;774;7;0;4;3;7;5;0;0;1;272;1;62;6;28;5;26;29;0;15;4;3;2;289;2;10;;;
ZAGREB-JUŽNI DIO;46;1112;756;756;749;7;2;4;1;2;10;0;1;0;211;0;66;9;21;6;14;38;0;11;4;3;1;324;15;6;;;
ZAGREB-JUŽNI DIO;47;1006;704;702;697;5;0;2;0;6;7;0;0;1;192;1;60;2;23;4;14;32;0;3;4;2;2;332;7;3;;;
ZAGREB-JUŽNI DIO;48;974;639;639;630;9;0;1;1;7;6;0;2;3;131;1;59;4;20;9;12;56;0;4;1;2;2;303;3;3;;;
