Izborna jedinica;Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: FURIO RADIN, Zamjenik: AGNESE SUPERINA, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: LUCIO SLAMA, Zamjenik: TAMARA MORANJAK, Predlagatelj: LISTA ZA RIJEKU - LISTA-RI                                        ;Kandidat: DENIS STEFAN, Zamjenik: FLAVIO COSSETTO, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;15;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;16;1;1;1;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;17;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;18;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;19;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;20;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;21;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;22;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;23;1;1;1;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;24;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;25;3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;26;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;27;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;28;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;29;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;30;1;1;1;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;31;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;32;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;33;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;34;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;35;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;36;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;37;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;38;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;39;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;40;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;41;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;42;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;43;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;44;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
