Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: BRANKO OZIMEC                                        ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: GORAN ROHAÈEK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: JULIJANA ILÈIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: BOŽO RENDIÆ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: dr.sc. IVAN ÈEHOK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: DARKO PETRIÈIÆ                                      ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: NURIJA AHMETOVIÆ, prof.;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKA STRANKA ZELENIH-EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: RUDOLF FORKO;HRVATSKI ZBOR - ZBOR, Nositelj liste: VINKO KALINIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: mr.sc. VLADIMIR MESARIÆ;MOJE MALO MEÐIMURJE - 3 M, Nositelj liste: ANTUN VARGA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, LJEVICA HRVATSKE - LJEVICA, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: FRANJO GOLENKO;STRANKA UMIROVLJENIKA - SU, Nositelj liste: JOSIP ŽUŽUL;ZELENA LISTA, Nositelj liste: STANKO BEZEK                                                         ;;
IVANEC;3;610;420;420;410;10;0;0;0;2;0;2;49;0;0;114;1;37;2;1;8;13;1;0;0;0;1;168;1;8;2;;
IVANEC;4;600;424;424;421;3;1;4;1;1;0;0;63;0;0;122;0;37;0;0;7;22;0;1;0;0;1;156;1;4;0;;
IVANEC;5;381;266;266;265;1;0;1;3;0;1;1;37;0;0;77;0;22;0;0;2;8;0;0;0;0;0;111;0;2;0;;
IVANEC;6;777;519;519;514;5;0;5;0;2;1;3;88;0;0;134;0;50;0;1;8;21;0;0;0;1;0;192;1;7;0;;
IVANEC;7;562;411;411;405;6;0;1;1;3;0;1;62;0;0;94;0;45;0;1;8;21;1;0;0;3;0;153;4;5;2;;
IVANEC;8;350;242;242;235;7;0;0;0;0;0;0;24;0;0;55;2;23;1;0;1;8;0;0;0;0;1;115;0;4;1;;
IVANEC;9;292;226;226;219;7;0;0;0;1;1;1;7;0;1;101;1;9;2;0;15;14;1;0;0;1;0;59;1;4;0;;
IVANEC;10;105;83;83;79;4;1;0;0;0;0;1;1;0;0;33;0;2;0;0;2;6;0;0;0;0;0;32;0;0;1;;
IVANEC;11;260;194;194;188;6;0;0;1;2;0;0;14;0;0;86;0;8;1;0;4;12;0;0;0;0;0;57;1;1;1;;
IVANEC;12;397;259;258;253;5;0;4;0;0;0;1;67;0;0;119;0;19;0;1;0;4;0;0;0;0;0;37;0;0;1;;
IVANEC;13;262;181;181;180;1;0;1;0;1;0;0;33;0;1;97;0;13;2;1;4;4;1;0;0;0;0;21;0;1;0;;
IVANEC;14;372;275;275;270;5;0;0;0;0;0;0;69;0;0;119;0;28;1;2;0;15;1;0;0;0;0;34;0;1;0;;
IVANEC;15;344;245;245;242;3;1;2;0;0;0;1;95;1;0;59;0;13;1;1;1;13;0;0;0;0;0;49;0;5;0;;
IVANEC;16;139;101;101;99;2;0;1;0;0;0;0;19;0;0;43;0;8;0;0;1;2;0;1;0;0;0;23;0;1;0;;
IVANEC;17;130;93;93;93;0;0;1;0;0;0;0;23;1;0;27;0;5;0;1;2;5;0;0;1;0;0;27;0;0;0;;
IVANEC;18;483;313;313;301;12;0;0;1;0;0;1;67;0;0;115;1;35;0;1;1;17;1;0;0;0;0;59;0;2;0;;
IVANEC;19;386;293;293;292;1;0;2;0;1;0;1;35;1;0;71;0;30;2;1;95;6;0;0;0;0;0;41;1;0;5;;
IVANEC;20;205;174;174;173;1;0;1;0;0;0;0;20;0;0;78;0;16;0;0;10;11;0;1;0;0;0;35;0;1;0;;
IVANEC;21;272;190;190;186;4;0;3;0;0;0;0;37;1;0;99;0;5;1;0;1;6;0;0;0;0;0;33;0;0;0;;
IVANEC;22;93;62;62;62;0;0;0;0;1;0;0;8;0;0;30;0;0;0;2;1;2;0;0;0;0;0;18;0;0;0;;
IVANEC;23;301;197;196;194;2;0;0;0;0;0;0;17;0;0;103;0;19;0;0;0;7;2;0;0;0;0;45;0;1;0;;
IVANEC;24;143;109;109;104;5;0;0;0;0;0;0;14;0;0;39;0;22;0;1;0;3;0;0;0;2;0;19;0;2;2;;
IVANEC;25;415;305;305;300;5;0;3;0;0;0;0;17;0;1;172;1;34;1;1;5;6;0;0;0;0;0;56;0;3;0;;
IVANEC;26;346;228;228;225;3;1;4;0;1;0;1;21;1;1;152;0;13;0;0;11;0;0;0;0;0;0;18;1;0;0;;
IVANEC;27;280;198;198;189;9;0;1;1;1;1;1;20;0;1;89;3;17;1;2;0;8;1;0;0;0;0;41;0;1;0;;
IVANEC;28;119;109;109;108;1;0;0;0;0;0;0;12;0;0;82;0;5;0;0;0;3;1;0;0;0;0;3;0;2;0;;
IVANEC;29;326;251;251;246;5;0;1;0;1;0;1;40;0;0;153;0;5;1;1;1;6;0;0;0;1;0;32;0;2;1;;
IVANEC;30;197;106;106;104;2;0;0;0;1;0;0;29;0;0;62;2;0;1;0;2;1;0;0;0;0;0;5;0;1;0;;
IVANEC;31;176;125;125;118;7;0;0;1;0;0;2;35;0;0;47;0;3;3;0;2;3;0;0;0;0;0;22;0;0;0;;
IVANEC;32;381;277;277;272;5;0;0;0;1;0;1;52;1;0;148;2;13;0;1;0;5;0;0;0;0;0;47;1;0;0;;
IVANEC;33;228;139;139;137;2;1;2;2;0;0;1;32;0;0;59;0;7;0;0;2;8;0;0;0;1;0;22;0;0;0;;
IVANEC;34;394;291;291;284;7;0;1;0;0;0;0;36;0;0;178;0;15;1;0;2;10;0;0;0;0;0;39;0;1;1;;
KLANJEC;1;663;468;468;463;5;0;0;0;2;0;1;124;1;2;10;1;66;6;2;4;20;3;2;0;1;0;214;1;3;0;;
KLANJEC;2;284;209;209;205;4;0;0;3;2;1;0;58;0;0;4;1;19;1;0;1;7;1;0;0;0;1;101;0;4;1;;
KLANJEC;3;322;206;206;198;8;0;2;0;0;0;0;70;0;0;4;0;31;1;0;3;9;5;1;0;0;0;69;0;3;0;;
KLANJEC;4;360;222;222;214;8;0;2;0;0;1;1;39;0;0;4;0;56;1;0;1;15;0;0;1;0;0;91;0;2;0;;
