Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: JOSO ŠIKIÆ                                        ;AKCIJA MLADIH - AM, Nositelj liste: HRVOJE RUNJIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: dr.sc. RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: MARIJANA PETIR;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: DALIBOR MARKUŠIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MIROSLAV JURIÆ;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBO ÆESIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: VESNA BALENOVIÆ                                 ;NEOVISNA LISTA, Nositelj liste: ZDRAVKO DUŽIÆ                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: MIROSLAV SLAVIÆ;ZELENA LISTA, Nositelj liste: NENAD HORVATOVIÆ                                                          ;;;;
KUTINA;7;217;129;129;127;2;0;1;0;0;0;0;0;65;0;0;45;0;7;0;0;0;4;0;0;0;5;0;0;;;;
KUTINA;8;381;223;223;216;7;0;2;0;1;0;1;0;84;0;3;56;1;7;8;0;0;5;0;3;0;43;2;0;;;;
KUTINA;9;643;354;354;351;3;0;2;3;2;1;0;1;141;0;9;49;1;17;13;2;0;12;0;0;0;91;7;0;;;;
KUTINA;10;753;425;425;415;10;0;0;2;4;0;6;1;161;0;12;68;3;22;13;0;1;4;0;1;0;107;10;0;;;;
KUTINA;11;291;172;172;167;5;1;1;0;1;0;0;0;36;0;5;66;1;3;6;0;0;2;0;0;0;42;3;0;;;;
KUTINA;12;899;548;548;539;9;0;1;1;1;1;6;0;159;1;11;141;1;16;15;1;0;5;0;3;1;169;5;1;;;;
KUTINA;13;192;145;145;145;0;0;0;0;0;0;2;0;54;1;7;34;1;4;5;0;0;5;0;1;0;27;1;3;;;;
KUTINA;14;351;201;201;195;6;0;2;0;2;0;4;1;56;0;7;43;1;12;14;0;0;2;0;0;0;45;6;0;;;;
KUTINA;15;118;49;49;48;1;0;0;0;0;0;0;0;13;0;2;11;0;0;0;0;1;0;1;0;0;20;0;0;;;;
KUTINA;16;554;346;344;341;3;0;0;0;1;2;1;0;158;0;3;94;3;10;10;0;0;3;1;1;0;50;1;3;;;;
KUTINA;17;217;122;122;121;1;0;0;0;0;1;3;0;44;0;4;42;0;4;2;1;0;3;1;0;0;15;1;0;;;;
KUTINA;18;111;77;77;77;0;0;0;0;0;0;0;0;38;0;1;29;0;1;1;0;0;2;0;0;0;5;0;0;;;;
KUTINA;19;364;240;240;235;5;0;0;0;0;2;4;1;107;0;0;59;1;6;8;1;1;3;0;0;0;38;3;1;;;;
KUTINA;20;343;186;186;186;0;0;1;1;0;0;1;0;30;0;7;51;1;3;9;0;0;1;1;0;0;78;1;1;;;;
KUTINA;21;187;140;140;140;0;0;0;0;0;1;0;0;45;0;8;32;0;2;2;0;0;0;0;0;1;49;0;0;;;;
KUTINA;22;66;43;43;43;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4;0;0;0;0;0;0;37;0;0;;;;
KUTINA;23;39;25;25;25;0;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;0;0;2;0;0;11;0;0;;;;
KUTINA;24;37;26;26;25;1;0;0;0;0;0;0;0;0;0;12;0;0;0;5;0;0;0;0;0;0;8;0;0;;;;
KUTINA;25;225;125;125;124;1;0;1;1;0;1;4;0;14;0;2;31;1;3;0;0;0;2;0;0;0;63;1;0;;;;
KUTINA;26;103;73;73;69;4;0;0;2;0;0;1;0;3;0;2;6;0;1;2;0;0;0;3;0;0;46;3;0;;;;
KUTINA;27;472;279;279;270;9;2;1;0;1;1;2;0;57;0;6;54;1;21;4;0;0;2;1;0;0;112;4;1;;;;
KUTINA;28;414;275;275;271;4;0;0;0;1;1;3;1;51;1;17;48;1;5;13;0;0;5;0;1;0;120;1;2;;;;
KUTINA;29;869;556;556;550;6;0;1;1;1;1;4;0;104;0;25;80;0;22;26;0;0;16;0;1;0;261;6;1;;;;
KUTINA;30;713;444;444;442;2;1;2;0;1;2;4;0;105;1;20;69;3;7;26;1;0;9;2;0;0;180;9;0;;;;
KUTINA;31;885;585;585;577;8;0;2;3;0;1;6;0;143;1;16;134;3;16;12;0;0;20;4;3;0;207;3;3;;;;
KUTINA;32;924;663;663;661;2;0;1;4;0;2;4;2;145;0;30;114;2;27;30;1;0;8;3;5;0;277;5;1;;;;
KUTINA;33;713;409;409;399;10;0;2;0;3;2;4;0;99;0;21;81;0;8;16;0;0;1;3;2;2;145;7;3;;;;
KUTINA;34;840;604;604;595;9;0;4;1;0;2;3;0;136;0;33;111;1;17;21;0;0;3;5;3;0;250;3;2;;;;
KUTINA;35;664;392;392;383;9;1;1;1;0;1;4;1;89;2;20;88;7;15;23;0;1;13;2;2;1;107;4;0;;;;
KUTINA;36;480;371;339;334;5;0;0;3;0;0;5;0;77;0;13;54;0;13;21;0;1;5;2;0;0;135;5;0;;;;
KUTINA;37;866;585;585;582;3;0;0;0;0;0;10;0;123;1;31;107;4;9;13;1;0;6;3;2;0;266;5;1;;;;
KUTINA;38;981;584;584;580;4;0;0;1;2;2;2;0;155;0;21;97;7;33;31;2;0;4;2;1;0;204;14;2;;;;
KUTINA;39;786;501;501;494;7;0;0;0;2;1;9;2;134;0;17;97;2;14;24;0;0;14;0;1;0;167;7;3;;;;
NOVSKA;1;1105;673;673;670;3;0;2;0;1;1;12;1;248;0;42;55;7;50;24;0;0;7;4;3;1;202;8;2;;;;
NOVSKA;2;1206;665;665;657;8;0;4;2;2;1;12;4;279;1;28;39;2;60;29;0;1;16;2;1;1;165;5;3;;;;
NOVSKA;3;748;444;444;439;5;0;0;0;1;0;2;0;204;1;15;20;2;62;24;0;0;6;1;0;0;88;11;2;;;;
NOVSKA;4;1352;847;847;833;14;5;0;4;3;5;8;7;330;1;37;63;5;57;50;0;0;3;1;3;0;226;20;5;;;;
NOVSKA;5;606;395;395;390;5;1;2;0;0;1;6;1;139;0;29;18;2;32;24;0;0;3;1;3;1;122;4;1;;;;
NOVSKA;6;1127;649;649;642;7;0;3;0;0;0;7;1;283;0;26;65;5;49;27;0;0;9;0;1;1;150;12;3;;;;
NOVSKA;7;825;517;517;510;7;2;2;0;0;2;4;2;310;0;11;32;2;43;25;2;0;6;0;0;0;57;9;1;;;;
NOVSKA;8;797;411;411;406;5;0;0;1;6;0;3;0;152;0;18;82;1;21;30;0;0;4;0;1;1;78;3;5;;;;
NOVSKA;9;420;209;209;206;3;0;0;1;1;3;1;1;113;2;1;10;2;22;11;0;0;5;0;0;1;27;4;1;;;;
NOVSKA;10;576;347;347;346;1;1;2;0;1;2;6;0;192;0;0;20;1;31;11;0;1;2;1;1;0;71;3;0;;;;
NOVSKA;11;475;301;301;300;1;0;0;2;2;0;0;1;125;1;2;68;0;29;11;0;1;7;0;1;1;41;6;2;;;;
NOVSKA;12;119;89;89;89;0;0;0;0;2;0;0;0;31;0;0;35;0;7;4;0;0;0;0;0;1;8;1;0;;;;
NOVSKA;13;76;54;54;51;3;0;0;0;0;0;0;0;7;0;0;9;0;0;5;0;0;1;0;0;0;25;4;0;;;;
NOVSKA;14;415;252;252;246;6;0;0;1;0;1;3;1;124;0;1;36;2;18;14;0;1;5;0;0;0;37;2;0;;;;
NOVSKA;15;252;140;140;138;2;1;0;0;0;1;1;1;77;0;3;10;0;15;3;0;1;0;0;0;0;24;1;0;;;;
NOVSKA;16;185;134;134;133;1;0;1;0;0;0;0;0;85;1;1;3;0;23;2;0;0;0;0;0;0;15;1;1;;;;
NOVSKA;17;369;224;224;220;4;0;0;0;0;1;0;3;113;1;2;28;0;31;6;0;1;2;0;0;0;28;3;1;;;;
NOVSKA;18;264;181;181;178;3;0;1;0;1;0;0;1;91;1;1;21;1;22;13;1;0;0;0;0;0;23;1;0;;;;
NOVSKA;19;768;401;401;393;8;4;0;2;1;2;6;0;195;2;5;18;0;55;21;0;0;5;0;0;1;67;9;0;;;;
NOVSKA;20;321;190;168;167;1;1;1;0;0;1;0;0;86;1;3;5;1;24;6;0;1;3;0;0;0;28;6;0;;;;
PETRINJA;1;501;334;334;330;4;1;1;1;0;1;2;3;150;0;21;24;1;12;26;0;0;6;3;0;0;74;2;2;;;;
PETRINJA;2;640;424;423;419;4;0;0;0;1;1;5;0;108;0;51;40;7;32;25;0;1;13;1;0;1;128;4;1;;;;
PETRINJA;3;921;611;611;602;9;0;0;0;0;5;5;0;277;0;31;20;4;35;29;1;0;21;1;2;0;162;7;2;;;;
PETRINJA;4;1009;588;588;572;16;2;2;1;1;1;0;1;188;0;62;31;4;22;25;0;0;25;2;2;1;194;7;1;;;;
PETRINJA;5;851;497;496;493;3;1;1;2;1;0;6;0;166;0;31;21;2;18;31;1;0;14;1;0;0;194;3;0;;;;
PETRINJA;6;714;406;406;400;6;0;0;2;1;2;6;0;162;1;21;31;3;23;24;0;0;14;1;1;0;98;6;4;;;;
PETRINJA;7;1039;616;616;610;6;0;2;3;4;3;4;4;206;0;51;34;2;27;24;0;0;11;2;0;1;217;11;4;;;;
