Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: RÓBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH                                        ;Kandidat: STANISLAV RUKSINSKI, Zamjenik: FERENC SALAI, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETER SEKEREŠ, Zamjenik: ROKUŠ KALAPIŠ, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: JOSIP KEL, Predlagatelj: SAVEZ MAÐARSKIH UDRUGA                                       ;Kandidat: TIBOR VARGA, dipl.oec., Zamjenik: JOSIP JUHAS, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;;;;;
2;PRESEKA  ;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;RAKOVEC  ;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;RASINJA  ;14;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;ROVIŠÆE  ;12;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;SEVERIN  ;3;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;SIRAÈ  ;7;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;SOKOLOVAC  ;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;SVETI IVAN ŽABNO  ;17;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;SVETI PETAR OREHOVEC  ;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;ŠANDROVAC  ;7;13;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
2;ŠTEFANJE  ;11;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;VELIKA PISANICA  ;9;47;22;22;21;1;2;0;2;17;0;;;;;;;;;;;;;;;;;;;;;;
2;VELIKA TRNOVITICA  ;8;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;VELIKI GRÐEVAC  ;11;34;9;9;9;0;0;0;0;9;0;;;;;;;;;;;;;;;;;;;;;;
2;VELIKO TROJSTVO  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;VIRJE  ;10;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;ZRINSKI TOPOLOVAC  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;ÈAKOVEC  ;30;11;2;2;2;0;1;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
3;DONJA STUBICA  ;11;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
