Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: RÓBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH                                        ;Kandidat: STANISLAV RUKSINSKI, Zamjenik: FERENC SALAI, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETER SEKEREŠ, Zamjenik: ROKUŠ KALAPIŠ, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: JOSIP KEL, Predlagatelj: SAVEZ MAÐARSKIH UDRUGA                                       ;Kandidat: TIBOR VARGA, dipl.oec., Zamjenik: JOSIP JUHAS, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;;;;;
5;OTOK (VINKOVCI)  ;6;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;PAKRAC  ;23;33;11;11;11;0;1;0;1;8;1;;;;;;;;;;;;;;;;;;;;;;
5;PLETERNICA  ;36;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;POŽEGA  ;48;7;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
5;SLAVONSKI BROD  ;49;11;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
5;VINKOVCI  ;33;82;31;30;28;2;2;0;0;25;1;;;;;;;;;;;;;;;;;;;;;;
5;VUKOVAR  ;28;249;38;38;35;3;6;1;2;21;5;;;;;;;;;;;;;;;;;;;;;;
5;ŽUPANJA  ;7;5;2;2;2;0;0;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;
5;ANDRIJAŠEVCI  ;4;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;BABINA GREDA  ;5;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;BEBRINA  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;BOGDANOVCI  ;3;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;BOROVO  ;5;22;2;2;2;0;0;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;
5;BOŠNJACI  ;4;2;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;BRESTOVAC  ;17;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;BRODSKI STUPNIK  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;BUKOVLJE  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;CERNA  ;5;10;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;CERNIK  ;10;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;ÈAGLIN  ;22;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;DAVOR  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;DONJI ANDRIJEVCI  ;6;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;DRAGALIÆ  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;DRENOVCI  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;GARÈIN  ;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;GORNJA VRBA  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;GORNJI BOGIÆEVCI  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;GRADIŠTE  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;GUNDINCI  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;GUNJA  ;4;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;IVANKOVO  ;6;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;JAKŠIÆ  ;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;JARMINA  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;KAPTOL  ;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;KLAKAR  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;LOVAS  ;2;18;5;5;5;0;0;0;0;2;3;;;;;;;;;;;;;;;;;;;;;;
5;MARKUŠICA  ;6;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;NEGOSLAVCI  ;2;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;NIJEMCI  ;8;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;NOVA KAPELA  ;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;NUŠTAR  ;5;83;47;47;46;1;1;0;1;43;1;;;;;;;;;;;;;;;;;;;;;;
5;OKUÈANI  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;OPRISAVCI  ;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;ORIOVAC  ;11;1;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
5;PODCRKAVLJE  ;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;PRIVLAKA  ;3;2;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;REŠETARI  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;SIBINJ  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;SIKIREVCI  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;SLAVONSKI ŠAMAC  ;4;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;STARA GRADIŠKA  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;STARI JANKOVCI  ;5;128;34;34;34;0;4;0;1;25;4;;;;;;;;;;;;;;;;;;;;;;
5;STARI MIKANOVCI  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;STARO PETROVO SELO  ;13;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;ŠTITAR  ;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;TOMPOJEVCI  ;5;106;38;38;36;2;0;0;11;23;2;;;;;;;;;;;;;;;;;;;;;;
5;TORDINCI  ;4;338;152;152;149;3;17;0;1;126;5;;;;;;;;;;;;;;;;;;;;;;
5;TOVARNIK  ;4;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;TRPINJA  ;7;23;3;3;3;0;2;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
5;VELIKA  ;17;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;VELIKA KOPANICA  ;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;VOÐINCI  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;VRBANJA  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;VRBJE  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;VRPOLJE  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;GLINA  ;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;HRVATSKA KOSTAJNICA  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;IVANIÆ-GRAD  ;21;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;KUTINA  ;39;9;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;NOVSKA  ;20;6;2;2;2;0;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;PETRINJA  ;34;3;1;1;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;
6;SISAK  ;70;8;2;2;2;0;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;VELIKA GORICA  ;68;14;5;5;5;0;3;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;
6;ZAGREB-JUGOISTOK  ;97;53;12;11;11;0;3;0;4;2;2;;;;;;;;;;;;;;;;;;;;;;
6;DONJI KUKURUZARI  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;DVOR  ;12;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;GVOZD  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;HRVATSKA DUBICA  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;JASENOVAC  ;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;KLOŠTAR IVANIÆ  ;13;4;2;2;2;0;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;KRAVARSKO  ;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;KRIŽ  ;19;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;LEKENIK  ;15;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;LIPOVLJANI  ;6;3;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;MAJUR  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;MARTINSKA VES  ;17;1;1;1;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;
6;ORLE  ;6;1;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;POKUPSKO  ;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;POPOVAÈA  ;19;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;RUGVICA  ;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;SUNJA  ;24;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;TOPUSKO  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
6;VELIKA LUDINA  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;BAKAR  ;8;6;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
7;ÈABAR  ;5;1;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;DELNICE  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;DUGA RESA  ;24;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;JASTREBARSKO  ;49;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;KARLOVAC  ;92;9;1;1;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;KASTAV  ;6;6;2;2;2;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;
7;NOVI VINODOLSKI  ;15;6;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;OGULIN  ;23;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;OZALJ  ;27;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;SAMOBOR  ;80;8;4;4;4;0;0;0;2;1;1;;;;;;;;;;;;;;;;;;;;;;
7;SLUNJ  ;12;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;SVETA NEDELJA  ;17;5;2;2;2;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;
7;VRBOVSKO  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;ZAGREB-JUŽNI DIO  ;113;56;21;21;20;1;2;0;12;2;4;;;;;;;;;;;;;;;;;;;;;;
7;BARILOVIÆ  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;BOSILJEVO  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;BROD MORAVICE  ;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;CETINGRAD  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;ÈAVLE  ;7;2;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;DRAGANIÆ  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;FUŽINE  ;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;GENERALSKI STOL  ;8;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;JELENJE  ;9;3;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;JOSIPDOL  ;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;KAMANJE  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;KLANA  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;KLINÈA SELA  ;16;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;KRAŠIÆ  ;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;KRNJAK  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;LASINJA  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;LOKVE  ;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;MRKOPALJ  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;NETRETIÆ  ;17;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;PISAROVINA  ;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;PLAŠKI  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;RAKOVICA  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;RAVNA GORA  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;RIBNIK  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;SABORSKO  ;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;SKRAD  ;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;STUPNIK  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;TOUNJ  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;VINODOLSKA OPÆINA  ;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;VIŠKOVO  ;7;3;2;2;2;0;0;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;
7;VOJNIÆ  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;ŽAKANJE  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
7;ŽUMBERAK  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;BUJE  ;8;6;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;BUZET  ;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;CRES  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;CRIKVENICA  ;9;23;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;KRALJEVICA  ;5;3;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
8;KRK  ;9;4;3;3;3;0;2;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
8;LABIN  ;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;MALI LOŠINJ  ;13;11;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;NOVIGRAD  ;3;4;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
8;OPATIJA  ;14;26;4;4;4;0;0;0;0;4;0;;;;;;;;;;;;;;;;;;;;;;
8;PAZIN  ;15;3;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;POREÈ  ;14;34;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;PULA  ;39;72;21;21;21;0;13;0;6;1;1;;;;;;;;;;;;;;;;;;;;;;
8;RAB  ;8;5;2;2;2;0;1;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
8;RIJEKA  ;96;118;33;32;31;1;20;0;2;5;4;;;;;;;;;;;;;;;;;;;;;;
8;ROVINJ  ;12;53;4;4;4;0;0;0;0;3;1;;;;;;;;;;;;;;;;;;;;;;
8;UMAG  ;11;20;8;8;8;0;6;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;
8;VODNJAN  ;4;3;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;BALE  ;1;3;2;2;2;0;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;
8;BARBAN  ;7;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;BAŠKA  ;4;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;BRTONIGLA  ;4;1;1;1;1;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;
8;CEROVLJE  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;DOBRINJ  ;5;4;3;3;3;0;0;0;0;3;0;;;;;;;;;;;;;;;;;;;;;;
8;FAŽANA  ;2;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;FUNTANA  ;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;GRAÈIŠÆE  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;GROŽNJAN  ;2;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;KANFANAR  ;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;KAROJBA  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;KAŠTELIR - LABINCI  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;KOSTRENA  ;3;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;KRŠAN  ;8;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;LANIŠÆE  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;LIŽNJAN  ;5;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;LOPAR  ;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;LOVRAN  ;6;11;3;3;3;0;0;0;0;1;2;;;;;;;;;;;;;;;;;;;;;;
8;LUPOGLAV  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;MALINSKA-DUBAŠNICA  ;5;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;MARÈANA  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;MATULJI  ;20;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;MEDULIN  ;6;12;2;2;2;0;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;MOŠÆENIÈKA DRAGA  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;MOTOVUN  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;OMIŠALJ  ;4;4;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
8;OPRTALJ  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;PIÆAN  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;PUNAT  ;3;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;RAŠA  ;8;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;SVETA NEDELJA  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;SVETI LOVREÈ  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;SVETI PETAR U ŠUMI  ;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;SVETVINÈENAT  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;TAR-VABRIGA  ;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;TINJAN  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;VIŠNJAN  ;5;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;VIŽINADA  ;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;VRBNIK  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
8;VRSAR  ;2;8;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
8;ŽMINJ  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;BENKOVAC  ;28;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;BIOGRAD NA MORU  ;4;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;DRNIŠ  ;25;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;GOSPIÆ  ;29;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;KAŠTELA  ;18;12;3;3;3;0;2;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;
9;KNIN  ;15;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;NIN  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;NOVALJA  ;8;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;OBROVAC  ;6;3;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
9;OTOÈAC  ;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;PAG  ;7;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;SENJ  ;9;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;SINJ  ;23;5;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;SKRADIN  ;11;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;ŠIBENIK  ;79;18;3;3;3;0;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;TRILJ  ;22;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;TROGIR  ;18;6;3;3;3;0;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;VODICE  ;11;7;2;2;2;0;0;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;
9;VRLIKA  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;ZADAR  ;68;28;5;5;5;0;0;0;0;4;1;;;;;;;;;;;;;;;;;;;;;;
9;BIBINJE  ;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;BILICE  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;BISKUPIJA  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;BRINJE  ;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;CIVLJANE  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;DICMO  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;DONJI LAPAC  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;DUGOPOLJE  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;ERVENIK  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;GALOVAC  ;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;GRAÈAC  ;5;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;HRVACE  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;JASENICE  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;KALI  ;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;KARLOBAG  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;KIJEVO  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;KISTANJE  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;KLIS  ;14;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
9;KOLAN  ;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
