Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MARINKO DODIG                                        ;AKCIJA MLADIH - AM, Nositelj liste: DARKO KRNIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENA STRANKA - ZS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: MATE BULJUBAŠIÆ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: dr.sc. JOŠKO KOVAÈ, dipl.ing.                         ;DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: ANTE TEŠIJA;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: LUKA PODRUG, dipl. iur.                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: PETAR KAÆUNKO;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: STIPO GABRIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JOSIP JAKOVLJEVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANITA ÈUDINA, prof. dipl.sociolog;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBICA VRDOLJAK;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: mr.sc. ÐULA RUŠINOVIÆ-SUNARA                                 ;NEOVISNA LISTA, Nositelj liste: TONÆI TADIÆ                                 ;NEOVISNA LISTA, Nositelj liste: JURICA TUCAK                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: STANISLAV JELAÈA;ZELENA LISTA, Nositelj liste: IVICA SUMIÆ                                                         ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: LOVRO RUMORA;;
DUBROVNIK;44;66;59;59;58;1;0;0;0;0;0;1;0;0;44;0;1;6;0;3;1;0;0;0;0;0;0;0;2;0;0;;
DUBROVNIK;45;181;108;108;105;3;0;0;0;0;0;0;0;0;36;1;11;4;0;3;4;0;0;0;0;4;1;39;2;0;0;;
DUBROVNIK;46;59;51;51;47;4;0;0;0;0;0;0;0;1;40;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;1;;
DUBROVNIK;47;306;147;147;145;2;0;0;0;0;0;0;0;0;75;0;12;4;0;4;7;0;0;0;0;3;0;36;4;0;0;;
DUBROVNIK;48;54;46;46;46;0;0;0;0;0;0;0;0;0;19;0;3;16;0;1;0;0;0;0;0;0;0;7;0;0;0;;
DUBROVNIK;49;100;84;84;83;1;0;0;0;0;0;0;0;3;62;1;4;2;0;0;4;0;0;0;0;3;0;3;1;0;0;;
DUBROVNIK;50;543;313;313;306;7;1;1;1;1;1;0;1;0;129;1;18;28;2;4;17;0;1;2;0;6;0;87;2;2;1;;
DUBROVNIK;51;283;190;190;184;6;0;1;0;2;0;0;0;1;129;0;2;33;1;10;0;0;0;0;0;2;0;3;0;0;0;;
DUBROVNIK;52;24;23;23;23;0;0;0;0;0;0;0;0;0;16;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;;
DUBROVNIK;53;190;109;109;107;2;0;0;0;1;1;0;0;4;56;0;5;4;2;4;12;0;3;0;0;2;0;11;2;0;0;;
DUBROVNIK;54;260;166;166;165;1;0;0;0;0;0;0;1;0;77;0;10;20;2;1;5;0;6;0;1;2;0;40;0;0;0;;
DUBROVNIK;55;263;150;150;147;3;0;1;2;0;0;1;0;0;51;0;17;15;3;2;5;0;1;0;0;5;0;41;3;0;0;;
DUBROVNIK;56;227;131;131;131;0;0;0;0;0;0;1;0;1;60;0;9;19;2;4;9;0;0;0;0;5;0;20;1;0;0;;
DUBROVNIK;57;632;374;374;370;4;0;0;0;1;0;0;0;0;158;1;36;22;1;6;13;0;4;0;1;11;0;112;0;3;1;;
DUBROVNIK;58;392;239;239;236;3;0;1;0;0;0;1;1;2;85;2;35;13;2;6;6;0;2;1;1;1;2;70;1;2;2;;
HVAR;1;550;323;323;319;4;0;1;1;2;1;0;0;0;86;0;23;6;1;5;8;0;0;4;1;20;1;152;5;0;2;;
HVAR;2;581;336;336;329;7;0;2;1;0;1;0;0;1;136;3;17;7;3;2;8;0;3;2;1;26;0;112;3;0;1;;
HVAR;3;947;566;566;560;6;3;3;2;1;0;1;1;1;204;3;31;25;4;3;19;2;0;2;4;58;1;175;8;3;6;;
HVAR;4;745;419;419;415;4;0;3;1;2;0;2;0;6;144;1;15;17;1;13;7;5;0;2;1;47;0;146;2;0;0;;
HVAR;5;804;445;445;439;6;0;2;0;0;0;0;0;3;139;1;29;11;3;4;7;0;1;2;0;57;0;177;1;2;0;;
HVAR;6;77;54;54;53;1;0;0;0;0;0;0;0;0;22;0;5;9;0;2;1;0;0;0;2;2;0;9;0;1;0;;
HVAR;7;217;133;133;129;4;0;0;0;0;1;0;0;1;43;0;5;13;2;2;3;0;0;1;0;10;0;46;2;0;0;;
HVAR;8;22;14;14;14;0;0;0;0;1;0;0;0;0;5;0;1;4;0;0;0;0;0;0;0;3;0;0;0;0;0;;
HVAR;9;143;95;95;93;2;0;1;1;1;0;0;0;0;48;0;5;9;0;7;2;0;0;0;0;5;0;12;1;0;1;;
IMOTSKI;1;816;439;439;435;4;0;1;2;1;0;1;0;17;271;0;1;9;1;40;14;0;7;2;0;8;3;55;2;0;0;;
IMOTSKI;2;505;246;246;241;5;0;1;1;0;0;0;0;4;124;0;3;19;0;27;6;0;0;0;0;6;1;45;4;0;0;;
IMOTSKI;3;1537;843;843;838;5;0;0;1;2;1;1;0;8;479;2;18;28;1;91;25;0;10;1;0;19;2;144;5;0;0;;
IMOTSKI;4;1252;689;689;681;8;0;1;0;1;0;4;0;11;415;1;9;16;1;130;17;1;3;0;0;14;2;55;0;0;0;;
IMOTSKI;5;215;134;134;134;0;0;1;0;0;0;0;0;0;83;0;2;7;0;16;1;0;0;0;1;1;1;21;0;0;0;;
IMOTSKI;6;821;399;399;395;4;0;0;1;2;0;1;0;5;252;0;3;10;3;80;5;0;5;1;0;6;1;18;1;0;1;;
IMOTSKI;7;287;159;159;158;1;0;0;0;0;0;5;1;1;118;0;0;1;1;23;2;0;1;0;1;0;0;3;1;0;0;;
IMOTSKI;8;402;224;224;222;2;0;1;0;0;0;1;0;0;98;0;2;4;0;95;2;0;1;0;0;3;0;14;1;0;0;;
IMOTSKI;9;597;277;277;271;6;0;1;0;0;0;2;0;3;129;0;2;16;0;47;12;0;8;0;0;11;0;38;0;0;2;;
IMOTSKI;10;838;443;443;435;8;1;0;0;1;0;0;0;5;250;1;6;26;1;72;11;1;1;0;0;4;1;52;1;0;1;;
IMOTSKI;11;325;211;211;211;0;0;0;0;0;0;0;0;1;119;0;4;5;1;52;5;0;1;1;1;3;1;14;3;0;0;;
IMOTSKI;12;226;135;135;133;2;0;0;0;0;0;0;0;1;105;0;1;3;0;17;0;0;0;1;1;0;0;4;0;0;0;;
IMOTSKI;13;287;168;168;168;0;0;1;0;1;0;0;0;1;113;0;3;2;0;40;0;0;1;0;0;3;1;2;0;0;0;;
IMOTSKI;14;586;382;340;335;5;0;1;2;1;1;0;1;5;203;0;11;6;2;34;4;0;7;1;0;2;3;44;7;0;0;;
IMOTSKI;15;381;298;298;295;3;0;1;2;1;0;0;0;20;80;1;6;8;1;125;6;0;3;0;0;2;0;32;3;2;2;;
IMOTSKI;16;450;307;307;301;6;0;1;0;0;0;0;0;3;205;2;0;8;0;71;2;0;0;0;0;2;1;5;1;0;0;;
KOMIŽA;1;761;460;459;446;13;0;1;1;3;0;3;0;3;107;2;28;43;3;5;31;0;1;4;0;19;0;185;4;0;3;;
KOMIŽA;2;766;429;429;419;10;0;0;3;4;2;1;0;7;130;1;25;44;3;5;18;0;1;3;1;13;0;144;10;2;2;;
KOMIŽA;3;128;76;76;75;1;0;0;0;1;1;0;0;1;24;1;1;4;0;0;0;0;0;0;0;3;0;36;3;0;0;;
KORÈULA;1;1198;726;726;722;4;2;1;3;0;0;2;0;3;319;3;29;32;2;26;16;0;1;2;0;9;0;264;3;3;2;;
KORÈULA;2;596;375;375;374;1;0;0;1;0;0;1;0;0;134;0;15;24;0;18;10;1;0;3;0;9;0;152;5;0;1;;
KORÈULA;3;1039;588;588;585;3;1;2;0;2;0;6;0;1;203;1;23;23;3;40;12;0;2;2;2;20;0;231;4;1;6;;
KORÈULA;4;308;199;199;189;10;0;0;1;2;0;0;1;2;140;1;3;2;1;4;3;0;0;0;0;0;0;29;0;0;0;;
KORÈULA;5;103;61;61;58;3;0;0;0;0;0;0;0;0;20;0;0;5;0;6;1;0;0;0;0;0;0;25;1;0;0;;
KORÈULA;6;379;210;210;207;3;0;2;2;0;0;3;1;0;82;1;5;14;3;7;2;0;1;2;0;4;0;75;1;1;1;;
KORÈULA;7;583;363;363;351;12;0;2;0;0;0;0;0;2;136;3;2;21;1;25;3;0;0;3;0;3;0;146;4;0;0;;
KORÈULA;8;418;259;259;257;2;1;0;0;0;1;2;0;4;99;2;1;2;3;8;11;0;0;0;1;0;0;119;2;1;0;;
KORÈULA;9;625;343;343;332;11;1;0;0;1;3;8;0;1;121;3;6;28;1;23;12;1;0;0;1;11;0;107;3;1;0;;
KORÈULA;10;212;146;146;139;7;1;0;0;1;2;2;0;0;55;0;1;25;0;5;3;0;0;1;0;2;0;38;2;1;0;;
MAKARSKA;1;3480;1695;1695;1677;18;0;1;3;0;1;2;0;31;912;2;64;38;5;35;49;0;6;3;0;36;1;467;10;5;6;;
MAKARSKA;2;2061;1114;1114;1097;17;1;3;2;1;3;1;0;20;476;3;37;20;5;9;23;1;3;4;0;21;1;445;13;2;3;;
MAKARSKA;3;2868;1578;1577;1556;21;0;3;3;0;1;3;0;21;515;4;88;33;3;10;50;0;7;15;3;33;0;733;19;10;2;;
MAKARSKA;4;984;550;550;544;6;0;3;2;0;2;1;0;7;186;1;36;15;2;6;19;0;3;7;2;5;1;234;6;5;1;;
MAKARSKA;5;2096;1180;1179;1167;12;0;0;4;0;0;2;1;14;523;5;58;24;3;8;46;1;2;16;4;22;3;418;4;5;4;;
MAKARSKA;6;3228;1700;1700;1674;26;1;6;5;2;3;5;0;8;728;5;111;33;3;25;48;1;6;9;0;31;0;621;18;4;1;;
MAKARSKA;7;351;199;199;195;4;0;0;1;0;0;0;0;0;94;0;8;4;1;8;5;0;0;0;0;1;0;72;1;0;0;;
METKOVIÆ;1;600;385;385;382;3;0;0;0;0;0;0;1;1;144;4;4;143;1;8;5;0;0;1;0;3;0;64;3;0;0;;
METKOVIÆ;2;1187;793;793;783;10;0;0;1;1;0;3;0;8;325;1;18;224;1;16;26;0;0;0;2;10;1;139;6;1;0;;
METKOVIÆ;3;1733;1165;1164;1148;16;1;4;0;1;0;2;0;6;543;5;34;283;5;23;27;0;2;6;0;25;0;179;2;0;0;;
METKOVIÆ;4;875;602;602;595;7;0;0;1;2;0;0;2;1;248;0;7;235;1;10;13;0;2;1;1;2;0;67;2;0;0;;
