Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  BRANKO OZIMEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MIROSLAV RAJH  ;AKCIJA MLADIH - AM  , Nositelj liste:  VOJMIR SABOLIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  RUDOLF FORKO   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  IVAN MARTAN ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU  , Nositelj liste:  BOŽO RENDIÆ   ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  dr.sc. ZVONIMIR SABATI ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS , ZAGORSKA DEMOKRATSKA STRANKA - ZDS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ   ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ROBERT ŠPOLJAR, dipl.ing.sig.;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  LADISLAV ILÈIÆ  ;MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS  , Nositelj liste:  ŽELJKO PAVLIC  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  DEAN GOLUBIÆ, dipl.krim. ;NEOVISNA LISTA  , Nositelj liste:  IVAN FIOLIÆ FIO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ   ;, NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  RADIMIR ÈAÈIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  FRANJO GOLENKO ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGORSKA STRANKA - ZS  , Nositelj liste:  MILJENKO JERNEIÆ  ;ZELENA LISTA  , Nositelj liste:  STANKO BEZEK  ;ZELENA STRANKA - ZS  , Nositelj liste:  TIHOMIR CAMPANELLO  ;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;15;BEDNJICA;DRUŠTVENI DOM BEDNJICA;BEDNJICA;246;122;122;120;2;0;0;1;0;0;1;0;0;1;1;57;1;0;2;3;0;0;1;4;1;1;0;0;1;1;43;0;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;16;GORNJA VIŠNJICA;VATROGASNI DOM DONJA VIŠNJICA;GORNJA VIŠNJICA;427;184;184;179;5;0;2;0;1;1;2;0;1;0;0;43;0;2;4;1;4;0;0;1;2;2;0;0;0;0;112;0;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;17;ZLOGONJE;KUÆA KRISTIJANA JURENEC;ZLOGONJE 135;409;156;156;152;4;1;0;0;1;0;2;0;3;1;0;28;0;1;10;0;1;0;0;7;0;1;0;0;0;0;95;0;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;18;ŽAROVNICA;PODRUÈNA ŠKOLA ŽAROVNICA;ŽAROVNICA;638;379;379;372;7;0;0;0;3;1;3;2;0;0;2;77;0;1;21;9;3;3;3;15;3;1;2;1;0;0;220;1;1;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;1;LUDBREG - 1;"PUÈKO OTVORENO UÈILIŠTE ""DRAGUTIN NOVAK""";TRG SVETOG TROJSTVA 19;1.452;971;971;948;23;0;1;0;7;10;2;2;14;3;3;121;0;8;30;39;25;10;6;108;17;3;2;1;6;1;520;1;0;0;6;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;2;LUDBREG - 2;OSNOVNA ŠKOLA LUDBREG;KAÈIÆEVA 17;1.645;1.113;1.113;1.099;14;0;0;6;4;7;4;3;16;1;2;76;0;4;31;43;23;12;6;84;30;2;0;0;13;3;715;2;0;3;4;5;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;3;VINOGRADI LUDBREŠKI;DRUŠTVENI DOM;VINOGRADI LUDBREŠKI 65A;562;336;336;334;2;0;1;1;1;1;0;0;7;0;3;48;0;1;3;22;8;0;2;48;8;1;0;0;3;2;172;1;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;4;SIGETEC LUDBREŠKI;DRUŠTVENI DOM;SIGETEC LUDBREŠKI BRAÆE RADIÆ 13;596;394;394;384;10;0;2;1;1;3;0;0;9;2;2;51;1;3;56;10;7;4;3;29;26;1;0;0;4;1;167;0;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;5;SLOKOVEC;VATROGASNI DOM;SLOKOVEC 45;235;178;178;172;6;0;0;0;0;1;0;0;1;1;1;40;0;0;22;1;2;2;0;10;5;0;1;0;0;0;85;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;6;APATIJA;DRUŠTVENI DOM;APATIJAV 21A;220;157;157;156;1;1;0;0;0;2;2;1;1;0;1;45;0;0;25;0;1;2;1;2;2;0;0;2;1;0;67;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;7;SELNIK;DRUŠTVENI DOM;SELNIK, GLAVNA 1;762;494;493;490;3;0;1;0;1;3;2;2;12;0;1;65;0;6;25;12;13;4;5;35;16;1;1;1;0;1;282;0;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;8;KUÆAN LUDBREŠKI;DRUŠTVENI DOM;KUÆAN LUDBREŠKI 2D;159;115;115;113;2;0;0;1;2;2;1;1;1;0;0;13;0;0;4;0;3;0;0;9;0;0;0;0;1;0;75;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;9;HRASTOVSKO;DRUŠTVENI DOM;HRASTOVSKO, KALNIÈKA 3;624;441;441;437;4;0;0;1;1;3;1;0;10;1;3;34;0;2;12;30;7;3;1;32;8;8;0;1;0;0;275;0;0;0;2;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;10;GLOBOÈEC LUDBREŠKI;DRUŠTVENI DOM-GLOBOÈEC LUDBREŠKI;GLOBOÈEC LUDBREŠKI, LUDBREŠKA 90;415;252;251;247;4;0;0;1;1;4;1;0;0;0;2;37;0;0;8;4;5;0;0;19;7;0;0;2;3;1;149;2;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;11;ÈUKOVEC;DRUŠTVENI DOM;ÈUKOVEC, GRACI 2;258;148;148;144;4;1;0;0;0;0;1;1;4;0;1;23;0;1;0;1;2;1;0;3;9;0;0;0;0;0;96;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;12;BOLFAN;DRUŠTVENI DOM;BOLFAN, VARAŽDINSKA 42;382;221;221;217;4;0;0;0;0;2;1;0;4;2;2;27;0;0;10;11;4;1;0;14;0;0;0;0;0;0;137;0;0;0;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LUDBREG;13;SEGOVINA;DRUŠTVENI DOM;SEGOVINA 17;27;20;20;20;0;0;0;0;1;0;0;1;0;0;0;4;0;0;1;2;0;0;0;0;0;1;0;0;0;0;10;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;MURSKO SREDIŠÆE;1;MURSKO SREDIŠÆE;STARA ŠKOLA;TRG BRAÆE RADIÆA 2;1.182;730;729;723;6;1;2;5;4;1;6;0;13;1;0;93;0;1;9;14;10;5;6;165;12;9;0;0;4;2;356;2;0;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;MURSKO SREDIŠÆE;2;MURSKO SREDIŠÆE;PROSTORIJE STARE APOTEKE;MARTINSKA 2;473;280;280;274;6;2;0;0;0;0;0;0;8;2;1;21;0;1;4;16;2;1;1;60;6;4;0;0;11;0;134;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;MURSKO SREDIŠÆE;3;MURSKO SREDIŠÆE;BIVŠA MJESNA ZAJEDNICA;FRANKOPANSKA 8;1.296;795;792;779;13;0;0;3;2;1;1;2;16;1;1;93;0;1;3;29;7;4;3;178;11;9;1;2;7;0;400;1;1;0;0;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;MURSKO SREDIŠÆE;4;PEKLENICA;DRUŠTVENI DOM;TRG PEKLENIÈKIH RUDARA 3;1.115;728;728;724;4;0;0;4;1;3;4;0;10;5;4;80;1;0;6;22;12;3;1;161;5;6;0;2;1;0;390;1;1;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;MURSKO SREDIŠÆE;5;KRIŽOVEC;DRUŠTVENI DOM;KRIŽOVEC 17;578;361;361;360;1;1;2;1;2;0;0;0;3;0;2;35;0;2;5;3;4;1;0;95;0;3;0;2;3;0;195;1;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;MURSKO SREDIŠÆE;6;ŠTRUKOVEC;DRUŠTVENI DOM;ŠTRUKOVEC BB;329;176;176;171;5;0;1;1;0;0;0;1;3;3;1;40;0;1;4;4;0;1;0;49;4;5;0;0;0;0;50;1;0;0;0;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;MURSKO SREDIŠÆE;7;HLAPIÈINA;PODRUÈNA ŠKOLA;HLAPIÈINA 36;699;354;354;347;7;0;0;3;1;0;2;0;5;1;5;30;0;2;2;11;4;2;0;103;13;9;0;1;5;0;146;1;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;1;NOVI MAROF - 1;"ZGRADA KULTURNOG CENTRA ""IVAN RABUZIN""";ANTUNA MIHANOVIÆA 3;697;547;547;539;8;0;1;0;0;5;0;0;16;1;1;95;0;0;9;15;6;3;0;58;14;0;0;2;8;0;298;2;0;2;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;2;NOVI MAROF - 2;OSNOVNA ŠKOLA NOVI MAROF;NOVI MAROF;626;437;437;425;12;0;2;0;4;2;4;0;15;1;0;77;0;1;9;19;6;4;0;34;11;0;0;1;5;0;225;0;0;3;0;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;3;NOVI MAROF -3;"POSLOVNA ZGRADA ""TERMOPLIN"" D.D.";VARAŽDINSKA 48;383;301;301;299;2;0;2;0;0;2;2;0;7;1;0;39;1;0;7;11;3;2;2;41;6;0;0;0;4;0;167;0;0;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;4;PURGARI;STOLARSKA RADIONICA VLADIMIRA ÈOLJE;REMETINEC 5;239;170;170;166;4;0;0;0;2;3;3;0;5;0;0;35;0;0;12;3;1;0;0;25;5;1;0;0;0;0;69;0;1;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;5;REMETINEC - 1;PODRUÈNA ŠKOLA REMETINEC;REMETINEC;645;436;436;433;3;1;1;0;3;3;6;0;6;0;1;142;1;0;8;14;2;5;1;41;20;2;0;3;5;1;164;0;1;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;6;REMETINEC - 2;DRUŠTVENI DOM;REMETINEC;394;293;293;284;9;0;3;1;3;1;2;0;3;1;1;96;0;0;15;10;4;2;0;15;8;0;0;0;1;0;117;0;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;7;STRMEC REMETINEÈKI;DRUŠTVENI DOM;STRMEC REMETINEÈKI;409;305;305;294;11;0;1;2;0;0;0;1;7;0;2;101;0;0;6;8;1;2;1;17;2;3;0;3;0;0;136;0;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;8;GORNJE PRESEÈNO;PODRUÈNA ŠKOLA PRESEÈNO;PRESEÈNO 35;508;356;356;341;15;0;1;2;0;3;3;3;5;4;2;60;0;0;20;8;12;1;0;31;21;2;1;3;4;1;146;0;0;2;1;5;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;9;KLJUÈ - 1;DOM KULTURE;KLJUÈ;572;392;392;378;14;0;3;1;1;3;3;0;4;1;1;91;0;0;20;6;6;1;0;41;3;2;0;0;2;1;188;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;10;KLJUÈ - 2;PODRUÈNA ŠKOLA KLJUÈ;KLJUÈ;236;158;158;155;3;0;0;0;0;1;1;0;5;0;1;35;0;0;13;2;0;0;1;19;4;0;0;2;4;0;64;1;0;2;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;11;OŠTRICE;VATROGASNI DOM;OŠTRICE;424;307;307;302;5;0;0;2;0;0;0;0;5;0;1;75;1;0;13;4;12;2;2;21;12;0;0;2;4;0;144;1;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;12;OREHOVEC;DRUŠTVENI DOM;OREHOVEC;247;171;171;168;3;0;0;0;0;3;3;0;4;1;2;22;1;0;10;6;5;0;1;20;0;0;0;1;2;1;82;1;1;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;13;DONJE PRESEÈNO;STARA KUÆA DRAGUTINA STEPANA;PRESEÈNO 184;244;165;165;163;2;0;1;2;1;3;1;1;5;1;1;21;0;1;2;1;5;0;0;15;3;0;0;2;0;1;92;1;1;0;0;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;14;MOŽÐENEC;DRUŠTVENI DOM;MOŽÐENEC;563;358;358;350;8;1;0;0;2;4;0;1;3;2;1;90;0;0;6;16;7;0;1;24;8;1;0;0;1;0;178;0;0;1;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;15;GRANA;KUÆA ŽELJKA ŽUGECA;GRANA 79A;464;275;275;268;7;0;0;3;1;4;1;0;6;0;4;61;0;0;16;4;5;0;1;35;17;1;2;1;0;1;101;2;0;1;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;16;GORNJE MAKOJIŠÆE;DRUŠTVENI DOM;GORNJE MAKOJIŠÆE;330;232;232;226;6;0;0;1;1;1;4;0;6;1;3;56;0;0;11;4;4;1;4;18;5;0;0;2;1;0;96;2;0;2;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;17;PAKA;"POSLOVNI PROSTOR ""PLASTILAK"" VL. FRANJO KUZMIÆ";PAKA 20;80;56;56;55;1;0;0;0;0;0;0;0;0;0;1;13;0;0;2;0;2;0;2;0;1;0;0;0;1;0;33;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;18;SUDOVEC;DRUŠTVENI DOM;SUDOVEC;301;200;200;194;6;0;0;1;0;0;2;2;0;2;1;65;0;0;16;1;1;0;0;13;5;0;0;1;0;0;83;0;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;19;DONJE MAKOJIŠÆE - 1;KUÆA VLADIMIRA OŠTREKA;DONJE MAKOJIŠÆE 16;121;67;67;66;1;0;0;0;1;0;1;0;0;2;0;17;0;1;9;0;0;0;0;3;1;1;0;2;0;0;28;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;20;DONJE MAKOJIŠÆE - 2;OSNOVNA ŠKOLA PODRUTE;DONJE MAKOJIŠÆE;350;223;223;220;3;0;0;1;1;0;3;0;3;4;2;38;0;0;5;5;4;1;0;26;5;1;0;3;0;0;118;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;21;MAÐAREVO - 1;PODRUÈNA ŠKOLA MAÐAREVO - BIR.1;MAÐAREVO;428;290;290;286;4;1;2;1;4;2;1;0;3;1;0;53;0;2;34;3;2;0;1;38;11;1;0;1;0;0;124;0;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;22;MAÐAREVO - 2;PODRUÈNA ŠKOLA MAÐAREVO - BIR.2;MAÐAREVO;554;332;332;327;5;0;0;1;1;1;8;0;4;2;3;59;0;4;11;2;4;2;0;39;2;2;0;2;2;1;176;0;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;23;KRÈ;KUÆA JOSIPA KIŠAKA;KRÈ 129;352;244;244;242;2;0;0;0;1;1;2;0;4;0;2;40;0;1;9;5;4;2;0;17;5;0;0;0;3;1;145;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;24;JELENŠÈAK;KUÆA NEVENKE KUZMIÆ;JELENŠÈAK 7;198;116;116;114;2;0;0;0;1;5;1;0;3;0;2;36;0;0;10;1;0;1;0;13;4;0;0;1;0;0;36;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;25;KAMENA GORICA;DRUŠTVENI DOM;KAMENA GORICA;216;145;145;145;0;2;1;0;0;0;0;0;1;1;0;46;1;0;5;0;3;0;1;19;2;0;0;2;0;0;60;0;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;26;PODRUTE;ZADRUŽNI DOM (PROSTORIJE MO PODRUTE - PRIZEMLJE);PODRUTE;272;132;132;125;7;0;1;1;4;2;2;0;4;1;0;14;0;1;7;5;1;2;0;9;1;1;0;0;0;0;68;0;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;27;PODEVÈEVO;DRUŠTVENI DOM;PODEVÈEVO;665;409;409;400;9;0;0;0;1;4;1;0;5;3;1;101;1;3;12;7;7;1;1;17;13;9;1;2;3;0;200;0;1;4;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;28;ZAVRŠJE PODBELSKO;PODRUÈNA ŠKOLA ZAVRŠJE;ZAVRŠJE PODBELSKO;742;456;456;445;11;0;0;0;3;4;2;0;11;2;2;86;0;5;23;13;8;1;1;27;2;0;0;4;4;0;240;0;0;3;3;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;29;FILIPIÆI;KUÆA IVICE SLUNJSKI;FILIPIÆI 19;122;77;77;76;1;0;0;1;1;0;0;0;2;1;1;17;0;0;0;2;1;0;0;9;2;0;0;1;0;1;37;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;NOVI MAROF;30;GORNJE PODRUTE;DRUŠTVENI DOM;GORNJE PODRUTE;146;77;77;77;0;0;0;0;0;3;2;0;1;0;1;7;0;2;5;2;1;1;0;10;4;0;0;1;0;0;35;0;0;2;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;OROSLAVJE;1;OROSLAVJE;UDRUŽENJE UMIROVLJENIKA;ORO TRG 2;967;640;639;633;6;1;0;3;6;8;8;2;24;4;1;100;0;1;13;44;19;7;2;30;6;1;0;9;10;0;327;0;0;4;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;OROSLAVJE;2;OROSLAVJE;SREDNJA ŠKOLA;GAJEVA 1;904;583;583;576;7;2;1;3;4;5;2;2;22;3;0;89;1;1;11;29;18;5;2;22;16;1;2;3;3;1;313;1;0;9;1;4;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;OROSLAVJE;3;ANDRAŠEVEC;DRUŠTVENI DOM;ANDRAŠEVEC;767;436;436;427;9;1;2;4;7;2;5;1;14;5;0;59;0;1;10;31;13;2;3;33;4;1;0;16;3;0;199;0;0;10;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;OROSLAVJE;4;GORNJE OROSLAVJE;DRUŠTVENI DOM;STUBIÈKA CESTA;1.111;679;678;669;9;0;4;1;3;8;5;2;30;4;2;103;1;3;22;33;29;4;5;63;7;1;0;12;13;0;295;0;0;14;2;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;OROSLAVJE;5;MOKRICE;DRUŠTVENI DOM;MOKRICE;676;439;439;429;10;1;0;1;7;3;6;1;8;2;0;71;0;1;13;16;25;5;2;37;11;0;1;7;2;0;188;1;1;18;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;OROSLAVJE;6;KRUŠLJEVO SELO;PODRUÈNA ŠKOLA;KRUŠLJEVO SELO;463;290;290;278;12;0;1;3;7;2;1;0;8;1;2;43;0;0;8;15;14;2;1;16;3;0;0;4;2;0;138;0;0;5;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;OROSLAVJE;7;STUBIÈKA SLATINA;DRUŠTVENI DOM;STUBIÈKA SLATINA;549;365;365;343;22;1;1;3;6;6;4;1;12;0;2;52;0;1;21;20;8;5;1;21;1;0;0;4;3;0;152;0;0;16;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;1;PREGRADA;GRADSKA VIJEÆNICA;JOSIPA KARLA TUŠKANA 2;1.521;998;998;971;27;0;3;3;10;6;16;2;16;5;4;186;0;5;52;60;18;7;5;65;17;1;1;5;7;1;463;1;0;5;4;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;2;PREGRADA;HOL ISPRED GRADSKE VIJEÆNICE;JOSIPA KARLA TUŠKANA 2;347;187;187;179;8;0;0;0;1;1;3;1;4;0;1;17;0;1;10;7;3;2;0;9;3;1;0;0;1;0;104;2;0;8;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;3;BUŠIN;KUÆA HANŽIÆ JOSIPA;BUŠIN 43;130;73;73;71;2;0;0;0;0;0;3;0;3;0;0;25;1;0;8;5;0;0;0;4;4;1;0;5;1;0;11;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;4;KLENICE;KUÆA ŽIGER ŽARKA;KLENICE 16;83;46;46;46;0;0;0;0;1;0;0;0;1;0;0;6;0;0;3;2;0;0;0;3;0;0;0;2;0;0;27;1;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;5;VALENTINOVO;KUÆA NIKOLE PASARIÈEKA;VALENTINOVO 23;139;78;78;76;2;0;1;0;0;1;1;1;1;1;1;9;0;0;6;2;0;0;0;2;0;0;0;2;3;0;43;0;1;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;6;SOPOT;PODRUÈNA ŠKOLA;SOPOT;599;342;342;332;10;1;1;4;3;2;9;0;7;1;4;70;2;0;33;3;2;1;0;17;5;4;0;2;2;0;154;0;0;2;0;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;7;VINAGORA;ZGRADA MJESNOG ODBORA;VINAGORA;502;237;237;226;11;0;0;0;4;1;5;0;7;0;3;64;2;1;22;3;2;0;2;7;5;0;0;1;1;2;92;2;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;8;STIPERNICA;VATROGASNI DOM;STIPERNICA;242;124;124;119;5;3;0;0;1;0;3;0;7;3;3;29;0;1;13;1;1;2;0;3;3;1;0;3;1;0;38;0;0;3;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;9;GORJAKOVO;PODRUÈNA ŠKOLA;GORJAKOVO;294;128;128;124;4;0;0;1;0;1;3;0;1;1;2;26;0;0;29;1;1;1;2;1;2;0;1;2;0;0;46;0;1;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;10;CIGROVEC;KUÆA MRKUS MILANA;CIGROVEC 186/2;329;130;130;128;2;0;0;2;0;0;2;1;3;0;3;35;0;1;19;8;0;0;0;7;0;0;0;4;2;0;40;1;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;11;BENKOVO;PODRUÈNA ŠKOLA;BENKOVO;420;210;210;205;5;0;2;0;2;0;3;2;10;0;3;41;1;0;37;1;9;2;0;4;1;0;0;8;0;0;76;0;0;2;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;12;PLEMENŠÆINA;DUÆAN U GORNJOJ PLEMENŠÆINI;GORNJA PLEMENŠÆINA;494;245;245;241;4;1;4;0;0;1;8;1;5;2;5;45;0;1;21;4;7;2;0;6;3;2;1;1;1;0;112;2;1;2;0;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PREGRADA;13;KOSTEL;PODRUÈNA ŠKOLA;KOSTEL;573;329;329;322;7;0;1;0;3;1;5;0;9;2;1;40;0;0;42;5;3;3;3;20;2;2;4;2;1;0;156;2;1;12;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;1;CIRKOVLJAN;DOM KULTURE;DONJA 1;722;455;455;451;4;1;0;1;3;2;5;0;7;5;3;65;2;1;16;10;7;6;0;117;9;6;1;0;7;0;175;0;0;0;1;1;;;;;;;;;;;;;;;;;
