Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: FURIO RADIN, Zamjenik: ROBERTO PALISCA, Predlagatelj: NEOVISNI KANDIDAT  
XII. IZBORNA JEDINICA;2;NOVIGRAD PODRAVSKI;7;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;NOVO VIRJE;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;PETERANEC;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;PODRAVSKE SESVETE;4;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;PRESEKA;14;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;RAKOVEC;11;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;RASINJA;14;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ROVIŠÆE;12;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SEVERIN;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SIRAÈ;7;2;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SOKOLOVAC;14;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SVETI IVAN ŽABNO;19;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SVETI PETAR OREHOVEC;14;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ŠANDROVAC;7;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ŠTEFANJE;11;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKA PISANICA;9;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKA TRNOVITICA;8;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKI GRÐEVAC;11;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKO TROJSTVO;12;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VIRJE;10;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ZRINSKI TOPOLOVAC;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ÈAKOVEC;30;1;1;1;1;0;1
XII. IZBORNA JEDINICA;3;DONJA STUBICA;11;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;IVANEC;34;1;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KLANJEC;9;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KRAPINA;15;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;LEPOGLAVA;18;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;LUDBREG;13;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;MURSKO SREDIŠÆE;7;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;NOVI MAROF;30;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;OROSLAVJE;7;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PREGRADA;13;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PRELOG;12;1;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VARAŽDIN;48;4;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VARAŽDINSKE TOPLICE;21;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ZABOK;15;1;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ZLATAR;17;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BEDEKOVÈINA;13;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BEDNJA;13;1;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BELICA;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BERETINEC;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BREZNICA;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BREZNIÈKI HUM;4;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BUDINŠÈINA;9;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;CESTICA;12;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DEKANOVEC;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DESINIÆ;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DOMAŠINEC;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJA DUBRAVA;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJA VOÆA;8;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJI KRALJEVEC;8;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJI VIDOVEC;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ÐURMANEC;12;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;GORIÈAN;3;0;0;0;0;0;0
