Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: JOVAN AJDUKOVIÆ, dipl. pravnik, Zamjenik: DRAGAN TODIÆ, dipl. pravnik, Predlagatelj: , SRPSKA NARODNA STRANKA - SNS, DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: DUŠAN CVETANOVIÆ, Zamjenik: NEVEN ÆUK, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VELJKO DŽAKULA, dipl.ing., Zamjenik: OLIVERA MIOÈINOVIÆ, dr.med. , Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: NEMANJA MARIÆ, Zamjenik: DAVID CVETANOVIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP;Kandidat: LJUBOMIR MIKIÆ, dipl.iur. , Zamjenik: DRAGO PEPIÆ, dipl.iur. , Predlagatelj: NEOVISNI KANDIDAT;Kandidat: SLOBODAN MILOŠEVIÆ, Zamjenik: SOFIJA ÐURKOVIÆ, Predlagatelj: UDRUGA SRBA OSJEÈKO-BARANJSKE ŽUPANIJE - U.S.O.B.Ž. ;Kandidat: prof.dr.sc. MILORAD PUPOVAC , Zamjenik: ALEKSANDAR MILOŠEVIÆ, dipl.pol. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: DRAGANA RESAN, Zamjenik: MIODRAG VESIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: MILAN RODIÆ, mag. iur., Zamjenik: RADMILA MEDAKOVIÆ, ing.el.str., Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS ;Kandidat: DUŠKO SIMIÆ, dipl.iur., Zamjenik: ALEKSANDAR KOJIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: DRAGAN CRNOGORAC, prof., Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: BRANISLAV TEKIÆ, dipl.iur., Zamjenik: SAŠA BJELANOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: JOVO VUKOVIÆ, ing.grad., Zamjenik: MILE HORVAT, dipl.iur. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
XII. IZBORNA JEDINICA;7;DRAGANIÆ;4;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;FUŽINE;3;23;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;GENERALSKI STOL;8;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;JELENJE;9;39;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;JOSIPDOL;11;324;15;15;15;0;1;0;2;0;0;0;7;1;8;1;5;0;0
XII. IZBORNA JEDINICA;7;KAMANJE;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KLANA;6;16;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KLINÈA SELA;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KRAŠIÆ;13;11;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KRNJAK;5;1.625;385;385;379;6;22;8;27;3;7;8;288;7;18;10;263;9;226
XII. IZBORNA JEDINICA;7;LASINJA;7;268;9;9;9;0;0;0;4;0;0;0;7;0;2;0;6;0;3
XII. IZBORNA JEDINICA;7;LOKVE;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;MRKOPALJ;2;9;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;NETRETIÆ;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;PISAROVINA;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;PLAŠKI;3;1.641;315;315;308;7;141;8;142;2;1;4;143;2;141;3;145;0;115
XII. IZBORNA JEDINICA;7;RAKOVICA;5;346;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;RAVNA GORA;5;15;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;RIBNIK;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;SABORSKO;1;280;54;54;51;3;6;2;5;0;0;0;37;0;5;0;35;1;35
XII. IZBORNA JEDINICA;7;SKRAD;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;STUPNIK;3;30;2;2;2;0;0;2;1;0;0;0;1;0;1;0;0;0;1
XII. IZBORNA JEDINICA;7;TOUNJ;4;55;4;4;4;0;2;2;1;0;0;0;1;0;1;0;1;1;1
XII. IZBORNA JEDINICA;7;VINODOLSKA OPÆINA;5;57;2;2;2;0;0;1;0;0;0;2;0;0;0;1;0;1;1
XII. IZBORNA JEDINICA;7;VIŠKOVO;10;524;68;68;68;0;10;3;3;1;1;4;57;1;7;0;54;1;35
XII. IZBORNA JEDINICA;7;VOJNIÆ;12;3.328;288;288;283;5;61;14;69;9;9;12;187;8;24;11;177;5;137
XII. IZBORNA JEDINICA;7;ŽAKANJE;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;ŽUMBERAK;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;BUJE - BUIE;8;99;16;16;16;0;3;1;2;1;0;2;13;0;0;1;9;1;7
XII. IZBORNA JEDINICA;8;BUZET;16;21;2;2;2;0;0;0;1;0;0;0;1;1;0;0;0;0;1
XII. IZBORNA JEDINICA;8;CRES;8;39;6;6;6;0;2;3;2;0;0;0;3;0;1;1;3;0;2
XII. IZBORNA JEDINICA;8;CRIKVENICA;9;187;12;12;11;1;4;0;4;1;0;1;5;0;2;0;5;0;3
XII. IZBORNA JEDINICA;8;KRALJEVICA;5;81;3;3;3;0;0;0;0;0;0;0;2;0;1;0;1;0;1
XII. IZBORNA JEDINICA;8;KRK;9;76;5;5;5;0;1;0;2;0;0;1;3;0;1;0;3;0;2
XII. IZBORNA JEDINICA;8;LABIN;16;144;32;32;32;0;11;4;9;2;0;2;24;0;2;0;15;2;10
XII. IZBORNA JEDINICA;8;MALI LOŠINJ;13;229;23;23;23;0;8;2;8;1;2;3;12;2;1;0;6;0;4
XII. IZBORNA JEDINICA;8;NOVIGRAD - CITTANOVA;3;54;3;3;3;0;1;0;1;0;0;0;2;0;1;0;0;0;0
XII. IZBORNA JEDINICA;8;OPATIJA;14;182;15;15;15;0;5;0;1;0;0;2;14;0;1;0;9;0;6
XII. IZBORNA JEDINICA;8;PAZIN;15;25;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;POREÈ - PARENZO;16;404;20;20;19;1;7;2;3;1;1;0;12;1;3;1;7;0;2
XII. IZBORNA JEDINICA;8;PULA - POLA;43;1.832;225;225;220;5;41;17;36;9;5;13;155;5;19;11;136;5;82
XII. IZBORNA JEDINICA;8;RAB;8;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;RIJEKA;101;4.400;502;458;445;13;123;22;108;15;12;32;277;13;62;17;216;12;159
XII. IZBORNA JEDINICA;8;ROVINJ - ROVIGNO;12;339;31;31;31;0;10;3;6;2;2;2;14;2;3;0;14;1;9
XII. IZBORNA JEDINICA;8;UMAG - UMAGO;12;320;29;29;27;2;8;1;5;1;0;1;18;1;3;0;16;0;14
XII. IZBORNA JEDINICA;8;VODNJAN - DIGNANO;4;145;38;35;32;3;2;1;2;0;2;0;26;0;2;1;15;0;16
XII. IZBORNA JEDINICA;8;BALE - VALLE;1;13;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0
XII. IZBORNA JEDINICA;8;BARBAN;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;BAŠKA;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;BRTONIGLA - VERTENEGLIO;4;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;CEROVLJE;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;DOBRINJ;6;14;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;FAŽANA - FASANA;4;128;25;25;25;0;6;0;5;0;0;3;12;2;7;0;13;2;10
XII. IZBORNA JEDINICA;8;FUNTANA - FONTANE;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;GRAÈIŠÆE;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;GROŽNJAN - GRISIGNANA;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;KANFANAR;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;KAROJBA;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;KAŠTELIR-LABINCI - CASTELLIERE-S. D;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;KOSTRENA;3;49;3;3;3;0;1;0;1;0;0;0;2;0;0;0;1;1;1
XII. IZBORNA JEDINICA;8;KRŠAN;8;14;2;2;2;0;0;0;0;0;0;0;2;0;1;0;2;0;1
XII. IZBORNA JEDINICA;8;LANIŠÆE;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;LIŽNJAN - LISIGNANO;5;60;7;7;7;0;0;0;1;0;0;1;4;0;1;0;4;0;2
XII. IZBORNA JEDINICA;8;LOPAR;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;LOVRAN;6;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;LUPOGLAV;7;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;MALINSKA-DUBAŠNICA;5;49;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;MARÈANA;8;26;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;MATULJI;20;141;16;16;15;1;5;1;4;1;1;2;10;0;0;0;7;0;3
XII. IZBORNA JEDINICA;8;MEDULIN;7;204;17;17;17;0;5;0;7;0;1;0;12;0;3;1;8;1;7
XII. IZBORNA JEDINICA;8;MOŠÆENIÈKA DRAGA;3;8;2;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;MOTOVUN - MONTONA;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;OMIŠALJ;4;52;3;3;3;0;1;0;3;0;0;0;2;0;0;0;2;0;0
XII. IZBORNA JEDINICA;8;OPRTALJ - PORTOLE;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;PIÆAN;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;PUNAT;3;27;3;3;3;0;0;0;0;0;0;0;3;0;0;0;2;1;0
XII. IZBORNA JEDINICA;8;RAŠA;8;32;6;6;6;0;3;0;1;2;0;0;3;0;2;1;2;0;1
XII. IZBORNA JEDINICA;8;SVETA NEDELJA;6;14;3;3;3;0;1;0;0;0;0;0;3;0;0;1;0;0;0
XII. IZBORNA JEDINICA;8;SVETI LOVREÈ;2;9;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;SVETI PETAR U ŠUMI;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;SVETVINÈENAT;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;TAR-VABRIGA - TORRE-ABREGA;3;47;6;6;5;1;0;0;1;0;0;1;5;0;0;0;1;0;1
XII. IZBORNA JEDINICA;8;TINJAN;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;VIŠNJAN - VISIGNANO;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;VIŽINADA - VISINADA;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;VRBNIK;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;8;VRSAR - ORSERA;2;39;3;3;3;0;0;0;1;0;2;0;1;1;0;0;2;0;0
XII. IZBORNA JEDINICA;8;ŽMINJ;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;BENKOVAC;31;4.530;205;116;111;5;31;8;34;1;1;4;51;1;23;3;23;2;10
XII. IZBORNA JEDINICA;9;BIOGRAD NA MORU;4;94;3;3;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0
XII. IZBORNA JEDINICA;9;DRNIŠ;25;856;32;32;30;2;17;2;16;0;0;2;8;0;14;1;7;1;3
XII. IZBORNA JEDINICA;9;GOSPIÆ;29;2.244;22;22;22;0;5;2;5;0;0;2;7;0;2;0;12;0;4
XII. IZBORNA JEDINICA;9;KAŠTELA;18;198;12;12;12;0;6;0;4;1;0;2;8;0;0;3;2;0;1
XII. IZBORNA JEDINICA;9;KNIN;15;4.522;111;110;103;7;28;5;26;5;3;4;38;3;17;10;45;3;11
XII. IZBORNA JEDINICA;9;NIN;7;26;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;NOVALJA;8;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;OBROVAC;8;2.785;46;46;45;1;16;3;21;3;2;2;8;3;10;4;5;1;3
XII. IZBORNA JEDINICA;9;OTOÈAC;20;971;47;47;47;0;8;4;3;4;2;1;23;4;5;5;23;2;3
XII. IZBORNA JEDINICA;9;PAG;7;20;2;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;SENJ;9;78;4;4;4;0;3;0;3;0;0;0;1;0;3;0;0;0;0
XII. IZBORNA JEDINICA;9;SINJ;23;113;4;4;4;0;0;1;1;2;1;0;2;0;0;1;0;0;0
XII. IZBORNA JEDINICA;9;SKRADIN;11;1.129;26;26;22;4;6;1;2;1;0;0;12;0;2;3;7;0;6
XII. IZBORNA JEDINICA;9;ŠIBENIK;79;1.273;47;47;43;4;10;2;11;1;2;5;13;1;14;3;15;13;5
XII. IZBORNA JEDINICA;9;TRILJ;22;35;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;TROGIR;18;48;4;4;4;0;1;1;0;0;0;0;2;0;0;0;1;0;1
XII. IZBORNA JEDINICA;9;VODICE;11;288;6;6;6;0;2;1;2;1;0;1;1;0;2;0;3;0;1
XII. IZBORNA JEDINICA;9;VRLIKA;8;167;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;ZADAR;68;3.306;95;95;93;2;21;6;18;3;2;4;59;1;8;4;43;5;13
XII. IZBORNA JEDINICA;9;BIBINJE;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;BILICE;2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;BISKUPIJA;6;1.396;38;38;36;2;13;4;7;2;1;1;10;1;6;5;11;2;4
XII. IZBORNA JEDINICA;9;BRINJE;10;185;17;17;17;0;7;1;5;1;0;2;6;3;3;2;3;0;3
XII. IZBORNA JEDINICA;9;CIVLJANE;3;321;56;39;37;2;13;3;12;2;0;4;14;1;10;3;16;3;1
XII. IZBORNA JEDINICA;9;DICMO;6;32;5;5;5;0;1;1;3;2;0;1;1;0;0;1;2;0;1
XII. IZBORNA JEDINICA;9;DONJI LAPAC;4;1.248;45;45;40;5;15;1;12;1;2;2;10;1;12;3;14;0;2
XII. IZBORNA JEDINICA;9;DUGOPOLJE;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;ERVENIK;5;960;34;34;31;3;8;4;5;1;4;1;10;1;4;1;9;1;4
XII. IZBORNA JEDINICA;9;GALOVAC;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;GRAÈAC;5;3.123;90;90;85;5;29;11;18;4;6;8;27;2;14;2;24;5;13
XII. IZBORNA JEDINICA;9;HRVACE;8;73;2;2;2;0;0;1;0;0;1;0;1;0;0;0;1;0;0
XII. IZBORNA JEDINICA;9;JASENICE;3;115;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
XII. IZBORNA JEDINICA;9;KALI;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;KARLOBAG;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;KIJEVO;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;KISTANJE;6;1.810;63;63;57;6;18;8;24;5;3;2;17;1;16;6;14;2;3
XII. IZBORNA JEDINICA;9;KLIS;14;17;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;KOLAN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;KUKLJICA;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;LEÆEVICA;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;LIŠANE OSTROVIÈKE;3;214;14;3;3;0;0;0;0;0;0;0;1;0;0;1;1;0;0
XII. IZBORNA JEDINICA;9;LOVINAC;5;207;7;7;7;0;1;1;2;0;1;0;2;0;0;0;3;0;2
XII. IZBORNA JEDINICA;9;MARINA;16;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;MUÆ;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;MURTER-KORNATI;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;NOVIGRAD;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;OKRUG;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;OTOK;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;PAKOŠTANE;5;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;PAŠMAN;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;PERUŠIÆ;14;301;27;27;27;0;12;5;2;2;0;1;11;0;7;2;10;0;3
XII. IZBORNA JEDINICA;9;PIROVAC;5;20;2;2;2;0;2;0;1;0;0;1;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;PLITVIÈKA JEZERA;7;1.195;75;75;72;3;21;9;31;3;2;5;26;1;13;1;31;0;8
XII. IZBORNA JEDINICA;9;POLAÈA;3;349;11;11;10;1;1;0;4;1;1;0;6;2;1;0;1;0;0
XII. IZBORNA JEDINICA;9;POLIÈNIK;10;49;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;POSEDARJE;8;79;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;POVLJANA;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;PREKO;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;PRGOMET;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;PRIMORSKI DOLAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;PRIMOŠTEN;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;PRIVLAKA;2;9;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;9;PROMINA;5;87;4;4;4;0;0;1;2;1;0;2;1;2;1;1;0;0;1
XII. IZBORNA JEDINICA;9;RAŽANAC;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;ROGOZNICA;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;RUŽIÆ;4;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;SALI;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;SEGET;8;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;STANKOVCI;6;126;8;8;8;0;3;0;2;0;0;0;6;0;0;1;4;0;1
XII. IZBORNA JEDINICA;9;STARIGRAD;3;58;4;4;4;0;3;0;1;0;0;0;1;0;0;1;1;1;2
XII. IZBORNA JEDINICA;9;SUKOŠAN;5;17;1;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0
XII. IZBORNA JEDINICA;9;SVETI FILIP I JAKOV;7;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;ŠKABRNJA;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;TISNO;6;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;TKON;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;TRIBUNJ;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;UDBINA;4;919;51;51;43;8;13;6;14;7;3;4;11;3;4;0;12;0;5
XII. IZBORNA JEDINICA;9;UNEŠIÆ;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;VIR;2;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;9;VRHOVINE;7;550;17;17;16;1;2;4;3;0;2;2;3;1;6;1;4;2;2
XII. IZBORNA JEDINICA;9;VRSI;2;104;4;4;4;0;1;0;1;0;1;0;2;0;0;0;1;0;0
XII. IZBORNA JEDINICA;9;ZEMUNIK DONJI;3;570;18;18;18;0;2;0;2;1;0;3;13;0;1;0;5;0;4
XII. IZBORNA JEDINICA;10;DUBROVNIK;59;843;52;51;50;1;13;2;9;3;0;4;30;2;4;1;18;2;9
XII. IZBORNA JEDINICA;10;HVAR;9;22;2;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;1
XII. IZBORNA JEDINICA;10;IMOTSKI;16;174;15;15;15;0;0;0;0;0;0;0;14;0;0;0;2;0;0
XII. IZBORNA JEDINICA;10;KOMIŽA;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;KORÈULA;10;52;3;3;3;0;1;1;1;0;0;0;1;0;2;0;1;0;0
XII. IZBORNA JEDINICA;10;MAKARSKA;7;71;3;3;3;0;0;0;0;0;0;0;3;0;0;0;2;0;1
XII. IZBORNA JEDINICA;10;METKOVIÆ;13;182;35;35;35;0;5;0;4;2;1;2;22;1;3;0;15;3;17
XII. IZBORNA JEDINICA;10;OMIŠ;40;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;OPUZEN;5;11;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;PLOÈE;15;88;3;3;3;0;0;1;1;1;0;0;0;0;1;1;0;0;0
XII. IZBORNA JEDINICA;10;SOLIN;25;85;5;5;4;1;2;0;0;0;0;1;3;0;0;1;0;0;1
XII. IZBORNA JEDINICA;10;SPLIT;162;1.488;112;112;109;3;33;10;19;5;3;6;66;3;18;10;43;2;27
XII. IZBORNA JEDINICA;10;STARI GRAD;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;SUPETAR;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;VIS;5;10;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;VRGORAC;27;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;BAŠKA VODA;5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;BLATO;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;BOL;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;BRELA;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;CISTA PROVO;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;DUBROVAÈKO PRIMORJE;18;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;DUGI RAT;7;19;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;10;GRADAC;5;37;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1
