Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: JOVAN AJDUKOVIÆ, dipl. pravnik, Zamjenik: DRAGAN TODIÆ, dipl. pravnik, Predlagatelj: , SRPSKA NARODNA STRANKA - SNS, DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: DUŠAN CVETANOVIÆ, Zamjenik: NEVEN ÆUK, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VELJKO DŽAKULA, dipl.ing., Zamjenik: OLIVERA MIOÈINOVIÆ, dr.med. , Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: NEMANJA MARIÆ, Zamjenik: DAVID CVETANOVIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP;Kandidat: LJUBOMIR MIKIÆ, dipl.iur. , Zamjenik: DRAGO PEPIÆ, dipl.iur. , Predlagatelj: NEOVISNI KANDIDAT;Kandidat: SLOBODAN MILOŠEVIÆ, Zamjenik: SOFIJA ÐURKOVIÆ, Predlagatelj: UDRUGA SRBA OSJEÈKO-BARANJSKE ŽUPANIJE - U.S.O.B.Ž. ;Kandidat: prof.dr.sc. MILORAD PUPOVAC , Zamjenik: ALEKSANDAR MILOŠEVIÆ, dipl.pol. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: DRAGANA RESAN, Zamjenik: MIODRAG VESIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: MILAN RODIÆ, mag. iur., Zamjenik: RADMILA MEDAKOVIÆ, ing.el.str., Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS ;Kandidat: DUŠKO SIMIÆ, dipl.iur., Zamjenik: ALEKSANDAR KOJIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: DRAGAN CRNOGORAC, prof., Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: BRANISLAV TEKIÆ, dipl.iur., Zamjenik: SAŠA BJELANOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: JOVO VUKOVIÆ, ing.grad., Zamjenik: MILE HORVAT, dipl.iur. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
XII. IZBORNA JEDINICA;2;ŠTEFANJE;11;59;5;5;5;0;0;0;2;0;0;1;3;1;1;0;2;1;2
XII. IZBORNA JEDINICA;2;VELIKA PISANICA;9;151;10;10;10;0;3;3;0;2;0;2;3;1;2;0;1;0;1
XII. IZBORNA JEDINICA;2;VELIKA TRNOVITICA;8;26;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKI GRÐEVAC;11;292;13;13;12;1;4;1;2;1;0;0;8;0;0;0;4;0;3
XII. IZBORNA JEDINICA;2;VELIKO TROJSTVO;12;19;2;2;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0
XII. IZBORNA JEDINICA;2;VIRJE;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ZRINSKI TOPOLOVAC;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ÈAKOVEC;30;66;6;6;6;0;1;0;1;0;0;0;5;0;1;0;5;0;2
XII. IZBORNA JEDINICA;3;DONJA STUBICA;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;IVANEC;34;11;3;3;3;0;2;0;0;0;0;0;2;0;0;0;0;1;0
XII. IZBORNA JEDINICA;3;KLANJEC;9;7;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KRAPINA;15;16;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0
XII. IZBORNA JEDINICA;3;LEPOGLAVA;18;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;LUDBREG;13;64;19;19;19;0;0;1;3;0;0;0;13;0;0;1;13;0;9
XII. IZBORNA JEDINICA;3;MURSKO SREDIŠÆE;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;NOVI MAROF;30;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;OROSLAVJE;7;14;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PREGRADA;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PRELOG;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VARAŽDIN;48;134;24;24;23;1;8;2;5;1;2;1;15;0;4;0;7;0;4
XII. IZBORNA JEDINICA;3;VARAŽDINSKE TOPLICE;21;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ZABOK;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ZLATAR;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BEDEKOVÈINA;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BEDNJA;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BELICA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BERETINEC;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BREZNICA;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BREZNIÈKI HUM;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BUDINŠÈINA;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;CESTICA;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DEKANOVEC;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DESINIÆ;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DOMAŠINEC;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJA DUBRAVA;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJA VOÆA;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJI KRALJEVEC;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJI VIDOVEC;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ÐURMANEC;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;GORIÈAN;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;GORNJA STUBICA;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;GORNJI KNEGINEC;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;GORNJI MIHALJEVEC;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;HRAŠÆINA;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;HUM NA SUTLI;8;7;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
XII. IZBORNA JEDINICA;3;JALŽABET;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;JESENJE;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KLENOVNIK;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KONJŠÈINA;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KOTORIBA;3;6;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KRALJEVEC NA SUTLI;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KRAPINSKE TOPLICE;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KUMROVEC;9;6;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0
XII. IZBORNA JEDINICA;3;LOBOR;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;LJUBEŠÆICA;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;MAÈE;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;MALA SUBOTICA;7;7;2;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;1
XII. IZBORNA JEDINICA;3;MALI BUKOVEC;7;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;MARIJA BISTRICA;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;MARTIJANEC;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;MARUŠEVEC;15;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;MIHOVLJAN;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;NEDELIŠÆE;15;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;NOVI GOLUBOVEC;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;OREHOVICA;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PETRIJANEC;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PETROVSKO;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PODTUREN;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PRIBISLAVEC;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;RADOBOJ;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;SELNICA;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;SRAÈINEC;4;4;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0
XII. IZBORNA JEDINICA;3;STRAHONINEC;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;STUBIÈKE TOPLICE;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;SVETA MARIJA;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
