Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR KONEÈNY, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  VLADIMIR SEVER  ;AKCIJA MLADIH - AM  , Nositelj liste:  IGOR PUHAR;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR  ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILAN BINGULA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;GLAS RAZUMA  , Nositelj liste:  MILAN LELAS, dipl.ing.prometa, pilot ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  VLADO MIKLOBUŠEC  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  DARKO PETRIÈIÆ ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  JOSIP FRIŠÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;  , HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZVONKO BAJAN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  EMIL ZORAJ ;Predlagatelji: NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  DARKO DUGA;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  BRANKO STOJKOVIÆ ;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  KREŠIMIR ŠTETIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ  ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO JEFTIMIJA, dr.  ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  ŽELJKO TUPEK ;ZELENA STRANKA - ZS  , Nositelj liste:  LJUBO SUBOTIÆ, prof.;ZELENI ZAJEDNO  , Nositelj liste:  SRÐAN DVORNIK, mag. pol. ;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;3;DUGO SELO - JUG I;GRADSKA VIJEÆNICA GRADA DUGOG SELA;J. ZORIÆA 1, DUGO SELO;1.111;666;666;652;14;0;2;1;9;3;2;0;28;1;2;3;1;154;5;0;0;21;25;18;16;47;5;0;12;0;8;0;0;3;279;1;0;0;2;1;3;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;4;DUGO SELO - JUG II;ZGRADA VATROGASNOG DOMA;OSJEÈKA ULICA 2, DUGO SELO;1.262;669;668;661;7;0;1;3;2;4;4;0;20;2;6;1;0;129;4;0;0;29;21;22;20;42;1;1;29;0;22;0;1;4;284;3;0;1;2;1;2;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;5;DUGO SELO - SJEVER I;ZGRADA UÈKOG OTVORENOG UÈILIŠTA (1. KAT);J. ZORIÆA 21A, DUGO SELO;1.061;642;641;635;6;0;2;4;3;2;3;1;12;4;3;1;2;100;4;0;0;19;30;34;17;42;16;0;18;0;12;0;0;6;290;3;0;1;4;1;1;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;6;DUGO SELO - SJEVER II;ZGRADA PUÈKOG OTVORENOG UÈILIŠTA (PRIZEMLJE);ULICA JOSIPA ZORIÆA 21A;781;452;452;449;3;0;1;5;5;1;0;0;8;0;2;1;0;101;2;0;0;13;13;29;11;25;1;0;13;0;11;0;0;1;199;0;1;0;2;3;1;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;7;DUGO SELO - SJEVER III;"SREDNJA ŠKOLA ""DUGO SELO""";ULICA STJEPANA FERENÈAKA BB.;957;583;577;574;3;0;2;5;0;3;1;2;21;1;1;0;1;140;1;1;0;6;29;17;27;32;20;0;14;0;12;0;0;0;229;2;0;0;2;2;3;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;8;DUGO SELO - ISTOK I;OSNOVNA ŠKOLA  JOSIPA ZORIÆA;J. ZORIÆA 86, DUGO SELO;1.502;974;974;966;8;0;1;4;5;4;9;0;37;5;9;4;0;228;2;1;0;40;41;41;33;67;22;1;18;1;11;0;1;7;366;0;2;1;3;0;2;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;9;DUGO SELO - ISTOK II;OSNOVNA ŠKOLA JOSIPA ZORIÆA;J. ZORIÆA 86, DUGO SELO;811;437;437;433;4;0;0;2;3;2;1;2;14;2;2;2;1;104;2;0;0;12;13;24;17;23;6;0;21;0;9;0;0;0;164;0;0;1;3;0;3;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;10;DUGO SELO - ISTOK III;OSNOVNA ŠKOLA JOSIPA ZORIÆA;J. ZORIÆA 86, DUGO SELO;1.027;546;546;535;11;1;0;2;2;2;4;2;21;0;0;2;2;175;1;0;3;14;12;26;27;23;10;0;16;0;5;0;0;1;180;1;1;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;11;LUKARIŠÆE;"PIVNICA ""TOMISLAV""";BJELOVARSKA  ULICA 113;910;495;495;488;7;1;1;2;2;1;2;1;7;0;2;1;0;111;2;0;0;25;18;21;18;29;19;1;15;0;10;0;0;4;190;1;0;0;3;1;0;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;12;KOZINŠÈAK;"KONOBA ""ROMANTIKA""";F. BLAŽINCA 11, KOZINŠÈAK;1.175;636;636;631;5;2;2;1;3;4;1;0;15;2;2;3;2;192;2;1;3;17;21;35;33;33;13;0;18;0;3;1;0;4;213;1;0;2;0;2;0;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;13;VELIKA OSTRNA;VATROGASNI DOM;VELIKA OSTRNA;1.179;591;591;587;4;1;1;2;3;3;4;0;20;0;3;1;0;180;5;0;0;28;18;25;15;40;3;0;40;0;3;1;0;0;187;0;0;0;2;1;1;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;14;MALA OSTRNA;UGOSTITELJSKI OBJEKT MUŠKON JOSIPA;MALA OSTRNA;315;168;168;167;1;0;0;1;3;0;1;0;3;1;1;0;0;47;1;0;0;12;1;11;10;7;2;0;9;0;2;0;0;0;52;0;0;0;2;1;0;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;15;LEPROVICA;DRUŠTVENI DOM;LEPROVICA;213;126;126;123;3;0;0;0;2;1;3;0;2;0;0;0;0;25;1;0;0;7;3;1;2;6;2;0;4;0;3;0;0;0;61;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;16;ANDRILOVEC;VATROGASNI DOM;ANDRILOVEC;251;149;149;148;1;0;0;0;4;3;1;1;3;0;0;0;1;19;1;0;1;6;10;3;2;8;2;0;3;0;2;0;0;0;76;0;0;0;0;2;0;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;17;PROZORJE;"KONOBA ""PEHAR"" (BIVŠI RESTORAN ""GRABERJE"")";PROZORJE;399;190;190;188;2;0;0;0;0;0;3;0;2;0;0;0;0;21;0;0;0;11;16;12;3;18;1;0;12;0;1;0;1;0;83;1;0;0;1;1;1;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;18;DONJE DVORIŠÆE;VATROGASNI DOM;DONJE DVORIŠÆE;169;83;83;81;2;0;1;0;0;1;2;0;1;0;0;0;0;19;0;0;0;1;11;5;2;1;1;0;5;0;0;0;0;0;30;0;0;0;0;1;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;1;ÐURÐEVAC;DRUŠTVENI DOM PESKI - ULAZ DESNO;ÐURÐEVAC;709;459;459;450;9;1;0;2;3;14;3;2;12;5;3;0;1;66;3;0;0;17;9;8;5;27;3;0;1;2;5;0;0;0;251;1;1;0;2;1;2;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;2;ÐURÐEVAC;DRUŠTVENI DOM PESKI - ULAZ LIJEVO;ÐURÐEVAC;661;439;439;430;9;0;3;1;3;24;1;12;7;0;0;0;1;64;2;0;0;7;12;3;2;21;8;0;1;1;1;0;0;0;253;3;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;3;GRKINE;DRUŠTVENI DOM GRKINE;GRKINE;125;74;74;69;5;1;0;1;0;6;2;2;0;1;1;0;1;8;1;0;0;9;0;2;1;1;0;0;1;3;0;0;0;0;28;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;4;SEVEROVCI;DRUŠTVENI DOM SEVEROVCI;SEVEROVCI;120;75;75;72;3;0;0;0;0;3;3;4;2;1;1;0;1;7;0;0;0;9;7;0;1;3;0;0;1;0;0;0;0;0;29;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;5;ÐURÐEVAC;ŠUMARIJA NOVO SELO;BANA JELAÈIÆA 80, ÐURÐEVAC;870;600;600;581;19;2;3;4;5;13;3;1;8;2;6;2;3;118;1;0;0;26;25;11;25;18;7;0;7;2;2;1;0;1;277;3;0;0;1;1;3;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;6;ÐURÐEVAC;ZGRADA INE;ÐURE BASARIÈEKA 38, ÐURÐEVAC;551;372;372;369;3;1;3;1;1;4;0;1;8;7;2;0;1;53;3;0;0;17;28;3;6;18;4;1;6;1;2;0;0;0;192;0;0;0;1;1;4;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;7;SVETA ANA;DRUŠTVENI DOM SVETA ANA;SVETA ANA;91;64;64;61;3;0;0;0;0;2;0;1;1;0;0;0;0;3;0;2;0;13;2;1;1;1;1;0;0;0;0;0;0;0;33;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;8;ÐURÐEVAC;DOM KULTURE ÐURÐEVAC - ULAZ LIJEVO;VLADIMIRA NAZORA 2, ÐURÐEVAC;637;418;418;411;7;0;2;3;2;15;0;1;9;2;2;0;2;77;2;0;0;14;11;5;8;31;7;0;2;0;4;1;0;0;210;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;9;ÐURÐEVAC;DOM KULTURE ÐURÐEVAC- ULAZ DESNO;VLADIMIRA NAZORA 2, ÐURÐEVAC;701;501;501;490;11;0;1;2;2;1;2;3;5;1;0;0;0;93;1;0;1;4;21;3;14;32;2;1;4;0;1;2;0;0;290;2;0;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;10;MIÈETINAC;DRUŠTVENI DOM MIÈETINAC;MIÈETINAC;179;125;125;125;0;0;1;1;0;0;0;0;1;0;1;0;0;38;0;0;0;13;2;3;0;4;0;0;0;0;0;0;0;0;56;2;0;0;1;1;1;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;11;ÐURÐEVAC;ZGRADA GRADA ÐURÐEVCA, STARA VIJEÆNICA;STJEPANA RADIÆA 1, ÐURÐEVAC;581;409;409;404;5;0;2;2;1;4;4;0;8;2;6;1;1;58;3;0;0;14;19;4;8;33;0;0;4;1;1;0;0;0;223;0;1;0;3;0;1;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;12;ÐURÐEVAC;ZGRADA ZAJEDNICE SPORTSKIH UDRUGA GRADA ÐURÐEVCA;ULICA ANTUNA RADIÆA 4;558;382;382;380;2;1;0;1;1;6;5;1;2;2;0;1;1;34;5;0;0;12;34;7;6;30;2;0;2;2;4;0;0;2;214;2;1;1;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;13;ÈEPELOVAC;DRUŠTVENI DOM ÈEPELOVAC;ÈEPELOVAC;331;185;185;182;3;0;1;1;5;14;1;3;1;1;0;0;1;24;0;0;0;20;7;2;1;6;1;0;1;0;1;0;0;0;91;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;14;BUDROVAC;DRUŠTVENI DOM BUDROVAC;BUDROVAC;327;219;219;214;5;2;0;1;5;1;2;8;4;0;1;0;1;60;0;0;0;16;8;2;5;11;0;0;4;0;0;0;0;1;80;0;1;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;15;SIROVA KATALENA;STARA ŠKOLA SIROVA KATALENA;SIROVA KATALENA;238;170;170;166;4;0;0;0;4;5;1;0;5;0;2;1;0;59;1;2;0;8;4;1;1;3;0;0;2;1;0;0;0;0;65;0;1;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÐURÐEVAC;16;SUHA KATALENA;DRUŠTVENI DOM SUHA KATALENA;SUHA KATALENA;304;165;165;161;4;0;0;0;1;5;1;1;4;1;1;0;1;47;0;0;1;28;2;2;2;4;1;0;2;0;0;0;0;0;56;0;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;1;ZDENÈAC;OSNOVNA ŠKOLA;BANOVAÈA 77;391;256;256;251;5;0;2;2;1;1;2;0;2;0;1;2;1;81;2;0;0;24;14;11;2;11;2;0;3;0;0;0;0;0;85;0;0;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;2;GAREŠNIÈKI BRESTOVAC;HRVATSKI RADNIÈKI DOM;BRESTOVAÈKA ULICA 72;846;550;550;542;8;0;1;2;2;3;6;1;25;1;3;0;1;141;0;0;1;21;29;23;8;29;1;1;7;1;4;0;1;0;224;1;0;0;0;0;5;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;3;TOMAŠICA;VATROGASNI DOM;TOMAŠICA 78A;311;189;189;184;5;0;0;1;0;1;2;1;4;1;0;1;2;37;0;0;0;21;11;9;4;8;2;0;4;0;0;0;0;1;74;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;4;MALI PAŠIJAN;SEOSKI DOM;MALI PAŠIJAN 72;149;73;73;73;0;0;1;0;0;0;1;0;1;0;0;0;1;22;0;0;0;1;3;1;0;3;0;0;0;0;0;0;0;0;38;0;0;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;5;VELIKI PAŠIJAN;VATROGASNI DOM;VELIKI PAŠIJAN 43;242;133;133;132;1;0;3;0;1;0;0;1;2;1;1;1;2;53;0;0;1;6;2;1;2;1;0;1;2;0;1;0;0;0;49;0;0;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;6;DIŠNIK;SEOSKI DOM;DIŠNIK 58;306;170;170;169;1;0;0;0;1;0;2;0;0;1;0;0;1;39;0;0;1;8;2;0;4;6;0;0;0;0;3;0;0;0;100;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;7;TRNOVITIÈKI POPOVAC;MJESNI DOM;TRNOVITIÈKI POPOVAC 85;313;197;197;193;4;0;1;1;0;0;0;0;2;2;0;0;0;39;0;0;0;2;37;4;1;1;1;0;1;0;0;0;0;0;96;3;0;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;8;VELIKI PROKOP;SEOSKI DOM;VELIKI PROKOP 5A;36;34;34;34;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;9;VELIKA BRŠLJANICA;OSNOVNA ŠKOLA;VELIKA BRŠLJANICA 71;181;123;123;122;1;0;0;0;0;0;2;0;3;0;0;0;0;14;0;0;0;5;5;0;1;7;0;0;0;0;0;0;0;0;83;1;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;10;MALA BRŠLJANICA;PROSTORIJA MJESNOG ODBORA;MALA BRŠLJANICA 8;35;16;16;16;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;10;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;11;GAREŠNICA;VATROGASNI DOM;UL. MATIJE GUPCA 136;796;489;489;484;5;0;1;2;3;2;5;3;16;3;4;1;4;126;1;1;0;14;52;9;7;22;6;0;2;1;3;0;0;0;188;1;1;0;3;2;1;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;12;KANIŠKA IVA;DRUŠTVENI DOM;KANIŠKA IVA 145;423;242;242;239;3;0;0;0;4;3;1;1;5;0;2;1;3;55;0;1;1;16;12;6;2;14;3;0;3;0;0;0;0;1;102;2;0;1;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;13;CIGLENICA;SEOSKI DOM;CIGLENICA 85A;375;203;203;201;2;0;0;1;1;0;1;9;5;0;0;0;1;46;0;0;0;12;13;18;4;8;0;0;4;0;1;0;0;0;76;0;0;0;0;1;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;14;ROGOŽA;OSNOVNA ŠKOLA;ROGOŽA 54;168;105;105;102;3;0;0;0;3;0;0;0;1;0;0;0;0;14;0;0;0;2;0;3;0;4;0;0;0;0;0;0;0;0;72;1;0;0;0;1;1;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;15;GAREŠNICA;OSNOVNA ŠKOLA;KOLODVORSKA ULICA 4;346;226;226;223;3;0;1;0;2;0;2;0;2;0;1;0;0;65;2;0;0;6;6;2;2;19;0;0;0;0;4;0;0;0;106;0;0;0;0;0;3;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;16;VELIKO VUKOVJE;SEOSKI DOM;VELIKO VUKOVJE 146;226;119;119;115;4;0;0;1;1;0;0;1;1;0;0;0;0;7;0;1;1;11;0;0;0;1;0;0;0;0;3;0;0;0;85;1;1;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;17;MALO VUKOVJE;SEOSKI DOM;MALO VUKOVJE 39;118;85;85;82;3;0;0;0;1;0;1;0;1;0;0;0;0;27;3;0;0;7;4;2;2;0;0;0;4;0;0;0;0;0;30;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;18;HRASTOVAC;HRVATSKI DOM;TRG A. STARÈEVIÆA 4;440;276;276;270;6;1;0;1;3;1;2;1;8;2;5;0;2;64;1;1;0;7;20;4;0;12;5;0;8;0;1;0;0;0;121;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;19;GAREŠNICA;GRADSKA GALERIJA;TRG HRVATSKIH BRANITELJA 10;1.126;792;792;787;5;1;2;2;3;1;4;2;34;1;1;0;3;170;2;0;0;18;61;29;16;39;4;0;4;0;8;1;0;0;372;4;0;0;1;0;4;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;20;DUHOVI;OSNOVNA ŠKOLA;DUHOVI 44;80;62;62;61;1;0;0;0;2;1;2;0;1;0;0;0;0;12;0;0;0;4;1;0;1;1;0;0;0;0;0;0;0;0;35;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;21;ULJANIK;DOM KULTURE;ULJANIK 68;252;132;132;130;2;0;0;1;1;2;0;0;5;0;0;0;0;39;0;0;0;14;6;2;2;0;0;0;2;0;1;1;0;0;54;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;22;GORNJI ULJANIK;KUÆA SANDIJA MAROŠEVIÆA;GORNJI ULJANIK 23;99;45;45;41;4;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;0;5;2;1;1;0;0;0;1;0;0;0;0;1;20;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;23;ULJANIÈKI BRIJEG;KUÆA ANITE ERDEC;ULJANIÈKI BRIJEG 1;32;19;19;18;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;2;0;4;0;0;0;1;1;0;0;0;7;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;24;GAREŠNICA;HRVATSKI DOM;ULICA V. NAZORA 21;1.196;739;739;727;12;0;1;2;5;4;1;6;23;2;3;0;4;157;2;0;0;20;61;30;17;56;1;0;2;0;8;1;0;1;316;0;0;0;1;2;1;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;25;KAPELICA;DRUŠTVENI DOM;KAPELICA 105;523;296;296;290;6;0;2;1;2;1;3;1;6;2;1;1;1;67;1;1;1;35;23;12;8;11;1;0;3;0;2;0;0;0;103;0;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;GAREŠNICA;26;KAJGANA;VATROGASNI DOM;KAJGANA 39;236;156;156;152;4;0;0;4;0;3;0;1;4;0;1;2;1;18;0;0;0;13;11;4;0;6;0;0;2;0;0;0;0;0;80;0;0;0;2;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;1;GRUBIŠNO POLJE;CENTAR ZA INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUKA JEMERŠIÆA 1;911;464;464;455;9;2;4;2;4;5;1;0;5;1;3;2;3;138;3;0;1;13;10;15;10;21;1;0;2;0;4;1;0;0;202;0;0;0;2;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;2;GRUBIŠNO POLJE;MATICA UMIROVLJENIKA GRUBIŠNO POLJE;ULICA 4. STUDENI 1991. KBR.1A;744;494;494;488;6;2;3;4;5;5;3;0;10;0;0;0;1;145;2;1;0;5;7;10;6;21;5;0;8;1;7;0;0;0;232;1;2;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;3;GRUBIŠNO POLJE;"SREDNJA ŠKOLA ""BARTOLA KAŠIÆA"" - ZGRADA UPRAVE";BARTOLA KAŠIÆA 1;914;510;509;502;7;3;0;2;1;2;0;1;12;1;2;0;1;172;2;0;1;16;12;20;5;24;3;0;8;0;4;0;0;0;206;0;1;0;3;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;4;POLJANI;VATROGASNI DOM U POLJANIMA;POLJANI 66;218;141;141;141;0;1;1;0;1;2;1;1;4;1;0;0;0;40;1;0;0;17;2;1;0;3;3;1;0;0;1;0;0;0;59;0;0;1;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;5;DONJA RAŠENICA;VATROGASNI DOM U DONJOJ RAŠENICI;DONJA RAŠENICA 59;201;118;118;116;2;0;1;1;0;3;0;1;1;1;1;0;1;53;0;0;0;10;0;1;0;4;0;0;3;0;1;0;0;0;32;2;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;6;IVANOVO SELO;MJESNI DOM U IVANOVOM SELU;PRAŠKA 5;161;140;140;139;1;0;0;0;0;1;1;1;2;1;0;0;0;61;0;0;0;13;2;7;1;8;1;0;1;0;1;0;0;0;38;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;7;RASTOVAC;MJESNI DOM U RASTOVCU;RASTOVAC 34;184;81;81;80;1;0;0;0;0;0;0;0;1;0;0;2;0;37;1;0;0;6;5;3;0;5;0;0;1;0;0;0;0;0;18;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;8;TREGLAVA;MJESNI DOM U TREGLAVI;TREGLAVA 2;54;39;39;37;2;0;1;0;0;1;0;0;2;1;0;1;0;21;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;9;VELIKI ZDENCI;MJESNI DOM U VELIKIM ZDENCIMA;MATE LOVRAKA 115;278;174;174;168;6;0;1;0;1;1;1;3;3;0;2;4;5;54;1;0;0;19;7;1;0;0;0;0;3;0;0;0;0;0;62;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;10;VELIKI ZDENCI;OSNOVNA ŠKOLA I.N. JEMERŠIÆA-PODRUÈNA ŠKOLA V. ZDENCI;TRG KRALJA TOMISLAVA 5;437;309;309;302;7;0;4;1;4;0;3;2;8;0;0;2;0;71;0;0;0;22;10;17;6;22;2;0;2;1;4;0;0;0;117;1;1;1;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;11;MALI ZDENCI;MJESNI DOM U MALIM ZDENCIMA;ANTUNA MIHANOVIÆA 77;349;241;241;240;1;0;0;0;0;0;1;0;5;0;0;0;0;86;0;0;0;15;8;6;2;17;0;0;1;0;0;0;0;1;97;0;1;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;12;ORLOVAC ZDENAÈKI;MJESNI DOM U ORLOVCU ZDENAÈKOM;ORLOVAC ZDENAÈKI 70A;213;132;132;128;4;0;0;0;0;0;2;0;1;0;0;0;1;47;0;1;0;6;0;3;0;4;0;0;0;0;1;0;0;0;62;0;0;0;0;0;0;;;;;;;;;
