Izborna jedinica;Država;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  BORIS KINDIJ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILE CIGIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  dr.sc. MLADEN ZELJKO;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI RAST - HRAST  , Nositelj liste:  PETAR GALIÆ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA , HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  MARJAN BOŠNJAK;LISTA ZA RIJEKU - LISTA-RI , AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DENIS PEŠUT  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  LEO PLOÈKINIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing. grad.  ;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;6;biraèko mjesto broj 6 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";8.810;395;395;388;7;2;5;3;11;290;4;9;27;8;0;4;9;0;5;11;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;7;biraèko mjesto broj 7 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";4.250;186;186;186;0;1;1;0;8;150;2;2;11;3;1;4;1;0;1;1;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;8;biraèko mjesto broj 8 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";10.998;431;431;428;3;1;2;2;11;337;7;8;39;5;0;1;6;1;2;6;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;9;biraèko mjesto broj 9 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";8.813;378;378;376;2;2;0;0;17;286;5;15;25;3;3;2;6;2;3;7;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;10;biraèko mjesto broj 10 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";7.803;328;328;320;8;3;5;3;13;223;3;5;37;8;2;2;4;0;3;9;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;11;biraèko mjesto broj 11 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";8.872;378;378;374;4;1;2;0;13;281;3;12;45;1;4;2;2;0;4;4;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;12;biraèko mjesto broj 12 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";6.215;277;277;274;3;2;7;1;9;210;2;6;26;4;0;2;3;0;1;1;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;13;biraèko mjesto broj 13 - BANJA LUKA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;MILANA KRANOVIÆA BR. 1, BANJA LUKA, BOSNA I HERCEGOVINA;12.400;289;289;281;8;5;11;3;34;107;7;20;61;8;7;7;6;0;3;2;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;14;biraèko mjesto broj 14 - BANJA LUKA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;MILANA KRANOVIÆA BR. 1, BANJA LUKA, BOSNA I HERCEGOVINA;12.588;241;240;235;5;3;13;2;27;78;7;20;41;6;4;3;19;1;10;1;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;15;biraèko mjesto broj 15 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";8.483;937;937;930;7;3;0;5;26;684;3;13;114;28;10;3;1;1;2;37;;;;;;;;;;;;;;;;;
