Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: ROBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH  ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: ŠANDOR JUHAS , Predlagatelj: SAVEZ MAÐARSKIH UDRUGA - SMU  
XII. IZBORNA JEDINICA;2;ÐULOVAC;9;12;2;2;2;0;1;1
XII. IZBORNA JEDINICA;2;FARKAŠEVAC;12;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;FERDINANDOVAC;6;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GOLA;5;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GORNJA RIJEKA;6;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GRADEC;20;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;HERCEGOVAC;6;8;1;1;1;0;0;1
XII. IZBORNA JEDINICA;2;HLEBINE;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;IVANSKA;13;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KALINOVAC;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KALNIK;7;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KAPELA;25;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KLOŠTAR PODRAVSKI;5;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KONÈANICA;7;24;5;5;5;0;0;5
XII. IZBORNA JEDINICA;2;KOPRIVNIÈKI BREGI;4;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KOPRIVNIÈKI IVANEC;6;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;LEGRAD;6;11;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;MOLVE;5;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;NOVA RAÈA;13;31;8;8;8;0;0;8
XII. IZBORNA JEDINICA;2;NOVIGRAD PODRAVSKI;7;1;1;1;1;0;0;1
XII. IZBORNA JEDINICA;2;NOVO VIRJE;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;PETERANEC;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;PODRAVSKE SESVETE;4;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;PRESEKA;14;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;RAKOVEC;11;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;RASINJA;14;4;1;1;1;0;0;1
XII. IZBORNA JEDINICA;2;ROVIŠÆE;12;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SEVERIN;3;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SIRAÈ;7;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SOKOLOVAC;14;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SVETI IVAN ŽABNO;19;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SVETI PETAR OREHOVEC;14;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ŠANDROVAC;7;17;1;1;1;0;0;1
XII. IZBORNA JEDINICA;2;ŠTEFANJE;11;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKA PISANICA;9;59;47;47;47;0;1;46
XII. IZBORNA JEDINICA;2;VELIKA TRNOVITICA;8;0;0;0;0;0;0;0
