Izborna jedinica;Grad / Opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN VUJANIÆ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MARIJAN FERIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  BOJAN KURELIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , LISTA ZA RIJEKU - LISTA-RI  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  NATKO KOVAÈEVIÆ, dr.med.vet.;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. BOŽIDAR PANKRETIÆ  ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  JELENA ÆORIÆ MUDROVÈIÆ  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  IGOR GALOVIÆ;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  MILORAD MRVOŠ, prof.   ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing.  ;ZELENA LISTA  , Nositelj liste:  DARKO MRZLEÈKI ;ZELENI ZAJEDNO  , Nositelj liste:  MARIJA PERUŠIÆ, struè.spec.oec.  ;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;38;BIRAÈKO MJESTO BR. 38;PROSTORIJE GRADSKE ÈETVRTI ŠVARÈA;TRG SV. FRANJE KSAVERSKOG 2;1.796;1.179;1.179;1.159;20;1;5;3;8;16;1;42;7;308;2;0;36;24;44;34;72;2;0;8;16;8;506;3;1;0;9;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;39;BIRAÈKO MJESTO BR. 39;PROSTORIJE GRADSKE ÈETVRTI JAMADOL-LUŠÈIÆ;MEDOVIÆEVA 5 B;1.047;738;738;723;15;1;3;4;3;9;3;22;5;180;0;0;23;15;23;12;44;11;0;6;17;8;323;1;0;0;6;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;40;BIRAÈKO MJESTO BR. 40;PROSTORIJE GRADSKE ÈETVRTI JAMADOL-LUŠÈIÆ;MEDOVIÆEVA 5 B;1.517;1.083;1.083;1.067;16;0;11;8;9;11;0;40;2;197;0;1;28;19;25;29;54;9;0;4;17;11;581;1;0;1;4;5;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;41;BIRAÈKO MJESTO BR. 41;ŠPORTSKA STRELJANA;JAMODOLSKA BB;939;628;628;621;7;0;4;2;3;4;4;23;2;137;1;0;19;17;26;21;37;7;0;1;15;3;290;1;1;0;3;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;42;BIRAÈKO MJESTO BR. 42;MJESNI ODBOR LADVENJAK - DOM SELIŠÆE;SELIŠÆE BB;163;107;107;106;1;1;2;1;0;4;1;3;0;66;1;1;5;1;2;1;3;0;0;2;0;1;10;0;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;43;BIRAÈKO MJESTO BR. 43;DRUŠTVENI DOM LADVENJAK;LADVENJAK BB;188;112;112;109;3;1;1;0;0;2;0;2;3;43;0;0;24;3;3;3;1;0;0;3;0;1;18;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;44;BIRAÈKO MJESTO BR. 44;OSNOVNA ŠKOLA TUŠILOVIÆ;TUŠILOVIÆ BB;731;400;400;394;6;3;1;3;0;0;0;6;4;236;0;0;11;2;4;1;6;1;0;5;1;2;105;1;0;0;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;45;BIRAÈKO MJESTO BR. 45;PROSTORIJE GRADSKE ÈETVRTI MOSTANJE;MOSTANJE BB;522;338;338;332;6;1;0;1;1;4;1;12;1;62;0;0;20;11;13;12;14;2;0;0;1;1;169;2;1;0;2;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;46;BIRAÈKO MJESTO BR. 46;PROSTORIJE GRADSKE ÈETVRTI MOSTANJE - KUD-A MOSTANJE;MOSTANJE BB;594;416;415;411;4;1;3;1;3;4;1;7;2;130;3;0;22;4;12;6;13;1;1;1;5;4;184;1;0;0;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;47;BIRAÈKO MJESTO BR. 47;PRIVATNA KUÆA TIHOMIRA GORŠÈAKA;TURAN 76 B;687;375;375;367;8;1;3;1;0;6;0;14;0;154;0;0;5;8;15;12;23;0;0;4;3;3;106;0;0;0;5;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;48;BIRAÈKO MJESTO BR. 48;DRUŠTVENI DOM ZASTINJA;ZASTINJA BB;148;103;103;100;3;1;0;0;0;0;0;3;1;41;0;0;2;4;4;3;4;0;0;0;0;1;35;0;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;49;BIRAÈKO MJESTO BR. 49;PROSTORIJE GRADSKE ÈETVRTI TURANJ;BRAÆE GOJAK 7;1.244;784;783;771;12;1;0;2;0;2;3;17;3;275;1;3;35;13;24;34;30;7;1;10;3;0;298;2;1;0;3;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;50;BIRAÈKO MJESTO BR. 50;PROSTORIJE GRADSKE ÈETVRTI TURANJ, PROSTORIJA SAJEVAC;BRAÆE GOJAK BB;502;277;277;269;8;0;0;0;0;4;0;7;1;138;0;0;4;4;8;5;6;0;0;6;3;2;77;0;1;0;1;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;51;BIRAÈKO MJESTO BR. 51;PROSTORIJE MJESNOG ODBORA KAMENSKO, DOM DVD;KAMENSKO BB;444;271;271;266;5;1;2;0;1;1;1;10;1;95;0;0;41;6;20;9;18;2;0;1;1;4;49;0;0;0;1;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;52;BIRAÈKO MJESTO BR. 52;PROSTORIJE MJESNOG ODBORA GORNJE MEKUŠJE;MEKUŠANSKA CESTA BB;439;305;304;295;9;2;7;0;1;4;0;2;1;101;0;1;39;6;3;4;16;0;1;3;3;2;94;1;0;1;1;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;53;BIRAÈKO MJESTO BR. 53;DRUŠTVENI DOM CEROVAC VUKMANIÆKI;CEROVAC VUKMANIÆKI BB;812;446;446;436;10;3;2;0;3;7;1;5;2;246;0;1;7;2;15;14;15;1;1;2;7;5;93;1;0;0;1;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;54;BIRAÈKO MJESTO BR. 54;PROSTORIJE MO VUKMANIÆ;VUKMANIÆ BB;218;171;171;165;6;0;0;0;3;0;0;0;2;111;0;0;4;5;11;0;7;0;0;2;1;0;18;0;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;55;BIRAÈKO MJESTO BR. 55;OSNOVNA ŠKOLA POPOVIÆ BRDO;POPOVIÆ BRDO BB;248;136;136;134;2;0;0;0;0;2;1;0;0;47;0;0;3;2;0;0;15;1;0;2;0;3;56;1;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;56;BIRAÈKO MJESTO BR. 56;OSNOVNA ŠKOLA TREBINJA;TREBINJA BB;75;50;50;50;0;0;0;0;0;0;0;0;0;7;0;0;3;0;0;1;1;0;0;0;0;0;37;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;57;BIRAÈKO MJESTO BR. 57;PRIVATNA KUÆA ANE BABURIÆ;KABLAR 12;205;135;135;134;1;0;0;0;0;0;0;4;0;93;1;0;5;4;4;5;7;0;0;0;0;1;10;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;58;BIRAÈKO MJESTO BR. 58;PRIVATNA KUÆA BARE JOHA;SLUNJSKA SELNICA BR.39;84;39;39;38;1;0;0;0;0;3;0;0;0;19;0;0;2;0;2;2;3;1;0;0;0;0;6;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;59;BIRAÈKO MJESTO BR. 59;PRIVATNA KUÆA VLADE BUKOVCA;BANSKA SELNICA BR.46;104;60;60;60;0;0;0;0;0;0;0;3;0;48;0;0;1;0;3;0;1;0;0;1;0;0;3;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;60;BIRAÈKO MJESTO BR. 60;PROSTORIJE OŠ SKAKAVAC;SKAKAVAC BB;328;172;172;164;8;0;1;2;1;1;3;0;1;70;1;2;22;3;4;2;3;1;0;3;0;1;42;0;1;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;61;BIRAÈKO MJESTO BR. 61;PRIVATNA KUÆA MATE JOHA;SLUNJSKI MORAVCI 3;72;45;45;45;0;0;0;0;0;1;0;0;1;15;0;1;6;1;3;1;1;0;0;0;0;0;15;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;62;BIRAÈKO MJESTO BR. 62;DRUŠTVENI DOM;GORNJI SJENIÈAK BB;132;77;77;73;4;0;0;0;0;0;0;0;0;20;0;1;1;0;0;0;0;0;0;0;0;1;50;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;63;BIRAÈKO MJESTO BR. 63;TRGOVINA TIBICEN;UTINJA BB;92;56;56;56;0;0;0;0;0;0;0;2;0;20;0;0;0;0;0;0;0;0;0;0;1;1;32;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;64;BIRAÈKO MJESTO BR. 64;STARA ŠKOLA DUBOVAC;DUBOVAC BB;410;247;247;243;4;2;3;0;0;6;1;8;1;68;0;0;14;9;3;13;12;1;0;0;3;2;88;5;0;0;0;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;65;BIRAÈKO MJESTO BR. 65;PROSTORIJE GRADSKE ÈETVRTI DUBOVAC;DUBOVAC 11;923;651;651;641;10;1;1;2;7;9;1;26;2;141;2;0;11;20;25;26;37;8;0;1;9;3;303;1;0;1;0;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;66;BIRAÈKO MJESTO BR. 66;OSNOVNA ŠKOLA DUBOVAC;PRIMORSKA 9;539;369;369;364;5;1;6;1;1;7;0;12;4;70;1;1;9;26;11;19;24;4;0;1;9;2;152;0;0;0;2;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;67;BIRAÈKO MJESTO BR. 67;PROSTORIJE MJESNOG ODBORA BORLIN;V. BOGOVIÆA 12;1.413;978;932;912;20;2;4;6;6;17;2;37;7;163;1;0;55;30;42;36;57;10;0;14;22;4;381;2;4;2;7;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;68;BIRAÈKO MJESTO BR. 68;PROSTORIJE MJESNOG ODBORA ZAGRAD - KALVARIJA - VUÈJAK;KALVARIJA 3;686;481;481;471;10;1;0;2;7;9;0;15;6;146;1;0;16;15;15;14;48;4;0;1;12;7;142;0;4;0;4;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;69;BIRAÈKO MJESTO BR. 69;PROSTORIJE MJESNOG ODBORA VELIKA JELSA;VELIKA JELSA BB;1.605;1.007;1.007;988;19;1;7;9;10;11;2;18;4;217;2;1;112;27;49;37;60;6;1;12;7;25;360;2;3;0;2;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;70;BIRAÈKO MJESTO BR. 70;PROSTORIJE MJESNOG ODBORA MALA JELSA;MALA JELSA BB;310;213;213;205;8;0;0;0;2;1;0;3;1;73;0;0;12;5;7;1;12;5;0;2;4;2;68;0;1;0;6;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;71;BIRAÈKO MJESTO BR. 71;OSNOVNA ŠKOLA ZADOBARJE;ZADOBARJE BB;313;197;197;192;5;0;0;0;1;1;2;4;2;73;1;0;17;6;5;4;8;2;0;2;0;0;62;1;1;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;72;BIRAÈKO MJESTO BR. 72;PROSTORIJE MJESNOG ODBORA GORNJE STATIVE;GORNJE STATIVE BB;396;244;244;235;9;0;0;0;1;2;0;12;0;84;0;1;16;7;10;7;5;2;0;3;1;1;80;0;0;0;1;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;73;BIRAÈKO MJESTO BR. 73;"OSNOVNA ŠKOLA ""BRAÆE SELJAN""";DOMOBRANSKA 2;639;411;411;403;8;0;5;2;1;7;0;9;5;49;0;0;12;12;8;12;18;0;0;5;1;3;250;0;0;0;1;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;74;BIRAÈKO MJESTO BR. 74;"OSNOVNA ŠKOLA ""BRAÆA SELJAN""";DOMOBRANSKA 2;965;674;674;665;9;2;4;3;2;3;1;21;5;148;3;0;8;21;18;19;46;7;0;3;9;2;335;1;0;0;1;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;75;BIRAÈKO MJESTO BR. 75;PROSTORIJE GRADSKE ÈETVRTI ZVIJEZDA;GUNDULIÆEVA 8;525;353;353;352;1;0;2;0;3;4;0;9;1;57;0;0;9;10;7;13;37;2;1;1;14;2;174;1;0;0;4;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;76;BIRAÈKO MJESTO BR. 76;OSNOVNA ŠKOLA BANIJA;DR. GAJE PETROVIÆA 5;505;307;307;298;9;1;1;2;4;4;2;10;3;61;0;0;9;10;3;23;22;5;0;0;14;2;118;0;1;0;1;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;77;BIRAÈKO MJESTO BR. 77;PROSTORIJE GRADSKE ÈETVRTI BANIJA;A. STARÈEVIÆA 20;344;236;236;230;6;0;1;1;0;4;0;13;2;42;0;0;7;10;7;4;9;4;0;1;6;1;114;0;0;0;1;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;78;BIRAÈKO MJESTO BR. 78;OSNOVNA ŠKOLA BANIJA;DR. GAJE PETROVIÆA 5;685;458;458;444;14;0;1;1;1;8;1;18;1;97;0;0;14;13;16;33;27;0;2;7;7;3;187;5;0;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;79;BIRAÈKO MJESTO BR. 79;PROSTORIJE GRADSKE ÈETVRTI BANIJA;A. STARÈEVIÆA BR.20;464;301;301;295;6;0;1;1;1;2;1;6;2;65;0;0;5;11;9;14;18;1;0;3;7;2;141;0;0;0;2;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;80;BIRAÈKO MJESTO BR. 80;OSNOVNA ŠKOLA BANIJA (PREDVORJE LIJEVO);DR. GAJE PETROVIÆA 5;400;262;262;256;6;1;4;1;2;6;0;3;1;44;1;1;5;2;5;17;23;2;0;4;7;3;121;0;0;0;2;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;81;BIRAÈKO MJESTO BR. 81;PROSTORIJE TVRTKE DIP KARLOVAC;BANIJA 127;340;212;212;211;1;2;1;2;3;4;1;6;1;54;0;0;5;15;5;25;8;0;0;1;5;1;70;1;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;82;BIRAÈKO MJESTO BR. 82;"PROSTORIJE ""PLETIX"" (CIGLANA ""ILOVAC"")";ZAGREBAÈKA 19;260;167;167;166;1;0;0;0;3;3;1;1;1;34;1;0;3;4;3;23;10;0;0;1;2;1;74;1;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;83;BIRAÈKO MJESTO BR. 83;GRADSKA ÈETVRT DREŽNIK;DREŽNIK BB;873;593;593;580;13;3;0;3;4;8;4;17;1;127;0;1;24;15;18;22;24;2;0;6;6;11;277;1;0;0;3;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;84;BIRAÈKO MJESTO BR. 84;PROSTORIJE GRADSKE ÈETVRTI DREŽNIK;DREŽNIK BB;377;256;256;249;7;0;1;4;5;1;0;9;0;52;0;0;16;9;13;22;18;0;0;4;3;2;87;0;1;1;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;85;BIRAÈKO MJESTO BR. 85;OSNOVNA ŠKOLA HRNETIÆ;HRNETIÆ BB;637;432;432;423;9;0;6;3;3;7;0;13;0;117;1;0;18;13;17;19;23;1;0;5;6;5;160;1;0;0;1;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;86;BIRAÈKO MJESTO BR. 86;DRUŠTVENE PROSTORIJE DONJE POKUPJE;DONJE POKUPJE BB;492;349;349;344;5;0;1;1;2;4;1;10;2;94;1;1;15;14;10;10;18;1;0;5;5;2;142;0;2;1;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;87;BIRAÈKO MJESTO BR. 87;PROSTORIJE MJESNOG ODBORA MAHIÈNO;MAHIÈNO BB;499;318;318;309;9;0;3;1;0;3;2;7;1;78;0;0;33;9;9;6;17;2;1;6;5;7;116;0;0;0;3;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;88;BIRAÈKO MJESTO BR. 88;OSNOVNA ŠKOLA MAHIÈNO;MAHIÈNO BB;254;149;149;141;8;2;1;4;1;2;0;4;1;38;0;0;12;5;8;5;4;0;0;0;2;1;50;1;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;89;BIRAÈKO MJESTO BR. 89;VATROGASNI DOM DVD PRISELCI;PRISELCI BB;93;63;63;63;0;0;0;0;1;0;1;1;1;29;1;0;3;0;1;2;3;0;0;0;0;2;18;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;90;BIRAÈKO MJESTO BR. 90;OSNOVNA ŠKOLA GORŠÆAKI;GORŠÆAKI BB;232;126;126;124;2;0;2;1;1;0;1;2;0;60;1;0;8;1;9;4;4;1;0;1;0;0;26;0;0;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;91;BIRAÈKO MJESTO BR. 91;VATROGASNI DOM DVD TUŠKANI;TUŠKANI BB;235;141;141;140;1;1;1;0;0;0;1;5;4;48;0;0;3;8;4;5;14;0;0;2;0;0;41;1;0;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;92;BIRAÈKO MJESTO BR. 92;VATROGASNI DOM KNEZ GORICA;KNEZ GORICA BB;110;85;85;83;2;0;0;0;0;1;2;0;0;56;0;0;3;3;2;4;5;0;0;1;0;0;6;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KASTAV;1;BIRAÈKO MJESTO BR. 1;PROSTORIJA GRADA KASTVA;KASTAV, ZAKONA KASTAFSKEGA 3;888;597;597;588;9;1;4;13;4;0;0;40;1;71;4;0;7;12;14;7;32;2;0;2;12;0;347;7;0;0;5;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KASTAV;2;BIRAÈKO MJESTO BR. 2;PROSTORIJA DRUŠTVENOG DOMA BRNÈIÆI;BRNÈIÆI 66;881;595;595;590;5;6;4;12;3;4;0;29;1;92;2;0;10;11;14;9;42;3;0;2;15;9;308;2;0;0;7;5;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KASTAV;3;BIRAÈKO MJESTO BR. 3;POSLOVNI PROSTOR U PRIZEMLJU ZGRADE;MISERKINO 14;1.844;1.132;1.132;1.110;22;0;6;30;11;12;3;56;8;181;9;2;8;25;22;26;83;6;1;4;33;14;556;4;1;0;5;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KASTAV;4;BIRAÈKO MJESTO BR. 4;PROSTORIJA DRUŠTVENOG DOMA SPINÈIÆI;SPINÈIÆI 47;1.648;1.052;1.052;1.038;14;1;4;21;7;4;1;75;6;130;3;1;10;30;22;21;79;12;0;6;26;9;553;4;0;0;5;8;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KASTAV;5;BIRAÈKO MJESTO BR. 5;PROSTORIJA DRUŠTVENOG DOMA BRAÆE MILIH;RUBEŠI 65;1.227;794;794;784;10;0;5;12;5;1;0;46;5;146;2;0;8;24;16;22;51;5;0;2;17;8;401;1;1;0;2;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KASTAV;6;BIRAÈKO MJESTO BR. 6;PROSTORIJA DRUŠTVENOG DOMA BRAÆE MILIH;RUBEŠI 65;1.341;895;894;885;9;0;7;19;8;7;2;51;7;113;3;0;11;27;20;13;65;6;0;4;34;14;460;1;0;2;2;9;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KASTAV;7;BIRAÈKO MJESTO BR. 7;PROSTORIJA DRUŠTVENOG DOMA BRAÆE MATEŠIÆ;ŠPOROVA JAMA 2;906;614;614;604;10;0;3;7;5;4;0;39;5;77;8;1;5;12;20;20;46;1;0;1;19;10;317;2;0;0;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;1;BIRAÈKO MJESTO BR. 1;PROSTORIJE MJESNOG ODBORA KLENOVICA;KLENOVICA, OMLADINSKI PRILAZ 2;478;237;237;232;5;0;1;2;0;1;0;13;0;74;0;1;7;3;5;6;8;0;0;1;4;0;106;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;2;BIRAÈKO MJESTO BR. 2;PROSTORIJE BIVŠE OSNOVNE ŠKOLE KRMPOTE;KRMPOTE;133;65;65;63;2;0;1;0;1;4;2;1;0;16;0;0;1;1;1;2;4;1;0;1;0;2;24;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;3;BIRAÈKO MJESTO BR. 3;PROSTOR RECEPCIJE U TURISTIÈKOM NASELJU POVILE;POVILE, M. BUTKOVIÆA BB;252;148;148;144;4;0;0;3;1;1;1;9;2;41;0;0;3;2;4;0;8;1;0;0;1;0;65;2;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;4;BIRAÈKO MJESTO BR. 4;PROSTORIJE BIVŠE OSNOVNE ŠKOLE DONJI ZAGON;DONJI ZAGON B.B.;127;95;95;95;0;0;1;1;0;1;1;6;0;19;0;0;2;1;1;2;4;0;0;0;1;4;49;1;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;5;BIRAÈKO MJESTO BR. 5;PROSTORIJE DOMA KULTURE LEDENICE;LEDENICE;158;119;119;114;5;0;1;2;2;0;0;2;1;52;0;0;3;14;1;0;4;0;1;0;0;1;30;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;6;BIRAÈKO MJESTO BR. 6;"PROSTORIJE ""DOMA KULTURE"" BATER";BATER BB;118;76;76;76;0;0;0;2;0;0;0;3;0;17;0;0;2;2;2;0;1;0;0;0;0;3;44;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;7;BIRAÈKO MJESTO BR. 7;PROSTORIJE VATROGASNOG DOMA NOVI VINODOLSKI;NOVI VINODOLSKI, VATROGASNA 2;528;327;327;320;7;1;1;3;1;1;1;12;1;87;0;0;10;5;7;7;9;0;0;5;3;9;153;1;0;0;3;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;8;BIRAÈKO MJESTO BR. 8;"PROSTORIJE ""MALE SALE DOMA KULTURE""";NOVI VINODOLSKI, KORZO HRVATSKIH BRANITELJA 1;765;437;437;432;5;1;1;1;5;1;1;18;5;138;0;0;7;5;7;8;23;2;0;2;11;1;193;0;0;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;9;BIRAÈKO MJESTO BR. 9;"PROSTORIJE OSNOVNE ŠKOLE ""IVAN MAŽURANIÆ""";NOVI VINODOLSKI, LOKVICA 2;776;441;441;430;11;0;3;3;5;2;2;19;3;87;0;0;20;11;8;4;22;4;0;10;3;3;218;2;0;0;1;0;;;;;;;;;;;;;;;;;
