Izborna jedinica;Grad / opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  ,  Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  ANTONIO BARNJAK;AKCIJA MLADIH - AM  , Nositelj liste:  IRENA PERIÆ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  MATE BULJUBAŠIÆ ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MIŠO VERAJA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DALMATINSKA LIBERALNA STRANKA - DLS  , Nositelj liste:  ANTE TEŠIJA;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  STJEPAN RADILOVIÆ, dipl. organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. STIPO GABRIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  VEDRAN UJEVIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARTINA SUÈIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med.;NEOVISNA LISTA  , Nositelj liste:  STEVKO MARINKOVIÆ;NEOVISNA LISTA  , Nositelj liste:  JURICA TUCAK;NEOVISNA LISTA  , Nositelj liste:  NIKO VISKOVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  SINIŠA VUCO;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  IVICA ŠKILJO  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA PARTIJA HRVATSKE - SPH  , Nositelj liste:  dr.sc. SLOBODAN MARKO BEROŠ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO ADORIÆ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZELENA LISTA  , Nositelj liste:  IVICA SUMIÆ ;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;27;DUBROVNIK;"POSLOVNICA ""KOMPAS""";KARDINALA STEPINCA  56;518;282;282;277;5;1;2;1;1;0;0;2;0;0;1;72;0;6;4;4;29;13;4;0;24;2;0;0;2;3;0;0;105;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;28;DUBROVNIK;"UPRAVNA ZGRADA ""DUBROVNIK -BABIN KUK""";ÆIRA CARIÆA BROJ 3;1.118;647;647;633;14;1;3;5;1;2;1;17;2;2;1;148;8;18;9;12;48;22;4;3;45;3;0;0;0;4;0;0;269;0;0;1;4;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;29;DUBROVNIK;"DJEÈJI  VRTIÆ ""RADOST""";ŽRTAVA S DAKSE 36;541;324;324;319;5;0;2;1;1;1;0;13;0;0;0;50;2;5;7;6;29;20;3;0;22;2;0;0;3;0;0;0;152;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;30;DUBROVNIK;"PROSTORIJE GRADSKE ORG. ""CRVENOG KRIŽA""";OBALA PAPE IVANA  PAVLA II 61;652;315;315;311;4;1;0;1;5;1;0;7;0;0;0;55;4;10;4;5;31;6;2;0;13;1;1;0;0;1;0;1;160;1;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;31;DUBROVNIK;"OŠ ""IVAN GUNDULIÆ"" -DVORANA B";SUSTJEPANSKA 14;974;546;468;461;7;0;1;3;3;2;0;10;0;2;0;120;1;14;1;3;38;13;4;0;40;1;0;0;0;2;0;1;200;0;1;0;1;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;32;DUBROVNIK;AMBULANTA GRUŽ;A. HEBRANGA 79;997;464;463;453;10;0;0;0;3;2;0;10;1;1;1;112;1;18;2;8;32;15;3;0;18;6;0;0;1;3;0;0;212;1;1;0;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;33;DUBROVNIK;"OŠ ""IVAN GUNDULIÆ"" DVORANA A";SUSTJEPANSKA 14;816;420;420;416;4;0;0;1;0;0;2;9;0;2;0;125;2;18;6;8;35;14;2;0;27;1;0;0;1;1;0;0;159;0;0;0;2;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;34;DUBROVNIK;PROSTORIJE G.K. GRUŽ;OBALA S. RADIÆA 29;1.129;634;634;620;14;0;1;1;3;2;2;13;0;2;1;139;1;22;8;5;54;29;3;1;23;2;0;0;6;3;0;2;295;0;0;0;1;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;35;DUBROVNIK;"OŠ ""IVAN GUNDULIÆ"" -DVORANA C";SUSTJEPANSKA 14;883;506;487;480;7;0;0;0;1;0;1;4;2;1;0;159;1;19;9;8;38;14;4;0;24;3;0;0;0;2;0;0;187;0;0;0;1;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;36;DUBROVNIK;OPÆINSKI SUD U DUBROVNIKU -SUDNICA BROJ 1;DR. ANTE STARÈEVIÆA 23;894;440;440;435;5;0;0;1;3;3;0;5;0;0;1;83;2;8;8;7;44;16;1;0;37;1;1;0;0;3;0;0;208;1;0;0;2;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;37;DUBROVNIK;DJEÈJI VRTIÆ;UZ JADRANSKU CESTU BB,MOKOŠICA;2.067;1.111;1.089;1.063;26;0;3;6;2;3;2;14;3;4;1;467;5;19;16;15;122;36;7;0;39;17;0;0;3;6;0;3;265;2;0;0;0;3;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;38;DUBROVNIK;OSNOVNA ŠKOLA I. (N.MOKOŠICA);BARTOLA KAŠIÆA BROJ 20;1.802;950;950;931;19;0;1;4;2;3;0;27;0;2;0;236;6;20;13;15;95;47;5;0;71;6;0;0;3;10;0;0;358;1;0;0;3;3;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;39;DUBROVNIK;OSNOVNA ŠKOLA II. (N.MOKOŠICA);BARTOLA KAŠIÆA BROJ 20;1.273;728;727;699;28;0;0;5;0;1;4;20;1;3;1;198;4;41;10;9;75;28;6;0;41;3;1;0;6;2;1;3;232;0;0;0;0;4;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;40;DUBROVNIK;OSNOVNA ŠKOLA III. (N.MOKOŠICA);BARTOLA KAŠIÆA 20;1.190;650;650;634;16;0;2;1;0;3;2;15;0;2;0;162;8;28;13;10;55;36;1;0;42;0;0;0;4;4;0;1;238;0;1;0;1;5;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;41;DUBROVNIK;BARAKA-KLUB UMIROVLJENIKA;NOVA MOKOŠICA;1.288;764;739;724;15;1;3;4;0;1;0;21;0;2;0;170;2;10;9;17;77;24;1;0;56;3;1;0;3;8;0;2;303;1;0;0;1;4;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;42;DUBROVNIK;DVD TENTURIJA;TENTURIJA  BB;1.449;780;780;760;20;0;4;4;1;3;2;19;2;6;3;257;4;30;4;28;104;20;3;0;38;5;0;2;1;17;0;0;196;0;0;0;3;4;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;43;DUBROVNIK;MJESNI ODBOR GROMAÈA;GROMAÈA BB;154;102;102;101;1;0;0;1;0;0;1;1;0;1;0;64;2;1;0;1;11;1;1;0;8;0;0;0;0;0;0;0;8;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;44;DUBROVNIK;DOM KLIŠEVO;KLIŠEVO;58;49;49;46;3;0;0;0;1;0;0;0;0;0;0;16;1;0;0;0;3;3;0;0;8;0;0;0;0;0;0;0;14;0;0;0;0;0;;;;;;;;;;;;;;;
