Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MIRKO MAKAUS ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  GORAN OŽANIÆ;AKCIJA MLADIH - AM , LISTA ZA RIJEKU - LISTA-RI , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DANKO ŠVORINIÆ ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  ANDRIJA ŠKRIBULJA  ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  ,  Nositelj liste:  NATAŠA SRDOÈ  ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  IVO ZRILIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  dr.sc. IVAN KIRIN;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  DAVOR JURICA ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS  , Nositelj liste:  IVAN JANKO  ;LADONJA  , Nositelj liste:  PLINIO CUCCURIN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  ZDRAVKO BERIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;PRIMORSKO GORANSKI SAVEZ - PGS , BLOK UMIROVLJENICI ZAJEDNO - BUZ , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR   ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  IVAN PLJEŠA;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad.;VOLIM HRVATSKU - VH  , Nositelj liste:  prof.dr.sc. ZVONKO ÈAPKO ;ZELENA LISTA  , Nositelj liste:  DARKO ANTOŠ  ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI  , Nositelj liste:  mr.sc. JOSIP-ANTON RUPNIK;;;;
VIII. IZBORNA JEDINICA;SISAK;2;0;3;3;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SLATINA;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SLAVONSKI BROD;1;0;4;4;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SOLIN;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;8;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;9;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SPLIT;10;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SUPETAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SVETI IVAN ZELINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ŠENKOVEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ŠIBENIK;1;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ŠIBENIK;2;0;5;5;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;TOPUSKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;UMAG - UMAGO;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VALPOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VARAŽDIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VARAŽDIN;2;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;1;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VELIKA GORICA;1;0;9;9;8;1;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VELIKA GORICA;2;0;6;6;6;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VINKOVCI;1;0;4;4;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VIROVITICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VIS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VRBOVEC;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;VUKOVAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;1;0;3;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;4;0;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;5;0;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;8;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;10;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;14;0;3;3;3;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;15;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;16;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;17;0;4;4;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;19;0;14;14;14;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZADAR;20;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZAPREŠIÆ;1;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ZEMUNIK DONJI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ŽUPANJA;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
UKUPNO;;;0;857;854;838;16;3;5;14;3;2;2;102;3;11;14;19;16;38;4;13;17;1;22;26;0;509;4;0;0;5;5;;;;
