Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MILAN ŽUPANÈIÆ, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  LUKA ŽUŽENIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ROBERT KURELIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  BRANKO BORKOVIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  DRAŽEN KELEMINEC   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  MILAN PERKOVAC, mg.elektronike ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  TOMISLAV POKUPÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , DEMOKRATSKI CENTAR - DC  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NADA LANDEKA  ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MARIJANA PETIR ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  ANTO ÐAPIÆ  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  PERO PAŽIN;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARINKO BOBINAC;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  DRAGICA LOVREKOVIÆ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  MILAN LONÈAR;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;ZELENI ZAJEDNO  , Nositelj liste:  TONI VIDAN;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;13;13;13;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;1;0;8;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;40;40;40;0;0;0;1;1;0;1;0;0;0;0;6;1;1;1;3;7;0;2;0;0;2;0;12;0;0;0;1;0;1;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;13;13;12;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;6;0;0;0;0;1;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;97;97;97;0;0;0;0;0;0;3;0;1;0;0;14;0;0;1;2;7;6;4;0;0;7;1;50;0;0;0;0;0;1;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;6;6;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;8;8;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;1;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;5;5;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;3;0;14;14;14;0;0;0;0;0;0;0;2;0;0;0;5;0;0;0;0;2;0;0;0;0;1;0;4;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;3;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;3;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;3;0;4;4;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZEMUNIK DONJI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
UKUPNO;;;0;449;447;441;6;0;0;4;2;1;6;5;2;0;2;83;1;1;9;14;34;13;22;1;1;18;5;206;0;0;4;2;3;2;;;;;;;
