Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  JURE GRUBIŠIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ANTE RUBEŠA ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  IVAN ŠPIKA;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  BORE KAREGA  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ   ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  ZORAN SMOLIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DRAŽEN BUDIŠA  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO ÈONDIÆ ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ZDRAVKO BELUŠIÆ, ing. aeronautike ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZDRAVKO ROŠKO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  STIPE PETRINA;OBITELJSKA STRANKA - OS  , Nositelj liste:  DUŠAN BEŠLIÆ ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS  , Nositelj liste:  prof.dr.sc. SLOBODAN UZELAC ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  BERISLAV RUBELJ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  ATANA GRBIÆ-MARTINOVIÆ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. MILE SOKOLIÆ   ;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;18;BIRAÈKO MJESTO 18. KAŠTEL ŠTAFILIÆ;POLJOPRIVREDNA ŠKOLA BRAÆE RADIÆ;PUT POLJOPRIVREDNIKA 5;2.081;1.027;1.020;1.002;18;3;1;7;4;0;20;1;265;6;2;45;33;58;0;56;7;114;20;23;2;2;328;0;0;2;3;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;1;BIRAÈKO MJESTO 1;"ZGRADA ""HRVATSKIH CESTA"", NADCESTARIJA KNIN";DRNIŠKA CESTA 46. KNIN;209;97;97;93;4;0;1;2;0;0;2;1;50;0;1;4;2;0;0;2;0;1;0;4;0;3;19;0;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;2;BIRAÈKO MJESTO 2;ZGRADA VELEUÈILIŠTA MARKO MARULIÆ;KREŠIMIROVA 30 KNIN;1.626;817;817;803;14;1;4;2;0;3;10;3;343;0;21;31;35;19;0;23;1;29;1;22;0;59;195;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;3;BIRAÈKO MJESTO 3;"PROSTORIJE ""UPRAVITELJ KNIN"", (BIVŠA TRŽNICA KNIN D.O.O)";VUKOVARSKA BR. 2 KNIN;1.745;883;883;868;15;0;2;1;2;3;13;2;415;5;12;31;26;26;2;20;0;15;4;29;1;62;193;0;0;2;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;4;BIRAÈKO MJESTO 4;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIÆEVA 2. KNIN;2.047;1.038;1.038;1.019;19;1;1;2;1;5;9;2;483;5;30;58;29;43;3;10;8;24;2;22;0;55;222;1;0;2;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;5;BIRAÈKO MJESTO 5;PRIVATNA KUÆA JOVICE JEJINE;DINARSKA 3, KOVAÈIÆ;1.189;562;562;549;13;1;0;2;0;0;6;1;282;7;4;13;9;5;1;3;1;8;0;7;0;87;107;1;2;2;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;6;BIRAÈKO MJESTO 6;"ZGRADA HEP-A ""ELEKTRA""";4. GARDIJSKE 48 KNIN;1.531;744;742;731;11;0;1;1;1;1;8;3;382;1;8;38;16;28;1;9;1;14;7;12;1;92;104;0;0;1;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;7;BIRAÈKO MJESTO 7;ZGRADA OŠ DR. FRANJE TUÐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIÆA BR. 2, KNIN;1.684;890;889;875;14;0;6;2;2;0;15;2;409;2;9;36;23;17;2;17;4;28;2;26;0;45;224;1;0;1;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;8;BIRAÈKO MJESTO 8;ZGRADA OPÆE BOLNICE KNIN;SURONJINA BB KNIN;2.315;1.170;1.168;1.150;18;0;1;2;0;4;5;3;704;9;10;44;24;34;3;14;6;25;1;22;0;88;148;2;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;9;BIRAÈKO MJESTO 9;POLJOPRIVREDNA ZADRUGA GOLUBIÆ;GOLUBIÆ;1.022;541;541;531;10;3;0;2;2;0;7;2;227;3;3;11;4;32;0;2;2;0;1;2;0;155;72;0;1;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;10;BIRAÈKO MJESTO 10;ZGRADA NOVE AMBULANTE;PLAVNO;437;123;123;123;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;95;24;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;11;BIRAÈKO MJESTO 11;ZGRADA OSNOVNE ŠKOLE STRMICA - PRIHVATNI CENTAR;STRMICA;369;122;122;119;3;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;75;40;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;12;BIRAÈKO MJESTO 12;KUÆI VLASNIŠTVA MIRKA LUKIÆA;ZADARSKA 3, ŽAGROVIÆ;784;365;365;362;3;2;0;2;1;2;3;0;80;4;7;3;6;6;1;2;1;1;0;1;1;182;56;1;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;13;BIRAÈKO MJESTO 13;KUÆA ILIJE ORLOVIÆA;LJUBAÈ;76;44;44;43;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;30;6;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;14;BIRAÈKO MJESTO 14;PROSTORIJE BIVŠEG DOMA KULTURE;OÈESTOVO;163;97;97;97;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;52;41;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KNIN;15;BIRAÈKO MJESTO 15;KUÆA RADOJKE MILOJEVIÆ;POLAÈA;367;98;98;97;1;1;0;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;21;69;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NIN;1;BIRAÈKO MJESTO 1;DOM KULTURE;NIN;1.265;628;628;617;11;1;5;4;3;0;8;3;218;2;5;21;12;48;1;24;2;24;0;18;3;3;210;1;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NIN;2;BIRAÈKO MJESTO 2;MJESNI ODBOR;GRBE;222;130;130;126;4;0;0;1;1;0;4;3;55;1;1;5;1;4;0;5;1;3;1;0;0;0;39;1;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NIN;3;BIRAÈKO MJESTO 3;"OŠ ""PETAR ZORANIÆ"" NIN PODRUÈNA ŠKOLA NINSKI STANOVI";NINSKI STANOVI;394;179;179;175;4;0;1;2;1;0;10;1;77;3;4;10;4;5;0;6;1;13;1;3;2;0;28;0;2;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NIN;4;BIRAÈKO MJESTO 4;"OŠ ""PETAR ZORANIÆ"" NIN PODRUÈNA ŠKOLA U ZATONU";ZATON;754;319;319;309;10;1;3;1;2;1;9;0;98;2;4;17;3;32;2;9;9;11;2;2;1;2;94;1;0;2;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NIN;5;BIRAÈKO MJESTO 5;MJESNI ODBOR POLJICA BRIG;POLJICA BRIG;190;143;143;141;2;0;0;0;0;1;4;2;56;2;0;3;5;7;0;2;0;2;7;3;0;0;45;0;0;1;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NIN;6;BIRAÈKO MJESTO 6;"OŠ ""BARTUL KAŠIÆ"" ZADAR PODRUÈNA ŠKOLA ŽERAVA";ŽERAVA;159;78;78;77;1;0;0;1;1;0;1;1;34;0;2;1;1;4;2;9;0;0;0;0;1;0;19;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NIN;7;BIRAÈKO MJESTO 7;"PROSTORIJE TVRTKE ""NAJAM"" ŽERAVA-POLJACI K.BR. 19";ŽERAVA-POLJACI;51;40;40;40;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;2;0;0;0;0;0;19;13;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NOVALJA;1;NOVALJA 1 - ZGRADA GRADA, PRIZEMLJE;ZGRADA GRADA NOVALJE (PRIZEMLJE);TRG. DR. FRANJE TUÐMANA 1;1.106;615;615;609;6;2;2;2;5;0;10;2;228;4;49;24;8;12;1;20;6;9;0;1;5;0;217;0;1;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NOVALJA;2;NOVALJA 2 - ZGRADA GRADA, VIJEÆNICA;ZGRADA G.NOVALJE -I. KAT, VIJEÆNICA;TRG DR. FRANJE TUÐMANA 1;1.301;737;737;730;7;0;8;0;3;1;11;1;254;6;25;44;13;14;4;23;11;14;1;6;0;0;286;2;0;1;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NOVALJA;3;NOVALJA - MO LUN;MO LUN;LUN;168;108;108;102;6;1;0;0;1;1;2;1;50;0;2;2;1;5;0;5;0;7;1;2;0;0;21;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NOVALJA;4;NOVALJA - MO JAKIŠNICA;MO JAKIŠNICA;JAKIŠNICA;142;76;76;74;2;0;1;0;0;0;6;0;30;2;2;6;0;6;0;2;0;2;0;0;0;0;17;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NOVALJA;5;NOVALJA - ZGRADA MO STARA NOVALJA;ZGRADA MO STARA NOVALJA - KAŠTEL;STARA NOVALJA;280;154;154;152;2;0;0;0;1;0;4;0;64;3;3;8;1;5;2;2;1;7;0;3;0;0;48;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NOVALJA;6;NOVALJA - ZGRADA MO METAJNA;ZGRADA MO METAJNA;METAJNA;224;173;173;168;5;0;0;0;1;0;0;0;109;0;1;0;2;2;0;2;3;2;0;0;0;0;46;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NOVALJA;7;NOVALJA - ZGRADA MO ZUBOVIÆI;ZGRADA MO ZUBOVIÆI;ZUBOVIÆI;185;128;128;125;3;1;0;1;0;0;2;2;75;2;7;4;2;1;0;2;0;4;0;1;0;1;20;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;NOVALJA;8;NOVALJA - ZGRADA MO KUSTIÆI;ZGRADA MO KUSTIÆI;KUSTIÆI;156;94;94;94;0;0;0;0;0;0;4;1;55;0;2;4;0;0;0;2;0;0;0;0;0;0;26;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OBROVAC;1;BIRAÈKO MJESTO 1;SREDNJA ŠKOLA U OBROVCU;OBROVAC;728;436;436;425;11;2;2;1;1;1;3;1;140;8;2;23;6;9;0;13;7;5;0;3;1;64;131;1;1;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OBROVAC;2;BIRAÈKO MJESTO 2;OSNOVNA ŠKOLA U KRUŠEVU;KRUŠEVO;1.528;772;772;761;11;0;2;1;4;1;13;0;427;9;3;68;28;28;0;11;8;16;1;7;0;17;112;3;0;2;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OBROVAC;3;BIRAÈKO MJESTO 3;OSNOVNA ŠKOLA U GORNJEM KARINU;GORNJI KARIN;1.190;554;551;540;11;0;7;0;1;1;7;5;204;4;0;22;38;15;3;24;5;9;0;5;0;63;123;0;1;2;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OBROVAC;4;BIRAÈKO MJESTO 4;MJESNI ODBOR BILIŠANI;BILIŠANI;271;139;139;135;4;0;0;2;0;0;0;0;15;0;0;1;0;0;0;0;0;0;0;0;1;102;13;0;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OBROVAC;5;BIRAÈKO MJESTO 5;OSNOVNA ŠKOLA U ŽEGARU;ŽEGAR;486;314;313;303;10;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;246;51;1;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OBROVAC;6;BIRAÈKO MJESTO 6;OSNOVNA ŠKOLA U KRUPI;KRUPA;110;84;83;82;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;59;22;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OBROVAC;7;BIRAÈKO MJESTO 7;OSNOVNA ŠKOLA U GOLUBIÆU;GOLUBIÆ;132;90;90;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;79;8;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OBROVAC;8;BIRAÈKO MJESTO 8;ZGRADA  RHE VELEBIT;MUŠKOVCI;103;56;56;55;1;0;0;1;2;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;32;16;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;1;OTOÈAC- ZGRADA LOVAÈKOG DOMA U BRLOGU;ZGRADA LOVAÈKOG DOMA U BRLOGU;BRLOG;276;101;101;101;0;0;0;2;0;0;1;0;51;2;0;1;1;1;0;0;0;3;0;0;0;7;32;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;2;OTOÈAC - PODRUÈNA ŠKOLA U HRVATSKOM POLJU;PODRUÈNA ŠKOLA U HRVATSKOM POLJU;HRVATSKO POLJE;178;94;94;93;1;1;1;0;0;0;4;1;41;0;8;1;1;2;0;1;0;0;0;0;0;0;32;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;3;OTOÈAC - PODRUÈNA ŠKOLA KOMPOLJE;PODRUÈNA ŠKOLA KOMPOLJE;KOMPOLJE;311;180;180;173;7;1;3;1;1;1;2;0;80;0;7;6;11;9;0;3;2;2;0;1;1;0;42;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;4;OTOÈAC- PODRUÈNA ŠKOLA U PONORIMA;PODRUÈNA ŠKOLA U PONORIMA;PONORI;58;30;30;29;1;0;1;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;14;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;5;OTOÈAC - PODRUÈNA ŠKOLA ŠVICA;PODRUÈNA ŠKOLA ŠVICA;ŠVICA;434;290;290;283;7;0;1;1;2;0;4;3;181;1;5;12;5;2;2;4;1;3;1;1;1;0;53;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;6;OTOÈAC - PODRUÈNA ŠKOLA LIPOVLJE;PODRUÈNA ŠKOLA LIPOVLJE;LIPOVLJE;222;141;141;140;1;0;2;4;2;0;4;1;82;2;1;3;2;1;1;3;1;0;0;1;0;0;27;1;1;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;7;OTOÈAC - VATROGASNI DOM KUTEREVO;VATROGASNI DOM KUTEREVO;KUTEREVO;488;274;274;271;3;2;1;2;1;0;1;1;191;5;11;5;3;2;0;1;0;0;1;2;2;0;39;0;1;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;8;OTOÈAC - ZGRADA AK OTOÈAC;ZGRADA AK OTOÈAC;I. SENJANINA 12;1.111;716;716;705;11;2;2;1;6;2;15;1;291;7;6;31;26;17;1;16;3;9;0;7;2;4;253;1;0;0;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;9;"OTOÈAC - ZGRADA ""RIBIÈKOG DOMA""";"ZGRADA ""RIBIÈKOG DOMA""";ANTE STARÈEVIÆA 44, OTOÈAC;204;121;121;120;1;0;0;0;1;0;2;1;60;1;3;5;10;1;0;5;0;0;0;5;0;0;26;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;10;OTOÈAC - OŠ OTOÈAC;OŠ OTOÈAC;OTOÈAC;681;457;457;451;6;1;2;2;5;0;7;3;173;3;3;25;13;4;1;24;0;12;0;4;1;2;163;0;0;2;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;11;OTOÈAC-ZGRADA GACKOG PUÈKOG O. UÈILIŠTA KAT;ZGRADA GACKOG  PUÈKOG O. UÈILIŠTA KAT;OTOÈAC;963;633;633;622;11;2;3;4;2;1;18;4;244;5;5;31;27;12;0;17;3;16;0;6;1;5;213;0;0;2;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;12;OTOÈAC-ZGRADA GACKOG  O. UÈ. (PRIZ);ZGRADA GACKOG  PUÈKOG O. UÈ.(PRIZ);OTOÈAC;1.208;616;615;595;20;0;5;1;3;1;20;0;275;4;11;31;8;18;0;8;3;4;0;6;1;7;186;0;0;2;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;13;"OTOÈAC - LOVAÈKI DOM ""DABAR""";"LOVAÈKI DOM ""DABAR""";DABAR;163;75;75;74;1;0;0;0;1;0;1;3;42;2;6;0;3;2;0;1;0;0;0;1;0;0;12;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;14;OTOÈAC - DOM PROZOR DONJI;DOM PROZOR DONJI;PROZOR DONJI;407;276;276;267;9;0;1;0;1;1;3;3;136;4;11;5;6;14;0;6;3;4;0;1;0;2;63;1;0;2;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;15;OTOÈAC - PODRUÈNA ŠKOLA PROZOR GORNJI;PODRUÈNA ŠKOLA PROZOR GORNJI;PROZOR GORNJI;374;240;240;238;2;0;2;0;4;0;7;0;109;2;6;19;8;5;0;7;1;2;0;1;0;0;65;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;16;OTOÈAC - PODRUÈNA ŠKOLA ÈOVIÆI;PODRUÈNA ŠKOLA ÈOVIÆI;ÈOVIÆI;579;355;355;347;8;0;2;1;3;1;10;1;206;6;6;15;12;5;0;4;0;0;3;2;0;1;68;1;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;17;OTOÈAC - PODRUÈNA ŠKOLA LIÈKO LEŠÆE;PODRUÈNA ŠKOLA LIÈKO LEŠÆE;LIÈKO LEŠÆE;424;238;238;227;11;0;3;0;5;2;11;1;102;3;4;16;4;7;0;7;3;5;0;2;0;0;52;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;18;"OTOÈAC - HRVATSKI SELJAÈKI DOM ""GACKA""";"HRVATSKI SELJAÈKI DOM ""GACKA""";LIÈKO LEŠÆE GORNJE;294;158;158;155;3;0;0;2;0;0;6;1;79;2;10;4;2;4;0;1;0;1;0;1;1;1;40;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;19;OTOÈAC - PODRUÈNA ŠKOLA SINAC;PODRUÈNA ŠKOLA SINAC;SINAC;575;310;310;304;6;2;1;4;2;3;11;1;141;4;13;8;14;10;1;2;5;3;0;5;2;0;71;1;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;OTOÈAC;20;OTOÈAC - MJESNI DOM RAMLJANI;MJESNI DOM RAMLJANI;RAMLJANI;167;72;72;72;0;0;0;0;2;1;2;2;46;3;0;1;3;1;0;1;6;0;1;0;0;0;3;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;PAG;1;BIRAÈKO MJESTO 1;PAG - PROSTORIJE DOMA KULTURE;GOLIJA BB;686;403;403;397;6;2;2;1;2;1;11;3;99;1;7;19;5;14;0;9;13;29;0;16;0;2;150;0;0;10;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;PAG;2;BIRAÈKO MJESTO 2;PAG - PROSTORIJE GRADSKE VIJEÆNICE;BRANIMIROVA OBALA 1;960;555;555;544;11;4;5;3;1;1;23;1;128;2;7;18;32;12;4;31;3;18;2;15;0;1;227;1;0;5;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;PAG;3;BIRAÈKO MJESTO 3;PAG - PROSTORIJE KNEŽEVOG DVORA;TRG KRALJA PETRA KREŠIMIRA IV;801;465;465;461;4;3;4;2;0;0;12;0;103;4;2;15;17;18;1;19;6;20;1;9;2;1;213;1;0;7;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;PAG;4;BIRAÈKO MJESTO 4;GORICA -PROSTORIJE DOMA;GORICA;76;55;55;54;1;0;0;1;0;1;1;0;10;0;3;6;7;1;1;0;4;1;0;1;0;0;15;0;0;1;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;PAG;5;BIRAÈKO MJESTO 5;MJESNI ODBOR DINJIŠKA;DINJIŠKA;325;168;168;164;4;0;2;2;2;0;2;2;75;0;2;4;6;8;0;10;1;4;0;1;0;1;41;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;PAG;6;BIRAÈKO MJESTO 6;MJESNI ODBOR VLAŠIÆI;VLAŠIÆI;305;157;156;153;3;1;0;0;0;1;0;2;70;2;0;4;2;3;0;3;3;0;1;7;0;1;50;1;0;1;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;PAG;7;BIRAÈKO MJESTO 7;TD ŠIMUNI;ŠIMUNI;125;87;87;86;1;0;0;0;0;0;1;1;26;2;0;12;7;1;0;2;0;2;0;1;0;0;30;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;SENJ;1;SENJ - UPRAVA ŠUMA SENJ;UPRAVA ŠUMA SENJ;N. SUZANA 27;1.617;1.025;1.025;1.007;18;2;6;5;5;2;27;5;265;7;11;34;75;44;4;34;2;26;0;10;0;2;436;1;0;3;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;SENJ;2;"SENJ - OŠ ""S. S. KRANJÈEVIÆA""";"OŠ ""S. S. KRANJÈEVIÆA""";S. S. KRANJÈEVIÆA 1;1.167;739;739;730;9;2;2;7;5;2;20;3;230;6;14;28;42;41;1;19;0;7;1;7;2;4;277;2;0;2;6;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;SENJ;3;SENJ - ŠKOLSKA SPORTSKA DVORANA;"ŠKOLSKA SPORTSKA DVORANA SENJ ""ROBERT BARBIÆ-BELI""";S. S. KRANJÈEVIÆA 1-A;1.193;785;785;778;7;2;8;2;1;3;31;3;268;11;9;30;50;27;4;24;1;13;1;12;0;2;270;2;1;0;3;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;SENJ;4;SENJ - GRADSKA KNJIŽNICA SENJ;GRADSKA KNJIŽNICA SENJ;TRG CILNICA 11, SENJ;1.000;563;563;553;10;2;1;0;4;3;16;4;170;8;0;13;42;30;6;10;2;9;0;11;2;0;214;3;0;0;3;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;SENJ;5;SENJ - MJESNI ODBOR U SV. JURJU;MJESNI ODBOR U SV. JURJU;SELO 23, SVETI JURAJ;921;484;484;470;14;4;6;1;3;1;15;3;129;5;2;11;17;19;4;10;6;5;1;4;1;3;211;2;0;3;4;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;SENJ;6;SENJ - MJESNI ODBOR, ZGRADA HRVATSKIH ŠUMA U JABLANCU;MJESNI ODBOR, ZGRADA HRVATSKIH ŠUMA U JABLANCU;JABLANAC;323;104;104;104;0;0;1;7;1;0;7;0;51;3;0;1;2;4;0;2;0;2;0;0;1;0;21;0;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;SENJ;7;"SENJ- PODRUÈNA OŠ ""PROF. BOŽO KATALINIÆ""";"PODRUÈNA OŠ ""PROF. BOŽO KATALINIÆ""";VRATNIK;306;172;172;171;1;0;0;1;2;1;3;2;94;2;4;4;13;10;0;1;0;0;0;0;0;2;29;1;0;0;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;SENJ;8;SENJ- MJESNI ODBOR KRIVI PUT, PODBILO;MJESNI ODBOR KRIVI PUT,PODBILO;PODBILO;209;91;91;89;2;0;1;0;1;0;1;1;41;1;3;3;2;6;1;1;0;1;0;2;0;0;23;0;0;1;0;;;;;;;;;;;;;;;;;
