Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: ROBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH  ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: ŠANDOR JUHAS , Predlagatelj: SAVEZ MAÐARSKIH UDRUGA - SMU  ;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;54;RIBNJAK;CENTAR ZA STVARAL.AKTIVNOST MLADIH;RIBNJAK 1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;55;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA 108;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;56;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA 108;3;3;3;3;0;2;1;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;57;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA 108;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;58;STJEPAN RADIÆ;HVIDRA ÈRNOMEREC;ILICA 124;3;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;59;ŠALATA;OŠ IVANA GORANA KOVAÈIÆA;MESIÆEVA 35;2;1;1;1;0;0;1;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;60;TUŠKANAC;CENTAR ZA ODGOJ I OBRAZOVANJE SLAVA RAŠKAJ;VLADIMIRA NAZORA 47;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;61;TUŠKANAC;PROSTORIJE MJESNOG ODBORA;JABUKOVAC 28;5;2;2;2;0;2;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;62;TUŠKANAC;CENTAR ZA ODGOJ DJECE I MLADEŽI;GORNJE PREKRIŽJE 48;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;63;TUŠKANAC;HRVATSKI FILMSKI SAVEZ;TUŠKANAC 1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;64;VOÆARSKA;PROSTORIJE MJESNOG ODBORA;VOÆARSKA CESTA 71;2;2;2;2;0;1;1;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;65;VOÆARSKA;PROSTORIJE MJESNOG ODBORA;VOÆARSKA CESTA 71;3;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;66;CVJETNICA;DOM ZA STARIJE I NEMOÆNE OSOBE TRNJE;POLJIÈKA 12;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;67;CVJETNICA;DJEÈJI VRTIÆ VRBIK;PUT JURIJA GAGARINA 10;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;68;CVJETNO NASELJE;OŠ CVJETNO NASELJE;CVJETNA CESTA 17;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;69;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;70;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;71;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;72;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;73;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;74;MARTINOVKA;OŠ TINA UJEVIÆA;KOTURAŠKA CESTA 75;2;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;75;MARTINOVKA;OŠ TINA UJEVIÆA;KOTURAŠKA CESTA 75;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;76;MARTINOVKA;PROSTORIJE MJESNOG ODBORA;MIRAMARSKA CESTA 17;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;77;MARTINOVKA;UÈENIÈKI DOM FRANJE BUÈARA;TRNJANSKA CESTA 11F;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;78;MIRAMARE;OŠ DAVORINA TRSTENJAKA;KRÈKA 3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;79;SAVSKI KUTI;PROSTORIJE MJESNOG ODBORA;LOMNIÈKA 3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;80;SIGEÈICA;OŠ RAPSKA;RAPSKA 3;1;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;81;SIGEÈICA;OŠ RAPSKA;RAPSKA 3;1;1;1;1;0;0;1;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;82;SIGEÈICA;OŠ RAPSKA;RAPSKA 3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;83;SIGEÈICA;OŠ RAPSKA;RAPSKA 3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;84;STARO TRNJE;DJEÈJI VRTIÆ SAVICA;VLADIMIRA RUŽDJAKA 22;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;85;STARO TRNJE;PROSTORIJE MJESNOG ODBORA-STARO TRNJE;TRNJANSKA CESTA 128;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;86;STARO TRNJE;DJEÈJI VRTIÆ SAVICA;VLADIMIRA RUŽDJAKA 22;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;87;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;VLADIMIRA RUŽDJAKA 2A;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;88;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;VLADIMIRA RUŽDJAKA 2A;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;89;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;VLADIMIRA RUŽDJAKA 2A;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;90;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;VLADIMIRA RUŽDJAKA 2A;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;91;TRNJANSKA SAVICA;PROSTORIJE MJESNOG ODBORA;VLADIMIRA RUŽDJAKA 21;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;92;TRNJANSKA SAVICA;PROSTORIJE MJESNOG ODBORA;VLADIMIRA RUŽDJAKA 21;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;93;TRNJANSKA SAVICA;ZAJEDNIÈKE PROSTORIJE STANARA;LASTOVSKA 26;1;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;94;TRNJE;UÈENIÈKI DOM FRANJE BUÈARA;TRNJANSKA CESTA 33;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;95;TRNJE;OŠ GRIGORA VITEZA;KRUGE 46;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;96;VESLAÈKO NASELJE;PROSTORIJE MJESNOG ODBORA;VESLAÈKA 17;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;97;VRBIK;DRUŠTVENI DOM VRBIK;KNINSKI TRG 1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;98;VRBIK;DRUŠTVENI DOM VRBIK;KNINSKI TRG 1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;99;VRBIK;DRUŠTVENI DOM VRBIK;KNINSKI TRG 1;1;1;1;1;0;0;1;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;100;BUKOVAC;OŠ BUKOVAC;TRNAC 42;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;101;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA 50;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;102;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA 50;2;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;103;BUKOVAC;VATROGASNI DOM;IX. BUKOVAÈKI OGRANAK 2;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;104;DINKO ŠIMUNOVIÆ;PROSTORIJE MJESNOG ODBORA;ŠRAPÈEVA 12;1;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
