Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: VLADIMIR BILEK, Predlagatelj: , SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU ;Kandidat: mr.sc. ZDENKA ÈUHNIL, Predlagatelj: , ÈEŠKA BESEDA KONÈANICA , MATICA SLOVAÈKA JOSIPOVAC , ÈEŠKA BESEDA SISAK  ;Kandidat: dr.sc. IVAN DANJEK, dipl.ing. agr., Predlagatelj: NEOVISNI KANDIDAT  ;Kandidat: IVAN KOMAK, Predlagatelj: SAVEZ SLOVAKA - ZVAZ SLOVAKOV - SSL-ZSL;Kandidat: JAROSLAV VOJTA, mag.prava, Predlagatelj: NEOVISNI KANDIDAT 
XII. IZBORNA JEDINICA;4;ÐURÐENOVAC;15;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ERDUT;10;2;1;1;1;0;1;0;0;0;0
XII. IZBORNA JEDINICA;4;ERNESTINOVO;2;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;FERIÈANCI;5;2;1;1;1;0;0;0;0;1;0
XII. IZBORNA JEDINICA;4;GORJANI;2;14;6;6;6;0;0;0;0;6;0
XII. IZBORNA JEDINICA;4;GRADINA;12;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;JAGODNJAK;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;KNEŽEVI VINOGRADI;8;3;2;2;2;0;0;0;0;2;0
XII. IZBORNA JEDINICA;4;KOŠKA;10;29;19;19;19;0;0;3;1;15;0
XII. IZBORNA JEDINICA;4;LEVANJSKA VAROŠ;9;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;LUKAÈ;10;1;1;1;1;0;1;0;0;0;0
XII. IZBORNA JEDINICA;4;MAGADENOVAC;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;MARIJANCI;6;2;2;2;2;0;0;1;0;1;0
XII. IZBORNA JEDINICA;4;MIKLEUŠ;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;NOVA BUKOVICA;8;18;17;17;17;0;0;0;0;17;0
XII. IZBORNA JEDINICA;4;PETLOVAC;6;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PETRIJEVCI;4;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PITOMAÈA;19;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PODGORAÈ;10;4;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PODRAVSKA MOSLAVINA;2;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;POPOVAC;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PUNITOVCI;3;302;174;174;173;1;9;80;1;83;0
XII. IZBORNA JEDINICA;4;SATNICA ÐAKOVAÈKA;3;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SEMELJCI;5;1;1;1;1;0;0;0;0;1;0
XII. IZBORNA JEDINICA;4;SOPJE;9;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;STRIZIVOJNA;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SUHOPOLJE;19;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ŠODOLOVCI;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ŠPIŠIÆ BUKOVICA;8;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;TRNAVA;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VILJEVO;4;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VIŠKOVCI;3;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VLADISLAVCI;4;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VOÆIN;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VUKA;1;1;1;1;1;0;0;0;0;1;0
XII. IZBORNA JEDINICA;4;ZDENCI;9;9;8;8;8;0;0;0;0;8;0
XII. IZBORNA JEDINICA;5;ILOK;7;599;263;263;259;4;35;23;2;195;4
XII. IZBORNA JEDINICA;5;KUTJEVO;21;25;14;14;14;0;4;6;2;0;2
XII. IZBORNA JEDINICA;5;LIPIK;16;111;32;32;31;1;13;12;4;1;1
XII. IZBORNA JEDINICA;5;NOVA GRADIŠKA;14;7;2;2;2;0;2;0;0;0;0
XII. IZBORNA JEDINICA;5;OTOK;6;4;1;1;1;0;0;0;0;1;0
XII. IZBORNA JEDINICA;5;PAKRAC;23;141;48;48;48;0;23;13;7;2;3
XII. IZBORNA JEDINICA;5;PLETERNICA;36;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;POŽEGA;48;19;6;6;6;0;2;1;2;1;0
XII. IZBORNA JEDINICA;5;SLAVONSKI BROD;60;24;11;11;10;1;2;8;0;0;0
XII. IZBORNA JEDINICA;5;VINKOVCI;33;16;2;2;2;0;0;0;0;2;0
XII. IZBORNA JEDINICA;5;VUKOVAR;16;64;7;7;7;0;1;1;1;4;0
XII. IZBORNA JEDINICA;5;ŽUPANJA;9;4;2;2;2;0;0;0;0;2;0
XII. IZBORNA JEDINICA;5;ANDRIJAŠEVCI;4;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BABINA GREDA;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BEBRINA;7;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BOGDANOVCI;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BOROVO;5;17;1;1;1;0;1;0;0;0;0
XII. IZBORNA JEDINICA;5;BOŠNJACI;4;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BRESTOVAC;17;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BRODSKI STUPNIK;5;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BUKOVLJE;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;CERNA;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;CERNIK;10;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ÈAGLIN;22;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;DAVOR;3;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;DONJI ANDRIJEVCI;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;DRAGALIÆ;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;DRENOVCI;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GARÈIN;9;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GORNJA VRBA;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GORNJI BOGIÆEVCI;5;5;1;1;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;5;GRADIŠTE;4;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GUNDINCI;4;1;1;1;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;5;GUNJA;4;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;IVANKOVO;6;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;JAKŠIÆ;13;18;13;13;13;0;1;1;0;11;0
XII. IZBORNA JEDINICA;5;JARMINA;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;KAPTOL;11;40;13;13;13;0;4;4;3;0;2
XII. IZBORNA JEDINICA;5;KLAKAR;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;LOVAS;2;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;MARKUŠICA;6;2;0;0;0;0;0;0;0;0;0
