Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  IVAN CVETKOVIÆ, dr.vet.med.;AKCIJA MLADIH - AM  , Nositelj liste:  MARIO ALEMPIJEVIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  EMIL-FRANJO MARKANOVIÆ, dr.med.;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MARIJAN VIDOVIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  DAVOR VLAOVIÆ, dipl.ing. ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO DUSPARA ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  KREŠIMIR LANDEKA ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  JOSIP GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  TOMISLAV POKROVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  VLADO BUŠIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  DARKO STOŠIÆ ;ZELENA STRANKA - ZS  ,   Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;KUTJEVO;18;PODRUÈNA ŠKOLA;TOMINOVAC;TOMINOVAC 29;165;93;93;93;0;0;0;1;0;4;1;0;21;0;1;0;0;5;25;1;1;0;0;33;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;KUTJEVO;19;DRUŠTVENI DOM;VENJE;VENJE BB;96;73;73;73;0;1;0;0;1;0;0;0;33;0;4;0;1;0;19;0;0;0;0;14;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;KUTJEVO;20;DRUŠTVENI DOM;VETOVO;ZAGREBAÈKA 1;438;236;236;232;4;0;0;0;1;2;4;0;88;0;1;0;3;1;81;2;0;0;0;48;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;KUTJEVO;21;PODRUÈNA ŠKOLA;VETOVO;MATIJE GUPCA 7A;538;290;290;288;2;0;1;0;1;6;3;2;56;0;10;6;7;2;110;3;0;0;1;78;1;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;1;OSNOVNA ŠKOLA;LIPIK;ŠKOLSKA BB;688;438;438;422;16;2;4;2;1;19;1;1;139;1;18;15;15;8;31;19;6;1;1;138;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;2;DRUŠTVENI DOM;LIPIK;SLAVONSKA 45;513;295;295;290;5;1;1;1;3;6;0;2;86;2;10;13;5;5;11;8;1;2;1;128;2;1;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;3;GRADSKA UPRAVA;LIPIK;MARIJE TEREZIJE 27;682;398;398;388;10;2;0;2;7;10;2;1;118;1;13;9;13;12;11;14;0;2;0;170;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;4;DRUŠTVENI DOM;ANTUNOVAC;POLJANSKA BB;333;199;199;190;9;0;1;6;4;8;0;1;73;1;26;1;6;2;5;3;1;0;0;51;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;5;DRUŠTVENI DOM;BREKINSKA;BREKINSKA BB;106;64;64;61;3;0;1;3;0;3;0;0;38;1;0;3;1;0;0;0;0;1;0;9;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;6;DRUŠTVENI DOM;BREZINE;BREZINE BB;202;138;138;134;4;0;0;1;1;3;2;2;40;0;11;2;1;7;16;2;1;0;0;44;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;7;OSNOVNA ŠKOLA;DOBROVAC;STJEPANA RADIÆA 54;405;221;221;217;4;1;2;1;2;4;2;0;94;0;3;6;2;40;15;2;0;0;0;42;0;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;8;OSNOVNA ŠKOLA;DONJI ÈAGLIÆ;ROBERTA ŽILIJA BB;297;164;164;158;6;0;0;4;0;6;1;0;58;3;14;4;4;4;1;2;0;0;1;56;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;9;DRUŠTVENI DOM;FILIPOVAC;TABOR 14;379;253;253;251;2;2;0;4;0;9;1;0;76;0;17;12;9;4;15;8;0;0;1;88;1;2;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;10;DRUŠTVENI DOM;GAJ;SLAVKA SUDRE BB;245;175;175;173;2;0;2;1;0;5;2;2;69;3;14;1;2;2;14;5;0;2;3;46;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;11;DRUŠTVENI DOM;JAPAGA;PSUNJSKA BB;113;69;69;69;0;2;0;0;0;2;0;1;15;0;0;3;2;0;4;0;0;0;0;40;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;12;PRIVATNA KUÆA PETRA RAÐENOVIÆA;JAGMA;JAGMA 16;52;12;12;12;0;0;0;0;0;1;0;0;2;0;0;2;0;1;0;0;0;0;0;6;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;13;DRUŠTVENI DOM;KUKUNJEVAC;F. FILIPOVIÆA BB;226;95;95;94;1;2;0;0;1;5;1;1;34;0;6;0;2;1;3;1;0;0;0;37;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;14;DRUŠTVENI DOM;MARINO SELO;MARINO SELO BB;236;152;152;151;1;1;0;1;1;2;0;0;68;0;27;1;5;3;4;3;2;0;2;29;1;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;15;OSNOVNA ŠKOLA;POLJANA;ANTUNOVAÈKA BB;477;271;271;264;7;3;1;2;0;6;0;2;75;2;14;13;9;3;6;19;0;0;0;103;1;0;1;4;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;LIPIK;16;DRUŠTVENI DOM;ŠEOVICA;OMANOVAÈKA BB;150;68;68;64;4;0;0;1;0;1;1;1;30;1;1;0;4;1;1;0;0;0;1;19;0;1;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;1;NOVA GRADIŠKA;UPRAVA ŠUMA;J.J. STROSSMAYERA 9;1.084;569;569;563;6;1;0;2;0;12;2;4;134;3;35;23;10;20;59;11;3;2;1;235;1;1;1;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;2;NOVA GRADIŠKA;OŠ MATO LOVRAK;M.BENKOVIÆA 39;1.021;589;589;576;13;2;2;2;0;11;0;4;168;2;12;23;16;16;56;29;3;0;0;226;1;0;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;3;NOVA GRADIŠKA;PRIVATNA KUÆA IVANA ORŠULIÆA;BARUNA TRENKA 1;1.130;591;591;576;15;2;0;0;3;10;4;7;173;4;33;12;13;8;114;15;1;1;3;168;2;0;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;4;NOVA GRADIŠKA;PRIVATNA KUÆA STJEPANA KRALJIÆA;KRALJA DMITRA ZVONIMIRA 167;840;440;438;427;11;1;1;2;0;8;2;1;133;1;35;22;16;8;59;8;0;0;1;126;1;1;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;5;NOVA GRADIŠKA;PRIVATNA KUÆA MIROSLAVA STRINAVIÆA;I.G. KOVAÈIÆA 30;1.156;572;572;565;7;1;3;5;0;15;2;1;196;2;41;17;18;13;85;7;1;0;1;154;0;1;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;6;NOVA GRADIŠKA;"OŠ ""LJUDEVIT GAJ""";LJUDEVITA GAJA 24;1.188;699;699;690;9;1;2;1;1;9;0;6;145;4;28;30;19;10;74;24;4;6;0;316;2;1;2;5;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;7;NOVA GRADIŠKA;"""SLAVÈA"" D.O.O.";LJUDEVITA GAJA 56;863;451;451;443;8;1;0;1;0;8;1;3;93;1;26;3;26;5;64;25;1;2;1;176;1;0;2;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;8;NOVA GRADIŠKA;DRUŠTVENI DOM;TRG DR. FRANJE TUÐMANA 1;1.213;766;764;752;12;2;4;2;1;9;4;2;163;3;42;8;21;14;83;34;3;1;0;350;3;0;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;9;NOVA GRADIŠKA;DOM KULTURE;RELKOVIÆEVA 4;696;424;424;417;7;1;1;3;1;8;2;4;90;2;20;14;8;15;34;13;2;3;2;193;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;10;NOVA GRADIŠKA;"DOM ""MALA""";MALA 92;1.037;633;633;621;12;0;3;2;0;12;1;4;140;1;36;24;5;15;62;26;0;1;1;286;0;0;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;11;NOVA GRADIŠKA;GRADSKA VIJEÆNICA;TRG K. TOMISLAVA 1;1.134;628;627;621;6;1;1;1;0;15;5;1;160;1;26;22;14;13;67;20;2;4;0;265;1;0;1;1;;;;;;;;;;;;;;;;;
