Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  IVAN CVETKOVIÆ, dr.vet.med.;AKCIJA MLADIH - AM  , Nositelj liste:  MARIO ALEMPIJEVIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  EMIL-FRANJO MARKANOVIÆ, dr.med.;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MARIJAN VIDOVIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  DAVOR VLAOVIÆ, dipl.ing. ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO DUSPARA ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  KREŠIMIR LANDEKA ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  JOSIP GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  TOMISLAV POKROVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  VLADO BUŠIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  DARKO STOŠIÆ ;ZELENA STRANKA - ZS  ,   Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;21;"TEKIJA IV, JP ""TEKIJA"" - SJEVERNI ULAZ";POŽEGA;VODOVODNA 1;766;518;518;513;5;1;4;1;1;25;0;3;109;5;3;11;5;9;37;16;3;3;2;273;1;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;22;"VIDOVCI I, NK ""DINAMO""";VIDOVCI;STJEPANA RADIÆA BB;490;278;278;273;5;0;2;1;0;17;6;1;113;3;0;3;12;3;24;3;1;0;1;80;0;0;2;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;23;"VIDOVCI II, NK ""DINAMO""";VIDOVCI;VILIMA KORAJCA 2B;1.101;671;671;653;18;1;3;1;2;28;4;2;218;2;16;9;5;11;85;14;0;1;1;245;0;1;3;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;24;MJESNI DOM;DERVIŠAGA;S. RADIÆA BB;851;515;515;509;6;0;3;5;3;27;2;2;208;4;8;4;6;13;67;12;3;2;1;134;0;1;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;25;MJESNI DOM;SEOCI;SEOCI BB;86;61;61;60;1;0;0;0;0;1;0;0;27;0;3;0;0;0;12;0;0;0;0;16;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;26;PRIVATNA KUÆA ŽELJKA RAJÈEVIÆA;CRKVENI VRHOVCI;CRKVENI VRHOVCI 1;49;31;31;29;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;27;MJESNI DOM;LAZE ÆOSINE;LAZE ÆOSINE BB;41;27;27;26;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;28;PRIVATNA KUÆA IVE BLAŽEVIÆA;KOMUŠINA;KOMUŠINA 22;71;41;41;41;0;0;0;1;0;0;0;0;14;0;0;0;1;0;0;0;0;0;0;23;2;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;29;PRIVATNA KUÆA JOZE BLAŽEVIÆA;ŠKRABUTNIK;ŠKRABUTNIK 14;23;13;13;13;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;30;DRUŠTVENI DOM;DRŠKOVCI;BRAÆE RADIÆA BB;346;250;250;246;4;0;0;1;1;42;2;1;59;2;2;2;6;4;33;9;2;1;0;78;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;31;MJESNI DOM;NOVO SELO;HRV. DRAGOVOLJACA BB;352;250;250;250;0;0;0;1;0;9;3;3;84;1;3;1;0;1;42;2;0;1;0;96;1;1;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;32;"NK ""LIPA""";STARA LIPA;STARA LIPA BB;183;104;104;104;0;1;1;1;0;1;2;0;19;0;7;4;2;1;14;0;0;1;0;49;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;33;ZGRADA ŠKOLE;NOVA LIPA;NOVA LIPA BB;86;56;56;55;1;1;0;0;0;2;0;0;24;0;7;0;0;1;6;0;0;0;0;14;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;34;PRIVATNA KUÆA DAMIRA PANDŽIÆA;DONJI EMOVCI;DONJI EMOVCI 3B;178;123;122;120;2;1;0;0;0;0;5;1;33;0;4;1;8;5;17;1;0;0;1;41;0;0;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;35;MJESNI DOM;GORNJI EMOVCI;GORNJI EMOVCI BB;130;99;99;97;2;3;0;1;0;4;2;1;12;0;11;3;0;0;25;2;0;0;0;33;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;36;MJESNI DOM;UGARCI;UGARCI BB;51;37;37;36;1;0;0;0;0;0;0;0;12;1;0;0;0;0;14;0;0;0;0;9;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;37;PRIVATNA KUÆA IVICE MIHOLIÆA;KUNOVCI;KUNOVCI 16;91;55;55;54;1;1;0;0;0;1;0;0;17;0;4;0;0;1;6;3;0;0;0;20;0;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;38;OŠ VLADIMIRA NAZORA;MIHALJEVCI;KOLODVORSKA 1;684;465;465;458;7;1;1;1;1;13;1;0;116;2;9;5;6;23;55;7;4;5;5;199;0;3;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;39;MJESNI DOM;GOLOBRDCI;GOLOBRDCI BB;309;208;208;204;4;0;0;0;0;7;1;1;84;2;7;1;3;5;26;3;0;1;0;63;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;40;"ZGRADA ""KUTJEVO"" D.D. I MJESNOG DOMA";KRIVAJ;KRIVAJ BB;70;54;54;52;2;0;1;0;1;0;0;0;6;0;3;3;0;0;1;0;0;0;0;36;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;41;PRIVATNA KUÆA IVANA BANOVCA;MARINDVOR;MARINDVOR 15;111;81;81;80;1;0;1;1;0;1;0;0;38;0;1;0;0;0;11;2;0;0;2;23;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;42;MJESNI DOM;NOVI MIHALJEVCI;NOVI MIHALJEVCI BB;270;188;188;187;1;2;1;0;0;2;2;0;74;0;2;2;0;0;21;6;0;0;0;74;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;43;PRIVATNA KUÆA JOSIPA MIHIÆA;NOVI ŠTITNJAK;NOVI ŠTITNJAK 16B;110;67;67;66;1;0;0;0;0;2;0;0;30;0;0;0;0;5;10;4;0;0;1;14;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;44;PRIVATNA KUÆA LUKE PUJIÆA;ŠEOVCI;ŠEOVCI 3;90;55;55;53;2;0;0;1;0;0;3;2;21;0;2;1;0;1;14;0;1;0;1;6;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;45;PRIVATNA KUÆA ANTUNA ŠLJAKIÆA;ŠTITNJAK;ŠTITNJAK 11;49;35;35;34;1;0;0;0;0;1;0;0;10;0;1;1;0;3;4;0;1;0;0;12;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;46;PRIVATNA KUÆA VLADE VRANIÆA;TURNIÆ;TURNIÆ 28;81;53;53;53;0;0;0;0;0;2;0;0;15;0;1;1;0;0;11;0;0;0;0;22;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;47;PRIVATNA KUÆA ŠEFKA MAHMUTOVIÆA;ALAGINCI;ALAGINCI 26;190;125;125;123;2;0;0;0;0;5;2;0;52;0;7;0;7;1;12;2;0;0;0;34;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;48;PRIVATNA KUÆA ZORANA TKALCA;BANKOVCI;BANKOVCI 22;96;76;76;74;2;0;2;0;0;2;0;0;28;0;1;1;1;6;10;1;1;1;0;20;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;1;MO LUTVINKA;RADNIÈKI DOM;RADNIÈKI TRG BB;593;398;382;378;4;0;0;2;0;11;2;1;104;1;2;5;31;21;27;15;1;1;0;148;0;1;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;2;MO LUTVINKA;OBRTNIÈKA ŠKOLA;VLADIMIRA NAZORA 9;759;478;478;470;8;0;4;0;0;12;0;4;85;1;4;12;30;24;50;12;2;5;0;224;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;3;MO LUTVINKA;O.Š. MILAN AMRUŠ;NIKOLE ZRINSKOG 100;656;444;444;441;3;0;1;5;0;12;1;3;79;2;7;8;50;20;34;21;2;3;0;191;1;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;4;MO LUTVINKA;PROSTORIJA MO LUTVINKA;NIKOLE ZRINSKOG 86;683;420;420;416;4;0;0;3;0;13;0;2;85;0;5;19;60;11;22;15;1;0;3;174;0;0;2;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;5;MO LUTVINKA;PROSTORIJE HRVATSKIH CESTA;I.G. KOVAÈIÆA 58;395;238;238;235;3;0;0;1;1;3;0;0;48;0;0;8;36;21;12;15;1;2;0;87;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;6;MO ANDRIJA HEBRANG;ANDRIJA HEBRANG BLOK 6 BR.1;NASELJE ANDRIJE HEBRANG BLOK 6/1;1.005;656;656;645;11;3;3;1;1;21;1;1;205;0;3;12;40;34;51;29;4;1;0;231;1;0;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;7;"OŠ ""DRAGUTIN TADIJANOVIÆ""";"OŠ ""DRAGUTIN TADIJANOVIÆ""";NASELJE ANDRIJE HEBRANG;794;509;509;501;8;0;0;2;0;12;1;1;127;2;5;13;56;18;41;15;7;0;3;189;3;1;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;8;"OŠ ""DRAGUTIN TADIJANOVIÆ""";"OŠ ""DRAGUTIN TADIJANOVIÆ""";NASELJE ANDRIJE HEBRANG;1.300;821;821;808;13;1;5;2;0;21;2;2;200;6;9;23;59;31;72;32;7;1;3;322;2;2;4;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;9;ZGRADA ŠUMARIJE SL.BROD;ZGRADA ŠUMARIJE SL.BROD - PRIZEMLJE SOBA BR.11;PETRA KREŠIMIRA IV BB;822;501;501;495;6;2;2;2;0;16;0;2;100;6;7;10;45;14;45;14;3;4;3;212;2;1;2;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;10;ŽUPANIJSKI SUD;ŽUPANIJSKI SUD;TOME SKALICE 2;1.326;762;761;752;9;0;5;4;0;15;2;1;185;3;5;17;75;33;61;31;5;1;2;301;2;0;4;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;11;SUTEREN P.KREŠIMIRA IV BR.2;SUTEREN P.KREŠIMIRA IV BR.2;SUTEREN P.KREŠIMIRA IV BR.2;572;347;347;346;1;0;0;2;1;9;3;3;83;2;6;5;19;6;27;12;1;2;1;160;2;0;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;12;"OŠ ""HUGO BADALIÆ""";"OŠ ""HUGO BADALIÆ""";BOROVSKA 1;1.109;685;665;648;17;0;2;0;0;30;1;1;115;4;7;7;97;33;34;28;1;4;3;277;1;2;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;13;GIMNAZIJA MATIJA MESIÆ;ZGRADA GIMNAZIJE MATIJE MESIÆ;PILAREVA BB;1.138;727;727;719;8;0;4;1;0;24;1;6;121;2;9;21;53;30;59;38;5;0;2;337;0;1;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;14;OPÆINSKI SUD;ZGRADA OPÆINSKOG SUDA;TRG POBJEDE;966;555;555;548;7;1;2;0;1;16;0;3;94;2;6;13;56;15;32;20;5;5;1;273;1;0;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;15;SEKCIJA ZA ODRŽAVANJE PRUGA;SEKCIJA ZA ODRŽAVANJE PRUGA;TOMISLAVOV TRG 1;410;235;235;234;1;0;1;1;0;7;0;0;43;2;7;9;17;13;27;8;3;1;0;94;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;16;MO ANTUN MIHANOVIÆ;"DOM MO ""ANTUN MIHANOVIÆ""";PAVLEKA MIŠKINA 6;866;564;564;557;7;1;1;2;3;11;2;3;157;2;4;8;63;15;47;27;6;2;1;196;0;0;4;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;17;VODOVOD;PROSTORIJE VODOVODA;NIKOLE ZRINSKOG 25;421;245;245;240;5;0;0;0;0;3;0;1;46;4;1;5;27;4;16;7;1;2;2;115;2;0;1;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;18;OSNOVNA ŠKOLA;"OSNOVNA ŠKOLA ""IVAN GORAN KOVAÈIÆ""";HUGE BADALIÆA 8;588;388;388;384;4;0;0;1;2;11;0;1;92;2;7;8;27;18;19;12;7;1;0;174;0;0;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;19;DOM ZA STARIJE I NEMOÆNE OSOBE;DOM ZA STARIJE I NEMOÆNE OSOBE;KRALJICE JELENE BB;794;507;507;501;6;1;2;3;0;23;1;0;119;2;14;16;36;26;21;13;7;3;1;212;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;20;"OŠ ""ANTUN MIHANOVIÆ""";"OŠ ""ANTUN MIHANOVIÆ""";MIHANOVIÆEVA 35;810;562;538;534;4;0;1;1;3;25;0;1;104;3;1;14;36;21;33;23;16;1;0;248;0;0;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;21;MO KOLONIJA;MO KOLONIJA;VINOGRADSKA CESTA;1.364;746;746;740;6;1;4;1;1;13;1;2;200;0;3;11;121;38;62;22;11;5;1;239;1;1;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;22;MO KOLONIJA;"PODRUÈNA ŠKOLA ""ÐURO PILAR""";VINOGRADSKA CESTA BB;644;335;323;318;5;0;2;0;1;4;0;0;87;0;2;9;63;25;14;7;1;4;1;93;0;5;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;23;MO KOLONIJA;"PODRUÈNA ŠKOLA ""ÐURO PILAR""";VINOGRADSKA CESTA BB;1.105;573;573;568;5;2;1;1;0;9;1;1;149;1;2;10;72;69;43;14;1;3;2;181;1;1;4;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;24;MO KOLONIJA;"OŠ ""ÐURO PILAR""";VINOGRADSKA CESTA BB;1.096;603;603;597;6;0;0;2;2;12;0;4;131;2;2;10;96;49;63;13;2;3;0;197;1;5;2;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;25;"OŠ ""ÐURO PILAR""";"OŠ ""ÐURO PILAR""";VINOGORSKA BB;1.253;696;696;688;8;0;0;5;4;17;0;1;150;5;9;15;112;37;63;18;2;6;1;239;0;1;2;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;26;"OŠ ""ÐURO PILAR""";"OŠ ""ÐURO PILAR""";VINOGORSKA BB;1.501;810;810;798;12;2;4;2;0;13;1;4;207;4;6;8;144;39;59;23;10;7;0;255;1;3;4;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;27;"OŠ ""ÐURO PILAR""";"OŠ ""ÐURO PILAR""";VINOGORSKA BB;351;202;197;192;5;0;0;2;0;5;0;1;43;1;2;5;23;9;14;10;1;1;0;74;0;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;28;MO PODVINJE;MO PODVINJE;TRG SV. ANTUNA;1.251;680;680;671;9;0;4;2;3;11;8;1;190;4;9;15;96;17;71;14;5;3;1;213;0;1;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;29;MO PODVINJE;MO PODVINJE;TRG SV. ANTUNA;537;283;283;280;3;0;1;0;1;8;0;0;75;1;4;2;42;13;16;7;1;0;2;104;0;3;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;30;"OŠ ""BLAŽ TADIJANOVIÆ""";"OŠ ""BLAŽ TADIJANOVIÆ""";SLAVONSKI BROD;756;395;395;389;6;1;1;0;1;22;1;4;86;3;4;3;92;11;30;6;3;2;5;114;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;31;"OŠ ""BLAŽ TADIJANOVIÆ""";"OŠ ""BLAŽ TADIJANOVIÆ""";SLAVONSKI BROD;1.035;552;552;543;9;2;1;0;1;11;0;3;124;4;4;10;96;21;62;10;5;1;0;184;1;0;2;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;32;"MO ""JOSIP RIMAC""";"MO ""JOSIP RIMAC""";A. JARIÆA 6-PRIZEMLJE;1.148;612;612;602;10;0;0;3;1;15;1;1;247;1;6;16;94;24;36;7;2;0;1;136;1;6;3;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;33;"MO ""JOSIP RIMAC""";"MO ""JOSIP RIMAC""";A. JARIÆA 6-KAT;708;362;362;358;4;0;3;1;0;3;1;1;114;0;1;5;59;18;25;10;0;0;0;112;3;1;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;34;"PŠ ""HUGO BADALIÆ""";"PODRUÈNA ŠKOLA ""HUGO BADALIÆ""";F. KUHAÈA BB;953;468;468;464;4;2;2;4;1;11;0;3;143;1;5;13;70;7;53;6;3;3;0;134;2;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;35;"PŠ ""HUGO BADALIÆ""";"PODRUÈNA ŠKOLA ""HUGO BADALIÆ""";F. KUHAÈA BB;724;406;406;406;0;0;2;1;2;2;1;2;124;3;11;9;86;13;25;8;1;1;2;113;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;36;"PŠ ""HUGO BADALIÆ""";"PODRUÈNA ŠKOLA ""HUGO BADALIÆ""";F. KUHAÈA BB;890;471;471;467;4;0;1;0;1;10;0;1;111;2;2;6;90;18;42;14;1;1;0;163;0;2;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;37;"PŠ ""HUGO BADALIÆ""";"PODRUÈNA ŠKOLA ""HUGO BADALIÆ""";F. KUHAÈA BB;741;401;401;399;2;0;0;0;3;6;1;0;97;2;0;6;105;7;40;8;4;4;1;111;2;0;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;38;MO BUDAINKA;MJESNI DOM BUDAINKA;ZAGREBAÈKA 51;1.356;751;750;744;6;0;3;4;1;9;2;5;187;6;6;16;106;39;63;18;4;1;2;263;2;2;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;39;MO BUDAINKA;"OŠ ""IVANA BRLIÆ MAŽURANIÆ""";ZAGREBAÈKA 78;1.352;721;721;708;13;0;1;2;1;18;1;1;188;7;6;6;104;31;53;20;4;1;1;256;0;1;4;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;40;MO BUDAINKA;"OŠ ""IVANA BRLIÆ MAŽURANIÆ""";ZAGREBAÈKA 78;675;353;353;348;5;0;2;0;0;7;1;1;89;2;3;6;54;19;31;9;0;2;0;120;0;0;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;41;MO BUDAINKA;"OŠ ""IVANA BRLIÆ MAŽURANIÆ""";ZAGREBAÈKA 78;219;124;124;122;2;0;0;0;0;1;0;0;39;0;1;2;28;5;9;5;0;0;1;30;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;42;BRODSKI VAROŠ;MJESNI DOM BRODSKI VAROŠ;ZAGREBAÈKA 338;1.406;780;780;763;17;1;1;2;1;10;2;1;265;0;8;8;109;20;82;19;8;5;0;214;1;1;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;43;"PŠ ""IVANA BRLIÆ MAŽURANIÆ""";"PŠ ""IVANA BRLIÆ MAŽURANIÆ""";ZAGREBAÈKA;377;212;212;208;4;1;0;0;0;6;0;0;61;0;4;5;45;7;12;1;1;1;0;64;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;44;MJESNI DOM;MJESNI DOM ZRINSKI FRANKOPAN;A. POPOVIÆA 37;1.062;583;583;571;12;0;1;1;0;10;3;3;135;1;2;13;71;27;67;19;6;3;1;202;2;0;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;45;MJESNI DOM;MJESNI DOM ZRINSKI FRANKOPAN;A. POPOVIÆA 37;1.335;684;684;680;4;2;2;1;0;17;2;7;138;4;12;18;87;24;84;20;10;3;3;239;2;2;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;46;MJESNI DOM;MJESNI DOM MALI PARIZ;KVATERNIKOVA 7;1.437;856;856;834;22;1;2;2;2;27;2;2;231;8;5;18;76;26;94;30;6;7;0;288;0;2;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;47;SREDNJA ŠKOLA;SŠ INDUSTRIJSKO-OBRTNIÈKA ŠKOLA;KUMIÈIÆEVA 55;1.385;812;812;798;14;0;4;1;0;10;1;8;183;2;5;16;125;26;74;25;4;2;0;308;0;0;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;48;MJESNI DOM;MJESNI DOM DR. ANTUN STARÈEVIÆ - VELIKA SALA;OSJEÈKA 24;1.250;722;722;707;15;1;2;0;1;11;0;0;167;4;7;11;106;76;56;13;9;1;1;237;1;1;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;49;OSNOVNA ŠKOLA;"OŠ ""BOGOSLAV ŠULEK""";A.M. KRLEŽE BB;1.391;771;771;756;15;1;3;3;0;15;0;0;172;1;5;15;149;40;41;27;7;2;1;269;2;1;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;50;OSNOVNA ŠKOLA;"OŠ ""BOGOSLAV ŠULEK""";A.M. KRLEŽE BB;599;334;329;326;3;0;0;2;0;1;0;0;91;1;6;2;108;10;14;11;2;0;0;78;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;51;DJEÈIJI VRTIÆ;"DJEÈIJI VRTIÆ ""KOSJENKA""";A.M. KRLEŽE BB;1.614;806;806;801;5;2;4;0;2;15;1;7;204;6;4;15;118;54;60;32;2;0;2;265;2;1;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;52;HRVATSKE ŠUME;PROSTORIJE HRVATSKE ŠUME;OSJEÈKA 282;1.660;824;824;807;17;0;3;1;3;10;0;0;209;6;5;15;244;16;55;18;1;1;4;211;1;4;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;53;MJESNI DOM;MJESNI DOM DR. ANTE STARÈEVIÆ - MALA SALA;OSJEÈKA 24;1.106;551;551;544;7;0;2;2;0;16;0;2;131;2;3;18;79;28;46;18;6;3;3;181;1;1;0;2;;;;;;;;;;;;;;;;;
