Izborna jedinica;Grad / opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN VUJANIÆ ;AGENDA MLADIH DEMOKRATA - AMD, HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IGOR KINDIJ;AKCIJA MLADIH - AM, Nositelj liste: ALAN SANKOVIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH, SPLITSKA STRANKA UMIROVLJENIKA - SSU, Nositelj liste: ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILOVAN ŠIBL ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP, Nositelj liste: MARKO FRANCIŠKOVIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ ;GLAS RAZUMA, Nositelj liste: STJEPAN RADILOVIÆ, dipl.organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: JADRANKA KOSOR  ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21., Nositelj liste: VEDRANA MILAS  ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS, ZELENA STRANKA - ZS, STRANKA PENZIONERA - SP, Nositelj liste: DARKO VULETIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS, Nositelj liste: prof.dr.sc. VELIMIR SRIÆA  ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTE PRKAÈIN  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ, HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: RUŽA TOMAŠIÆ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN, dipl.inž.;HRVATSKI LABURISTI-STRANKA RADA, Nositelj liste: DRAGUTIN LESAR  ;HRVATSKI RAST - HRAST, Nositelj liste: KREŠIMIR MILETIÆ ;NACIONALNI DEMOKRATI - ND, DEAN GOLUBIÆ, dipl.krim.  ;NEOVISNA LISTA, Nositelj liste: MILAN BANDIÆ;NEOVISNA LISTA, Nositelj liste: DAMIR GAŠPAROVIÆ  ;NEOVISNA LISTA, Nositelj liste: dr.sc. IVAN GRUBIŠIÆ  ;NEOVISNA LISTA, Nositelj liste: HRVOJE MIRKOVIÆ;NEOVISNA LISTA, Nositelj liste: VEDRAN SENJANOVIÆ  ;NEOVISNA LISTA, Nositelj liste: SINIŠA VUCO ;NOVA HRVATSKA - NH, Nositelj liste: BORKO ŠAMIJA ;OBITELJSKA STRANKA - OS, Nositelj liste: MATE KNEZOVIÆ;SAVEZ ZA PROMJENE - SP, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: IVAN PERNAR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, Nositelj liste: mr.sc. BOŽIDAR DUGONJIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ, Nositelj liste: ŽELJKO VINSKI, ing.grad.  ;VOLIM HRVATSKU - VH, Nositelj liste: ROKO ŠIKIÆ  ;ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: LJUBOMIR PULJIÆ  ;ZAGORSKA STRANKA - ZS, Nositelj liste: BOŽIDAR PTIÈAR;ZAGREBAÈKA NEZAVISNA LISTA - ZNL, Nositelj liste: mr.sc. TATJANA HOLJEVAC, dipl.ing.;ZELENA LISTA, Nositelj liste: NEVA TOLLE ;ZELENI ZAJEDNO, Nositelj liste: VERA PETRINJAK-ŠIMEK ;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;89;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;VLADIMIRA RUŽDJAKA 2A;1.136;818;817;812;5;0;1;2;10;1;0;28;1;3;0;120;3;0;4;22;25;22;9;75;20;1;18;0;21;0;0;3;0;1;6;402;3;0;1;3;1;1;1;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;90;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;VLADIMIRA RUŽDJAKA 2A;831;590;590;582;8;0;0;1;1;1;0;24;1;0;0;93;0;0;9;26;10;7;1;38;8;5;7;0;14;0;0;2;0;1;2;323;0;0;2;1;0;2;3;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;91;TRNJANSKA SAVICA;PROSTORIJE MJESNOG ODBORA;VLADIMIRA RUŽDJAKA 21;745;474;474;470;4;0;1;0;2;0;0;17;0;0;0;73;0;0;3;12;6;10;3;35;4;0;17;0;5;0;0;2;0;0;4;267;1;0;1;1;0;1;4;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;92;TRNJANSKA SAVICA;PROSTORIJE MJESNOG ODBORA;VLADIMIRA RUŽDJAKA 21;839;618;618;604;14;0;0;0;3;1;1;25;0;3;1;105;1;0;4;23;7;16;1;50;11;0;8;2;12;0;1;3;0;1;0;319;0;0;1;0;0;3;2;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;93;TRNJANSKA SAVICA;ZAJEDNIÈKE PROSTORIJE STANARA;LASTOVSKA 26;1.320;933;933;925;8;0;0;2;0;3;2;26;0;3;1;149;2;0;5;44;25;33;5;60;16;0;17;0;39;0;1;2;1;2;0;471;7;0;2;1;1;2;3;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;94;TRNJE;UÈENIÈKI DOM FRANJE BUÈARA;TRNJANSKA CESTA 33;1.155;728;728;721;7;1;1;1;2;2;1;26;0;2;1;138;1;1;7;34;27;15;8;58;29;0;34;0;29;0;0;1;1;2;0;286;2;0;3;1;0;2;4;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;95;TRNJE;OŠ GRIGORA VITEZA;KRUGE 46;827;549;549;539;10;0;2;1;3;0;1;28;0;0;1;149;2;1;4;10;13;13;2;43;20;0;15;0;5;0;1;4;0;0;4;201;0;5;1;1;0;6;1;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;96;VESLAÈKO NASELJE;PROSTORIJE MJESNOG ODBORA;VESLAÈKA 17;915;660;660;647;13;2;1;3;4;1;0;35;0;4;0;116;0;1;5;31;13;12;2;50;7;0;20;1;23;1;0;3;0;0;0;304;1;0;1;1;0;4;1;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;97;VRBIK;DRUŠTVENI DOM VRBIK;KNINSKI TRG 1;987;680;670;656;14;2;1;1;9;1;1;32;0;1;0;84;1;0;2;28;13;9;2;26;14;1;10;0;16;0;0;3;0;1;2;378;0;0;1;1;2;5;5;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;98;VRBIK;DRUŠTVENI DOM VRBIK;KNINSKI TRG 1;881;608;604;602;2;0;0;1;7;2;0;19;1;0;0;86;2;0;2;30;11;9;1;37;15;3;8;0;14;0;0;3;0;0;3;338;1;0;0;1;0;3;3;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;99;VRBIK;DRUŠTVENI DOM VRBIK;KNINSKI TRG 1;1.201;818;817;805;12;0;2;2;11;1;0;20;0;1;0;139;2;0;1;57;37;15;4;43;18;0;25;0;28;0;0;4;0;1;3;375;0;1;0;1;0;5;5;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;100;BUKOVAC;OŠ BUKOVAC;TRNAC 42;1.236;822;821;804;17;0;2;1;7;2;1;44;0;4;2;171;0;0;7;46;31;34;4;93;31;0;22;0;20;0;2;5;0;0;3;258;1;0;0;1;1;7;0;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;101;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA 50;1.721;1.142;1.142;1.127;15;1;2;3;8;4;3;47;1;4;1;249;4;0;10;61;35;61;1;80;40;4;31;0;22;0;2;2;0;1;9;416;3;3;0;3;3;8;2;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;102;BUKOVAC;PROSTORIJE MJESNOG ODBORA;MOGILSKA 50;1.351;884;884;866;18;1;0;4;4;1;2;45;3;3;0;184;0;0;14;48;21;35;4;53;29;0;22;0;31;0;1;1;0;2;1;349;2;0;0;1;0;3;2;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;103;BUKOVAC;VATROGASNI DOM;IX. BUKOVAÈKI OGRANAK 2;1.575;1.051;1.049;1.031;18;1;1;0;0;4;0;51;2;3;1;263;0;0;18;50;22;57;7;65;48;0;30;0;24;1;0;7;0;0;4;356;1;0;3;0;1;2;6;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;104;DINKO ŠIMUNOVIÆ;PROSTORIJE MJESNOG ODBORA;ŠRAPÈEVA 12;1.404;857;857;844;13;0;2;2;3;4;2;32;0;3;1;151;1;0;3;52;21;15;5;52;7;0;18;1;25;0;0;4;0;0;4;417;3;0;5;0;1;5;1;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;105;DINKO ŠIMUNOVIÆ;PROSTORIJE MJESNOG ODBORA;ŠRAPÈEVA 12;852;582;581;570;11;0;0;2;4;1;0;20;0;2;0;115;1;0;9;33;16;3;2;50;5;0;10;0;13;0;0;3;0;0;2;271;1;0;3;0;0;2;1;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;106;DINKO ŠIMUNOVIÆ;OŠ IVANA FILIPOVIÆA;IVANA FILIPOVIÆA 1;1.404;955;955;941;14;0;4;0;5;6;0;40;0;3;0;221;3;0;7;29;20;18;3;62;22;0;15;0;29;0;0;3;0;0;1;436;2;0;2;0;2;2;4;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;107;DOBRI DOL;PROSTORIJE MJESNOG ODBORA;DOBRI DOL 49;925;666;665;659;6;0;1;1;1;1;0;18;0;0;0;146;1;0;4;43;14;11;3;47;13;1;1;1;30;0;0;2;0;0;1;306;2;0;0;1;0;7;3;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;108;DOBRI DOL;PODRUÈNI URED MAKSIMIR;PETROVA 116;1.573;1.086;1.065;1.046;19;0;1;0;4;8;0;39;1;7;2;186;1;0;7;52;35;53;6;83;26;0;18;0;32;0;1;4;0;1;7;456;2;1;0;0;0;6;2;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;109;DOBRI DOL;OŠ JORDANOVAC;JORDANOVAC 106;1.547;1.093;1.093;1.074;19;0;2;0;4;4;1;40;0;2;0;248;2;0;17;50;35;42;6;67;38;2;16;0;26;1;1;0;0;1;2;455;2;0;0;1;0;7;0;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;110;DOTRŠÈINA;PROSTORIJE MJESNOG ODBORA;JAZBINSKI ODVOJAK II. 6;1.626;1.091;1.090;1.078;12;0;1;4;6;7;4;41;1;0;2;255;2;2;12;49;29;27;6;66;26;1;35;1;22;0;0;5;1;2;5;440;0;0;0;2;1;11;6;6;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;111;EUGEN KVATRENIK;PROSTORIJE MJESNOG ODBORA;KRALJA ZVONIMIRA 68;947;642;642;632;10;0;1;2;2;2;0;27;0;1;0;108;1;0;7;33;12;28;3;42;12;0;12;0;14;1;0;3;1;0;1;305;0;0;0;2;0;5;6;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;112;EUGEN KVATERNIK;DOM ZDRAVLJA ZAGREB-ISTOK AMBULANTA;OŽEGOVIÆEVA 7;1.274;877;877;866;11;0;0;6;2;3;1;27;0;3;0;141;2;0;1;56;26;19;4;69;18;0;13;1;30;0;2;3;0;0;4;415;2;0;5;0;2;6;2;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;113;KOZJAK;PROSTORIJE MJESNOG ODBORA;BIJENIÈKA CESTA 97;1.745;1.219;1.219;1.206;13;1;3;2;13;2;6;44;1;3;0;237;1;2;16;70;29;37;6;110;26;0;29;0;41;0;0;5;0;2;17;485;2;0;4;1;2;5;2;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;114;KOZJAK;PROSTORIJE MJESNOG ODBORA;BIJENIÈKA CESTA 97;1.687;1.116;1.116;1.093;23;0;3;1;5;3;4;38;0;3;0;225;1;0;16;62;24;35;14;76;35;0;36;4;23;0;1;3;0;0;8;451;1;0;2;1;0;10;3;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;115;MAKSIMIR;PROSTORIJE MJESNOG ODBORA;BARUTANSKI BREG 5;1.718;1.217;1.217;1.201;16;0;1;3;4;2;2;55;2;5;0;238;1;4;5;51;29;31;8;87;33;0;30;1;35;35;0;11;0;1;6;500;5;0;1;0;0;5;5;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;116;MAKSIMIR;PROSTORIJE MJESNOG ODBORA;BARUTANSKI BREG 5;1.809;1.235;1.234;1.210;24;0;2;4;4;5;3;47;0;2;1;229;4;0;7;60;33;51;7;71;43;2;39;1;26;0;0;1;0;3;4;535;2;0;3;1;2;7;9;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;117;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1.546;1.136;1.134;1.118;16;0;0;0;1;2;0;42;1;2;0;193;0;0;6;62;17;26;7;91;16;0;14;1;26;0;5;7;0;1;3;581;1;0;1;0;1;5;2;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;118;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1.367;980;979;960;19;1;0;0;7;2;2;25;0;2;0;181;3;2;8;43;15;32;6;81;15;0;15;0;20;0;2;2;1;1;5;477;3;1;1;0;1;3;1;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;119;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1.568;1.095;1.095;1.089;6;0;1;3;5;3;3;38;2;3;2;200;4;0;16;57;25;40;9;75;17;0;22;4;21;6;1;7;0;0;2;506;1;0;2;1;1;4;3;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;120;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1.465;975;975;938;37;0;2;0;4;3;7;36;2;4;1;174;0;0;12;47;39;28;4;67;27;0;29;0;22;0;1;3;0;0;3;414;3;0;0;0;0;3;3;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;121;MAKSIMIRSKA NASELJA;OŠ ANTUNA GUSTAVA MATOŠA;ALEJA ANTUNA AUGUSTINÈIÆA 12;1.644;1.093;1.093;1.084;9;0;2;1;3;2;1;47;1;2;2;180;1;0;10;67;32;26;16;85;20;0;27;0;27;0;1;3;0;1;5;514;0;0;0;0;0;1;2;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;122;MAŠIÆEVA;OŠ VLADIMIRA NAZORA;JORDANOVAC 23;984;668;668;659;9;0;0;1;1;3;1;24;0;2;1;112;1;0;1;34;21;27;5;47;7;1;10;0;26;0;0;3;0;0;1;326;0;0;0;0;1;0;2;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;123;MAŠIÆEVA;OŠ VLADIMIRA NAZORA;JORDANOVAC 23;1.241;838;828;813;15;0;1;1;3;5;0;26;1;1;2;148;0;0;4;33;13;21;3;59;16;1;12;2;33;0;0;1;0;0;3;411;1;0;1;0;1;5;2;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;124;MAŠIÆEVA;XV.GIMNAZIJA MIOC;JORDANOVAC 8;1.795;1.260;1.260;1.248;12;0;0;2;5;2;1;40;0;2;1;250;1;0;6;59;37;24;6;83;34;0;20;2;30;0;1;1;0;1;4;615;3;0;2;0;0;6;3;7;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;125;REMETE;PROSTORIJE MJESNOG ODBORA;VINEC 1;1.449;947;943;932;11;0;2;2;7;3;6;36;0;3;0;234;2;0;7;37;31;54;6;76;32;3;21;0;17;1;0;4;0;3;5;329;0;0;1;3;0;3;4;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;126;REMETE;PROSTORIJE MJESNOG ODBORA;VINEC 1;1.230;804;804;795;9;1;3;3;6;5;1;28;1;1;2;158;2;0;8;41;19;40;4;62;29;1;19;0;10;0;0;3;0;2;4;323;1;0;5;2;2;4;4;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;127;REMETE;OŠ REMETE;REMETE 99A;1.996;1.391;1.390;1.373;17;1;3;3;4;8;2;57;3;2;1;338;0;1;16;68;32;81;6;101;65;3;38;3;23;1;0;4;0;2;6;479;1;0;2;3;4;7;2;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;128;RUŽMARINKA;OŠ A.HARAMBAŠIÆA;HARAMBAŠIÆEVA 18;1.306;935;885;870;15;1;0;3;15;1;2;21;0;3;1;142;2;1;3;45;24;20;4;80;10;0;19;2;36;0;0;1;0;1;0;422;1;0;1;0;0;5;1;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;129;RUŽMARINKA;OŠ A.HARAMBAŠIÆA;HARAMBAŠIÆEVA 18;1.544;1.034;987;974;13;0;0;1;5;3;0;0;0;2;0;201;0;0;0;52;12;17;6;70;17;1;19;0;27;0;1;0;1;0;2;526;5;0;1;0;0;3;1;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;130;OTON ŽUPANÈIÆ;PROSTORIJE MJESNOG ODBORA;HORVAT - KIŠ FRANJE 12;1.396;885;885;873;12;0;2;4;10;4;4;32;3;4;1;143;3;0;8;31;25;30;7;81;13;0;25;0;20;0;1;5;0;2;3;394;2;0;3;0;0;4;4;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;131;PEŠÈENICA;PROSTORIJE MJESNOG ODBORA-DVORANA A;NJEGOŠEVA 10;1.066;713;707;692;15;0;1;2;6;1;0;30;1;4;0;95;2;0;6;45;4;17;12;52;15;1;13;0;23;0;0;2;0;2;3;347;0;0;2;0;0;3;3;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;132;PEŠÈENICA;PROSTORIJE MJESNOG ODBORA-DVORANA B;NJEGOŠEVA 10;1.429;990;990;975;15;0;1;0;5;2;1;35;0;0;1;173;0;0;6;62;21;30;4;58;12;3;45;0;22;0;0;2;0;4;6;465;3;0;1;1;0;4;6;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;133;PEŠÈENICA;DOM ZDRAVLJA ZAGREB-ISTOK AMBULANTA 1;NJEGOŠEVA 10;1.365;892;892;881;11;0;2;4;7;4;0;26;0;2;1;139;0;4;6;34;28;34;4;68;4;2;10;0;29;0;1;2;0;0;4;450;2;0;0;3;0;6;1;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;134;PEŠÈENICA;DOM ZDRAVLJA ZAGREB-ISTOK AMBULANTA 2;NJEGOŠEVA 10;1.239;801;799;792;7;1;2;2;6;3;1;25;0;3;0;119;0;0;6;49;15;15;3;68;17;1;17;0;26;0;1;4;0;0;6;390;3;0;1;1;1;5;1;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;135;ANTUN MIHANOVIÆ;PROSTORIJE MJESNOG ODBORA;DRENOVAÈKA 4;768;487;486;481;5;0;2;0;3;2;0;23;0;2;0;57;0;0;3;16;13;12;1;27;14;2;4;0;7;0;0;2;0;0;4;277;2;0;3;0;0;3;1;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;136;ANTUN MIHANOVIÆ;PROSTORIJE MJESNOG ODBORA;DRENOVAÈKA 4;991;621;621;612;9;0;4;0;3;3;0;19;1;0;0;121;0;0;1;36;15;21;4;36;12;2;19;0;17;0;0;1;1;1;0;291;0;0;1;0;0;1;2;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;137;ANTUN MIHANOVIÆ;DOM ZA STARIJE I NEMOÆNE OSOBE TREŠNJEVKA-PODRUŽNICA-DRENOVAÈKA ULICA 30;DRENOVAÈKA 30;914;606;606;602;4;0;0;1;4;0;0;23;0;2;0;106;0;0;3;38;12;20;4;42;7;3;15;0;17;0;0;2;0;0;0;291;1;0;0;0;1;6;1;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;138;CIGLENICA;CENTAR ZA ODGOJ I OBRAZOVANJE;ZAGORSKA 14;1.022;586;586;577;9;0;2;0;2;1;4;28;0;2;0;110;3;0;7;19;20;10;5;49;15;2;20;0;13;2;0;3;0;0;3;241;2;0;1;2;2;4;3;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;139;CIGLENICA;CENTAR ZA ODGOJ I OBRAZOVANJE;ZAGORSKA 14;1.617;1.018;979;959;20;0;1;3;4;4;4;31;0;1;0;155;0;0;14;46;35;32;0;88;26;1;17;6;26;0;2;8;1;6;2;430;1;0;1;1;1;5;6;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;140;CIGLENICA;CENTAR ZA ODGOJ I OBRAZOVANJE;ZAGORSKA 14;1.534;971;970;959;11;1;1;1;6;1;6;51;1;5;0;146;0;0;4;40;23;32;5;67;24;0;33;0;27;0;2;4;0;2;6;452;3;1;1;3;1;4;3;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;141;DR ANTE STARÈEVIÆ;OŠ VOLTINO;VINKOVAÈKA 1;1.502;934;934;922;12;1;1;3;4;2;1;45;1;4;1;135;0;2;10;30;38;35;6;82;29;1;32;0;17;0;0;7;0;0;1;417;1;2;0;0;0;8;4;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;142;DR ANTE STARÈEVIÆ;OŠ VOLTINO;VINKOVAÈKA 1;845;566;561;552;9;1;3;2;7;2;0;18;0;0;0;97;0;0;3;10;17;17;8;45;5;1;14;0;14;0;0;0;0;0;3;271;3;0;2;1;1;4;1;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;143;DR ANTE STARÈEVIÆ;OŠ VOLTINO;VINKOVAÈKA 1;1.002;651;651;643;8;2;0;1;6;1;1;12;2;1;1;92;1;0;4;26;23;11;3;55;14;0;13;1;14;0;0;2;0;1;3;336;1;0;0;1;1;8;2;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;144;DR ANTE STARÈEVIÆ;OŠ VOLTINO;VINKOVAÈKA 1;952;667;667;653;14;2;1;1;4;3;2;20;2;1;2;101;1;0;5;23;21;16;5;60;18;0;18;0;11;0;0;4;0;0;1;322;1;0;1;1;0;5;0;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;145;DR ANTE STARÈEVIÆ;OŠ VOLTINO;VINKOVAÈKA 1;869;571;571;564;7;0;1;1;7;1;2;14;1;5;0;89;1;0;11;22;26;8;0;38;9;1;19;0;9;0;0;8;1;1;6;277;0;0;0;0;1;1;3;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;146;DR ANTE STARÈEVIÆ;OŠ VOLTINO;VINKOVAÈKA 1;1.015;690;690;677;13;0;2;1;3;1;0;29;1;1;1;106;0;0;9;33;12;21;4;63;13;1;15;1;25;0;0;1;0;3;3;317;0;0;0;0;0;5;4;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;147;LJUBLJANICA;OŠ LJUBLJANICA;SVETOIVANSKA 33;1.479;993;993;976;17;0;1;2;1;4;2;33;2;2;1;203;1;1;9;45;39;33;4;93;23;1;19;0;14;0;0;5;0;1;1;420;5;1;3;0;0;2;4;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;148;LJUBLJANICA;OŠ LJUBLJANICA;SVETOIVANSKA 33;1.311;869;869;858;11;1;1;2;6;0;1;24;1;9;1;134;0;0;6;43;18;28;7;84;25;1;28;1;19;1;0;2;0;1;5;396;0;1;1;0;0;6;2;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;149;NIKOLA TESLA;PROSTORIJE MJESNOG ODBORA;OZALJSKA 16;1.048;627;627;624;3;0;3;3;1;1;0;30;1;0;1;103;0;0;7;25;13;15;4;37;16;3;8;0;12;0;0;1;0;1;1;329;4;0;0;0;1;1;2;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;150;NIKOLA TESLA;ŠPORTSKA  GIMNAZIJA;SELSKA CESTA 119;1.088;653;653;641;12;0;0;2;5;2;1;17;0;3;0;91;0;0;8;40;22;20;4;77;14;1;16;0;15;0;0;2;0;1;3;288;1;0;1;0;0;3;2;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;151;NIKOLA TESLA;ŠPORTSKA GIMNAZIJA;SELSKA CESTA 119;1.050;682;682;677;5;0;1;3;3;2;1;22;1;1;1;110;2;0;6;39;13;15;4;44;6;1;8;1;17;0;2;1;0;1;6;361;0;1;1;0;0;1;2;0;;;;;;;;;
