Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN RUŠEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  DARKO KRNIÆ;AKCIJA MLADIH - AM  , Nositelj liste:  ANDREJ BRIŠÈIK ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  EMIL ÈIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  STEVO GRAHOVAC;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MATO BARUKÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;"HRVATSKA STRANKA PRAVA - HSP , ""HRVATSKA STRAŽA"" NACIONALNA STRANKA - HS NS  , Nositelj liste:  DANIEL SRB   ";HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  TOMISLAV ŠPERANDA ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  MARIJAN ŠKARIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  GORDAN MASNJAK;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  IVAN LONÈAR;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  DALI MOR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  NIKOLA OPAÈIÆ ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZELENA LISTA  , Nositelj liste:  DANICA JOVIÆ  ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ  ;ZELENI HRVATSKE - ZELENI HR  , Nositelj liste:  ZDRAVKO PEKO;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;1;OSIJEK;DVD RETFALA;ŠANDORA PETEFIJA 1;1.104;696;695;685;10;0;0;4;2;3;9;3;3;2;113;6;15;47;20;153;31;9;0;0;13;2;2;242;1;2;0;0;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;2;OSIJEK;DVD RETFALA;ŠANDORA PETEFIJA 1;790;495;495;488;7;0;1;1;1;0;17;5;2;1;81;2;5;36;5;123;21;6;0;0;4;4;2;163;1;0;1;1;5;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;3;OSIJEK;MAÐARSKO KULTURNO DRUŠTVO NEPKÖR;ŠANDORA PETEFIJA 76;724;473;473;468;5;0;0;1;0;1;14;2;4;1;65;0;8;34;10;90;22;11;0;0;9;0;1;193;2;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;4;OSIJEK;"DJEÈJI VRTIÆ ""SUNÈICA""";KOLODVORSKA 23;1.116;789;788;774;14;0;1;0;9;4;21;1;1;3;144;4;17;94;16;153;32;17;0;0;11;1;0;238;2;0;1;3;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;5;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA 51A;1.105;735;735;725;10;1;1;2;4;0;27;3;5;1;130;8;14;61;14;145;35;30;4;1;5;0;1;226;0;0;1;0;6;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;6;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA 51A;918;608;608;605;3;0;0;3;1;0;13;4;4;1;138;2;14;50;16;101;38;8;0;0;5;0;0;201;2;2;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;7;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIÆA;KALNIÈKA 48;1.106;676;675;664;11;0;1;3;5;2;23;4;3;1;81;1;12;61;6;128;46;13;2;0;11;2;0;250;2;4;0;2;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;8;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIÆA;KALNIÈKA 48;917;584;583;573;10;0;0;0;1;2;6;0;3;2;130;2;17;68;14;94;31;9;0;1;6;0;3;179;1;1;0;0;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;9;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIÆA;KALNIÈKA 48;869;607;582;573;9;1;0;1;3;0;11;2;3;0;104;4;15;35;10;128;42;2;0;0;14;2;1;190;2;1;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;10;OSIJEK;GRADSKA ÈETVRT RETFALA;LJUDEVITA POSAVSKOG 14A;813;528;528;521;7;0;0;1;6;0;22;0;1;2;103;6;4;43;10;110;23;8;1;0;9;3;2;165;1;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;11;OSIJEK;GRADSKA ÈETVRT RETFALA;ŠOKAÈKA 1;758;508;508;502;6;0;0;1;2;4;12;4;1;1;85;1;7;59;9;96;30;5;1;0;10;3;1;169;1;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;12;OSIJEK;GRADSKA ÈETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;754;497;495;488;7;0;2;0;1;0;9;4;0;0;59;1;5;37;14;112;33;7;1;0;4;2;1;196;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;13;OSIJEK;GRADSKA ÈETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;695;411;411;408;3;0;0;0;0;3;7;1;1;0;54;1;4;52;4;71;20;10;0;0;12;0;1;164;1;1;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;14;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIÆA;VIJENAC AUGUSTA CESARCA 36;1.047;696;695;684;11;0;2;4;4;0;13;3;2;0;92;2;13;53;14;111;43;8;1;0;15;1;2;295;1;1;1;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;15;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIÆA;VIJENAC AUGUSTA CESARCA 36;821;572;572;569;3;0;1;2;5;0;9;4;1;0;80;2;8;40;6;110;29;4;1;0;8;0;8;244;0;1;2;1;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;16;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;JOSIPA JURJA STROSSMAYERA 68;1.006;652;652;644;8;1;0;2;3;5;17;1;1;1;99;3;15;43;9;135;31;10;0;0;8;0;4;248;2;0;0;1;5;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;17;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ANDRIJE HEBRANGA 32;746;502;502;494;8;0;0;0;2;2;5;2;6;1;75;1;5;61;7;115;14;3;0;0;10;1;0;182;0;1;0;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;18;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ANDRIJE HEBRANGA 32;636;424;403;398;5;0;0;0;2;0;20;2;2;0;58;3;6;30;4;80;23;1;0;1;6;0;0;154;0;0;1;1;4;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;19;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ANDRIJE HEBRANGA 32;613;408;408;397;11;1;1;1;3;1;7;1;2;2;55;1;3;27;9;98;20;6;0;0;5;2;1;149;1;0;0;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;20;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ANDRIJE HEBRANGA 32;719;464;464;455;9;0;0;2;0;0;16;5;2;0;52;0;5;37;2;101;31;3;0;0;8;1;5;178;1;2;1;0;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;21;OSIJEK;ZDRAVSTVENA STANICA DRAVA;PROLAZ JOSIPA LEOVIÆA 4;1.012;635;633;622;11;0;0;0;2;4;11;1;3;0;88;0;8;49;5;135;43;10;0;0;8;1;3;249;1;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;22;OSIJEK;VATROGASNI DOM;PAVLA PEJAÈEVIÆA 44;715;444;444;441;3;0;0;1;2;2;13;1;1;1;61;0;22;30;9;81;29;7;0;0;9;1;0;167;3;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;23;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ADOLFA WALDINGERA 11;937;685;685;671;14;2;0;1;0;1;19;3;2;2;126;3;20;39;8;110;38;29;0;0;14;0;2;244;2;2;1;0;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;24;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ADOLFA WALDINGERA 11;993;675;630;623;7;0;0;0;6;3;9;1;0;1;110;4;25;35;12;107;38;2;0;0;5;3;0;258;1;0;1;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;25;OSIJEK;OSNOVNA ŠKOLA SVETE ANE;SVETE ANE 2;986;607;607;600;7;0;1;0;6;1;24;3;2;1;68;4;13;49;9;118;30;3;1;1;8;0;2;246;2;2;1;2;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;26;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;TRG LAVA MIRSKOG 1;622;399;399;396;3;0;0;1;2;0;11;1;0;0;60;0;6;23;7;77;22;2;0;0;4;2;1;171;0;0;0;0;6;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;27;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;TRG LAVA MIRSKOG 1;791;562;560;552;8;0;1;2;1;0;14;3;0;0;93;3;15;31;7;68;40;6;0;0;11;1;0;253;2;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;28;OSIJEK;OSNOVNA ŠKOLA FRANJE KREŽME;ŠKOLSKA 3;493;317;316;313;3;0;0;0;0;1;4;2;0;1;38;0;6;25;5;71;22;3;0;0;4;0;2;125;2;1;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;29;OSIJEK;OSNOVNA ŠKOLA ANTUNA MIHANOVIÆA;IVANA GUNDULIÆA 5;887;573;573;567;6;0;2;2;0;1;25;2;1;0;75;0;17;36;11;125;37;2;0;1;3;0;4;217;1;2;0;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;30;OSIJEK;SPORTSKA DVORANA ZRINJEVAC;SJEVERNA STRANA;991;629;629;612;17;1;1;1;2;1;18;2;6;1;110;2;8;40;14;128;35;5;1;0;13;0;1;215;2;2;1;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;31;OSIJEK;MATICA HRVATSKIH UMIROVLJENIKA;ADAMA REISNERA 48;489;270;270;262;8;0;1;1;0;0;5;0;2;0;34;1;3;21;1;58;11;3;0;0;6;2;2;110;0;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;32;OSIJEK;"OSNOVNA ŠKOLA ""DOBRIŠA CESARIÆ""";NERETVANSKA 10;684;433;433;426;7;0;0;0;5;3;11;2;2;0;55;0;5;34;12;90;26;2;0;0;3;1;0;169;1;0;1;3;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;33;OSIJEK;"OSNOVNA ŠKOLA ""DOBRIŠA CESARIÆ""";NERETVANSKA 10;595;379;379;367;12;0;0;0;5;1;11;3;1;0;44;0;7;24;4;83;31;2;0;0;5;0;0;142;2;0;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;34;OSIJEK;GRADSKA ÈETVRT INDUSTRIJSKA ÈETVRT;VIJENAC KRALJEVE SUTJESKE 2;752;528;528;515;13;1;4;0;1;0;10;3;2;0;70;3;9;40;13;95;35;1;0;0;3;3;2;214;1;1;1;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;35;OSIJEK;DOM UMIROVLJENIKA OSIJEK;DRINSKA 10;614;424;424;418;6;1;4;1;5;3;16;4;3;0;74;2;4;36;7;80;13;7;0;0;10;1;0;142;2;1;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;36;OSIJEK;KUGLANA MK SLAVONIJA;VINKOVAÈKA CESTA 68;688;420;420;418;2;0;4;2;4;2;8;5;1;0;72;1;6;39;7;91;24;4;0;0;6;0;4;134;1;0;2;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;37;OSIJEK;KUGLANA MK SLAVONIJA;VINKOVAÈKA CESTA 68;558;368;368;365;3;0;1;0;4;1;10;1;2;0;72;0;1;44;5;82;11;2;0;0;1;1;1;124;1;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;38;OSIJEK;"DJEÈJI VRTIÆ ""PÈELICA""";GACKA 1A;885;491;491;487;4;0;1;1;3;0;11;6;1;3;98;3;4;49;8;126;15;16;0;0;14;1;2;124;1;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;39;OSIJEK;"DJEÈJI VRTIÆ ""PÈELICA""";GACKA 1A;851;584;584;578;6;0;0;1;1;1;9;3;3;0;77;2;15;81;8;98;29;9;0;0;5;3;0;224;1;3;1;3;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;40;OSIJEK;"OSNOVNA ŠKOLA ""AUGUST ŠENOA""";DRINSKA 14;1.185;805;805;795;10;0;3;2;2;1;21;3;4;2;121;0;10;51;14;184;48;27;0;1;15;3;0;278;2;1;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;41;OSIJEK;GRADSKA ÈETVRT TVRÐA;TRG FRANJE BARUNA TRENKA 3;714;485;485;483;2;0;0;0;6;1;21;0;1;0;74;1;15;37;7;73;22;2;0;0;14;0;3;202;0;1;0;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;42;OSIJEK;GRADSKA ÈETVRT TVRÐA;TRG FRANJE BARUNA TRENKA 3;815;527;527;522;5;0;0;1;0;0;23;4;0;0;73;0;9;38;12;80;24;5;1;0;12;0;2;234;3;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;43;OSIJEK;ELEKTROTEHNIÈKA I PROMETNA ŠKOLA OSIJEK;ISTARSKA 3;771;540;540;531;9;1;1;2;0;0;12;1;1;1;46;0;12;23;6;119;41;2;0;0;6;1;0;253;2;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;44;OSIJEK;II. GIMNAZIJA OSIJEK;KAMILA FIRINGERA 5;401;209;209;203;6;0;0;0;0;0;15;3;1;0;18;2;5;16;2;53;10;3;1;0;0;1;1;68;1;1;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;45;OSIJEK;GRADSKA ÈETVRT TVRÐA;VIJENAC IVANA MEŠTROVIÆA 26F;1.083;703;703;693;10;0;2;0;2;2;18;0;2;2;74;2;10;55;10;152;36;1;1;0;8;3;1;304;0;2;0;0;6;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;46;OSIJEK;GRADSKA ÈETVRT TVRÐA;VIJENAC IVANA MEŠTROVIÆA 26F;861;584;584;574;10;0;0;2;3;2;15;0;1;0;89;2;14;21;4;113;38;5;0;0;4;2;1;253;0;0;0;2;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;47;OSIJEK;OSNOVNA ŠKOLA VIJENAC;VIJENAC IVANA MEŠTROVIÆA 36;540;346;346;342;4;0;0;0;0;0;9;0;3;0;55;2;7;30;12;87;18;4;0;0;5;0;1;109;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;48;OSIJEK;OSNOVNA ŠKOLA VIJENAC;VIJENAC IVANA MEŠTROVIÆA 36;602;398;398;392;6;0;0;1;2;0;7;1;3;0;61;0;5;37;10;81;23;3;0;0;7;3;1;143;0;1;0;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;49;OSIJEK;"DJEÈJI VRTIÆ ""STRIBOR""";VIJENAC IVANA MEŠTROVIÆA 7A;829;563;563;553;10;1;0;1;4;1;11;2;0;2;76;1;9;27;12;123;28;6;0;0;7;0;8;229;0;0;1;2;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;50;OSIJEK;VATROGASNI CENTAR OSIJEK;IVANA GORANA KOVAÈIÆA 2;828;506;506;496;10;0;3;1;2;2;15;3;1;0;64;1;11;44;8;112;36;4;0;0;7;2;3;175;2;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;51;OSIJEK;OSNOVNA ŠKOLA FRANA KRSTE FRANKOPANA;FRANKOPANSKA 64;543;334;334;331;3;0;0;1;2;1;16;1;2;0;43;1;6;33;7;58;18;1;0;2;5;0;0;131;0;1;0;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;52;OSIJEK;OSNOVNA ŠKOLA FRANA KRSTE FRANKOPANA;MARTINA DIVALTA 53;1.059;620;620;609;11;0;0;1;5;0;8;2;1;0;86;3;4;42;12;133;42;1;0;0;8;3;1;246;0;1;1;5;4;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;53;OSIJEK;"DJEÈJI VRTIÆ ""JABUKA""";VIJENAC IVANA ÈESMIÈKOG 7A;530;365;365;356;9;0;3;2;6;2;19;0;0;1;60;2;5;19;3;76;25;2;0;0;4;4;1;118;1;1;0;2;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;54;OSIJEK;"OSNOVNA ŠKOLA ""MLADOST""";SJENJAK 7;1.117;769;769;762;7;1;3;3;5;0;16;5;0;0;124;9;20;42;13;137;36;12;0;0;15;1;1;310;3;3;0;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;55;OSIJEK;"OSNOVNA ŠKOLA ""MLADOST""";SJENJAK 7;1.059;748;748;743;5;0;2;3;3;2;23;4;3;0;107;2;17;47;7;127;43;10;0;0;9;1;4;326;1;0;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;56;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;SJENJAK 133;633;450;442;435;7;1;0;3;1;0;20;3;1;1;69;0;11;33;8;62;21;1;0;0;7;1;0;189;2;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;57;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;SJENJAK 133;659;460;460;452;8;0;0;3;3;0;16;0;3;0;54;2;10;24;6;75;32;0;0;0;6;0;0;213;3;0;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;58;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;SJENJAK 133;893;664;664;659;5;0;1;3;1;0;21;4;3;0;117;2;17;35;11;130;25;1;0;0;8;0;0;270;1;1;2;2;4;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;59;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;KRALJA PETRA SVAÈIÆA 36;1.220;801;771;757;14;0;2;5;2;3;25;1;7;2;125;7;17;49;21;158;32;11;0;0;6;4;1;277;1;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;60;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;KRALJA PETRA SVAÈIÆA 36;1.115;791;789;780;9;0;1;3;6;4;25;5;4;2;141;1;12;64;11;144;27;8;1;1;8;1;0;297;5;4;0;1;4;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;61;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;KRALJA PETRA SVAÈIÆA 36;1.235;836;827;825;2;0;2;4;0;0;19;7;5;2;144;1;11;56;20;178;48;16;0;0;13;6;3;285;2;2;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;62;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;KRALJA PETRA SVAÈIÆA 36;1.092;658;651;651;0;0;0;1;1;0;15;2;3;2;120;4;10;55;20;136;29;8;0;2;5;1;0;227;1;3;2;1;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;63;OSIJEK;"OSNOVNA ŠKOLA ""GRIGOR VITEZ""";KORÈULANSKA 1;852;510;510;500;10;0;1;1;5;3;12;0;1;1;87;2;6;32;9;115;32;1;2;1;5;1;1;177;0;0;1;0;4;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;64;OSIJEK;"OSNOVNA ŠKOLA ""GRIGOR VITEZ""";KORÈULANSKA 1;978;609;609;598;11;0;0;3;4;4;20;1;4;0;140;3;6;45;17;135;44;3;0;0;13;3;1;144;0;2;2;0;4;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;65;OSIJEK;GRADSKA ÈETVRT JUG II;SRIJEMSKA 124B;535;314;314;307;7;0;0;2;3;2;6;1;0;2;43;1;3;29;4;86;17;1;0;0;2;0;1;102;0;0;0;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;66;OSIJEK;GRADSKA ÈETVRT JUG II;SRIJEMSKA 124B;833;556;555;543;12;0;0;1;3;1;14;6;2;0;110;2;11;30;15;148;19;0;0;0;5;1;0;171;1;1;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;67;OSIJEK;GRADSKA ÈETVRT JUG II;SRIJEMSKA 124B;852;489;489;486;3;1;1;0;2;3;24;2;3;0;76;1;12;29;7;130;23;6;1;0;5;0;1;148;6;0;0;2;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;68;OSIJEK;"DJEÈJI VRTIÆ ""MASLAÈAK""";VELALUŠKA BB;1.070;684;684;672;12;0;1;3;0;0;23;2;1;0;120;1;8;32;10;145;33;9;0;0;9;3;5;261;1;3;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;69;OSIJEK;"DJEÈJI VRTIÆ ""NEVIÈICA""";OPATIJSKA BB;745;480;480;474;6;1;0;0;3;2;13;3;2;1;77;3;8;36;9;112;31;4;0;0;2;2;0;155;3;1;1;3;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;70;OSIJEK;DOM SINDIKATA TVORNICE ŠEÆERA;FRANKOPANSKA 99;799;551;551;546;5;1;2;0;3;0;14;3;2;1;73;2;15;50;6;118;36;6;1;1;4;1;4;196;3;1;0;2;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;71;OSIJEK;DOM SINDIKATA TVORNICE ŠEÆERA;FRANKOPANSKA 99;824;512;510;503;7;0;2;1;5;2;11;1;2;0;94;4;10;30;19;114;16;4;0;0;7;0;0;179;1;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;72;OSIJEK;DOM SINDIKATA TVORNICE ŠEÆERA;FRANKOPANSKA 99;857;523;523;510;13;0;2;2;1;2;14;1;2;1;99;5;12;31;14;97;21;11;0;0;12;2;0;179;0;0;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;73;OSIJEK;GRADSKA ÈETVRT JUG II;KAŠTELANSKA 42B;851;559;559;551;8;0;1;2;3;3;12;3;2;1;112;2;4;50;13;112;30;6;0;0;7;0;4;181;0;0;1;2;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;74;OSIJEK;"OSNOVNA ŠKOLA ""TIN UJEVIÆ""";OPATIJSKA 46;809;493;493;488;5;0;0;1;2;2;6;0;2;1;83;2;2;42;10;115;28;2;0;0;10;0;1;177;0;1;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;75;OSIJEK;"OSNOVNA ŠKOLA ""TIN UJEVIÆ""";OPATIJSKA 46;625;408;408;405;3;0;1;0;2;0;7;2;2;0;54;2;5;50;6;73;32;2;0;0;7;1;0;157;0;0;0;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;76;OSIJEK;"OSNOVNA ŠKOLA ""TIN UJEVIÆ""";OPATIJSKA 46;684;467;467;461;6;1;2;1;0;2;15;2;2;1;67;0;4;31;7;114;20;2;0;0;15;0;1;167;0;1;1;0;5;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;77;OSIJEK;OBRTNIÈKA ŠKOLA OSIJEK;TRG BANA JOSIPA JELAÈIÆA 24;840;556;556;547;9;0;0;2;4;2;11;0;1;0;77;2;8;29;6;143;28;5;1;0;14;3;0;210;0;0;1;0;0;;;;;;;;;;;;;;;;;
