Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MIRKO MAKAUS ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  GORAN OŽANIÆ;AKCIJA MLADIH - AM , LISTA ZA RIJEKU - LISTA-RI , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DANKO ŠVORINIÆ ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  ANDRIJA ŠKRIBULJA  ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  ,  Nositelj liste:  NATAŠA SRDOÈ  ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  IVO ZRILIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  dr.sc. IVAN KIRIN;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  DAVOR JURICA ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS  , Nositelj liste:  IVAN JANKO  ;LADONJA  , Nositelj liste:  PLINIO CUCCURIN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  ZDRAVKO BERIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;PRIMORSKO GORANSKI SAVEZ - PGS , BLOK UMIROVLJENICI ZAJEDNO - BUZ , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR   ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  IVAN PLJEŠA;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad.;VOLIM HRVATSKU - VH  , Nositelj liste:  prof.dr.sc. ZVONKO ÈAPKO ;ZELENA LISTA  , Nositelj liste:  DARKO ANTOŠ  ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI  , Nositelj liste:  mr.sc. JOSIP-ANTON RUPNIK;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;14;POREÈ - PARENZO;"DJEÈJI VRTIÆ ""RADOST""";RADE KONÈARA 7, POREÈ;608;396;396;395;1;0;1;4;0;1;3;30;1;1;7;2;0;30;0;2;12;2;3;4;0;286;3;0;0;0;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;15;NOVA VAS;ZGRADA OSNOVNE ŠKOLE;VIŠNJANSKA 32, NOVA VAS;2.089;1.111;1.111;1.097;14;0;2;8;4;2;4;153;7;9;9;8;11;69;3;12;53;0;10;10;7;693;2;11;3;3;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;16;ÈERVAR - PORAT;PROSTORIJE MJESNOG ODBORA;PARK UÈKA 2;616;239;239;239;0;1;0;1;2;0;3;58;3;0;4;4;1;14;0;1;12;0;0;3;1;116;0;9;0;1;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;1;PULA;PROSTOR SAVEZA UDRUGA INVALIDA ISTARSKE ŽUPANIJE;ZADARSKA ULICA 8, PULA;1.137;708;707;699;8;2;2;3;1;1;6;46;2;4;5;9;2;48;8;8;61;0;14;24;2;428;6;0;3;6;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;2;PULA;"PROSTORIJE OŠ ""TONE PERUŠKO""";POLJANA SVETOG MARTINA 6, PULA;854;550;550;542;8;2;2;5;2;1;2;36;3;1;8;3;0;35;3;7;44;0;16;13;2;344;8;0;0;1;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;3;PULA;"OŠ ""ŠIJANA""";43. ISTARSKE DIVIZIJE 5, PULA;1.343;889;889;871;18;1;4;5;2;1;4;75;1;5;8;6;4;49;4;8;77;0;20;8;6;565;6;0;1;2;9;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;4;PULA;PROSTORIJE MO KAŠTANJER I MO MONVIDAL;KAŠTANJER 8, PULA;1.482;964;964;944;20;0;4;7;0;1;7;77;1;4;18;7;4;52;4;13;103;1;16;13;8;584;4;0;2;1;13;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;5;PULA;PROSTORIJE MO KAŠTANJER I MO MONVIDAL;KAŠTANJER 10, PULA;1.554;980;980;970;10;1;5;7;2;0;2;82;4;2;11;10;5;51;7;7;92;1;29;22;2;605;3;0;1;10;9;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;6;PULA;"PROSTORIJE MO ""BUSOLER""";ŠIŠANSKA CESTA 25A, PULA;928;605;605;596;9;0;3;5;2;1;4;47;8;3;9;4;7;46;7;4;66;0;10;6;5;344;2;0;3;6;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;7;PULA;PROSTORIJE BIVŠE MO BUSOLER;ŠIŠANSKA CESTA 106, PULA;896;559;559;544;15;1;2;5;2;1;2;72;2;2;4;3;3;40;6;11;58;0;12;15;1;293;2;0;0;2;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;8;PULA;"PROSTORIJE BIVŠE MZ ""ARENA""";EMOVA ULICA 1, PULA;1.127;659;656;647;9;0;4;2;4;1;0;56;4;2;5;5;4;49;0;8;66;0;23;11;2;384;7;0;1;1;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;9;PULA;PROSTORIJE HAK-A - AUTO SL 91;STIGLICHEVA 26, PULA;820;508;508;503;5;0;3;2;0;2;3;53;4;2;6;3;6;26;7;4;35;1;16;4;0;308;7;0;2;0;9;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;10;PULA;OŠ VELI VRH;ZAHTILINA 1, PULA;1.498;1.026;1.026;1.004;22;0;5;3;1;1;4;73;2;8;12;8;5;52;5;6;77;0;21;23;3;668;9;0;0;7;11;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;11;PULA;OŠ VELI VRH;ZAHTILINA ULICA 1;1.423;919;919;907;12;0;6;7;2;1;4;106;2;5;12;6;4;44;5;5;94;3;13;19;2;548;3;0;3;7;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;12;PULA;PROSTORIJE MJESNOG ODBORA ŠTINJAN;SELO 2, PULA;1.580;1.033;1.028;1.014;14;1;3;5;3;1;3;92;1;7;11;12;3;45;3;6;149;2;17;14;3;620;4;0;0;5;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;13;PULA;PROSTORIJE SAMAÈKOG DOMA - DJEÈJI VRTIÆ KUÆICA OD LICITRA;JAPODSKA ULICA 80, PULA;1.602;1.039;1.038;1.015;23;0;5;7;1;1;1;114;4;7;11;8;5;72;3;6;82;1;22;15;6;606;9;1;6;9;13;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;14;PULA;PRIZEMLJE ZGRADE KATASTRA;FORUM 13, PULA;888;509;509;499;10;0;3;3;0;1;4;49;3;2;11;5;0;19;8;4;50;1;10;19;2;296;3;0;0;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;15;PULA;"PROSTORIJE OŠ ""CENTAR""";DANTEOV TRG 2, PULA;867;485;485;481;4;0;7;3;1;1;2;48;0;5;1;2;3;33;5;2;42;1;7;5;0;302;2;0;1;4;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;16;PULA;PROSTORIJE DOMA BRAÆE RIBAR;MARSOVOG POLJA 6, PULA;964;609;609;603;6;1;5;4;1;0;3;60;1;1;2;2;0;31;7;3;58;0;27;10;4;377;2;0;1;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;17;PULA;EKONOMSKA ŠKOLA PULA;KOVAÈIÆEVA 3;878;537;536;528;8;1;4;5;0;1;1;36;1;2;10;3;2;40;1;3;40;0;13;6;2;341;4;0;2;5;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;18;PULA;PROSTORIJE FILOZOFSKOG FAKULTETA;MATETIÆA RONJGOVA 1, PULA;1.439;862;859;844;15;0;2;7;0;1;5;57;0;3;8;8;1;59;2;5;79;0;21;12;3;548;7;1;2;3;10;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;19;PULA;"PROSTORIJE MO ""VALDEBEK""";POD MURVON 2, PULA;1.313;877;875;867;8;0;3;2;1;1;0;57;3;4;15;4;2;62;9;9;123;0;21;14;4;516;5;0;1;5;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;20;PULA;UDRUŽENJE OBRTNIKA PULA;SV. FELICITE 5A, PULA;1.188;766;766;752;14;0;3;4;0;1;2;57;4;1;9;5;1;63;3;4;75;1;23;8;1;476;2;0;0;5;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;21;PULA;PUÈKO OTVORENO UÈILIŠTE PULA;RIŽANSKE SKUPŠTINE 6, PULA;997;628;628;617;11;1;4;3;0;0;3;59;3;4;8;3;9;59;2;2;58;1;18;8;3;346;12;1;1;4;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;22;PULA;PROSTORIJE OŠ  ŠIJANA;43. ISTARSKE DIVIZIJE 5, PULA;820;485;484;477;7;0;0;5;0;0;1;24;2;3;7;2;7;31;1;5;48;0;11;3;3;312;3;0;2;3;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;23;PULA;"SNACK BAR ""SLATKICA""";LABINSKA ULICA 2, PULA;1.599;1.019;1.018;1.010;8;0;6;10;1;1;6;78;1;7;16;7;5;62;9;6;103;0;10;12;4;652;2;0;5;3;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;24;PULA;"PROSTORIJE MO ""ŠIJANA""";KOPARSKA 46, PULA;1.135;764;764;749;15;3;4;5;5;2;3;68;2;3;2;3;8;48;9;8;62;1;17;16;1;467;2;0;3;3;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;25;PULA;PROSTORIJE LOVAÈKOG DRUŠTVA UNION;KUKULJEVIÆEVA 5, PULA;694;438;437;428;9;1;2;3;1;0;1;28;1;5;4;2;3;49;4;4;27;0;10;2;0;273;1;0;0;5;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;26;PULA;CENTAR ZA REHABILITACIJU PULA;SANTORIOVA 11, PULA;819;567;567;562;5;1;1;4;2;1;4;46;1;2;3;3;1;40;3;3;54;0;14;4;3;362;4;0;1;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;27;PULA;"PROSTORIJE MO ""MONTE ZARO""";RADIÆEVA 25, PULA;1.332;821;821;810;11;0;9;8;0;0;2;69;2;4;4;2;2;49;2;7;80;0;25;14;4;512;2;0;2;6;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;28;PULA;"OSNOVNA ŠKOLA ""MONTE ZARO""";BOŠKOVIÆEV USPON 24, PULA;1.412;847;847;839;8;1;3;5;4;0;5;118;1;3;13;5;3;52;3;3;71;1;21;9;5;486;7;0;2;9;9;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;29;PULA;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 9, PULA;1.275;839;838;818;20;0;4;3;3;0;2;77;3;2;9;2;3;45;1;9;59;1;30;15;4;529;4;1;0;4;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;30;PULA;ZGRADA TEHNIÈKOG CENTRA;TRG KRALJA TOMISLAVA 11, PULA;1.428;937;935;920;15;0;5;4;2;3;1;62;4;5;4;5;3;57;8;8;109;1;16;23;8;575;5;0;1;4;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;31;PULA;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIÆEVA 1, PULA;1.736;1.188;1.186;1.172;14;1;5;6;0;2;3;99;8;5;19;3;5;71;4;7;114;2;28;27;5;739;7;0;2;2;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;32;PULA;PROSTORIJE SSSH;KRLEŽINA 37, PULA;1.293;822;822;807;15;0;2;6;2;3;3;71;5;2;11;0;2;38;4;8;76;3;16;14;3;517;4;0;3;5;9;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;33;PULA;DOM ZA OSOBE SA CEREBRALNOM PAR.;BUDICINOVA 23, PULA;862;483;482;469;13;1;0;2;2;1;0;59;0;5;3;2;5;29;3;5;53;1;11;9;2;269;1;0;4;2;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;34;PULA;DOM ZA OSOBE S CEREBRALNOM PARALIZOM;BUDICINOVA ULICA 23;824;547;547;535;12;2;4;3;2;0;1;36;1;3;3;5;3;32;0;6;57;0;10;9;4;343;4;0;0;2;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;35;PULA;"OŠ ""VERUDA""";BANOVÈEVA 27, PULA;1.140;749;749;734;15;0;5;5;2;1;1;56;1;2;5;1;6;42;7;3;75;1;19;7;2;460;8;0;1;7;17;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;36;PULA;"PROSTORIJE MO ""VERUDA""";BANOVÈEVA 4 I 6, PULA;727;486;486;481;5;1;2;1;1;1;2;43;3;0;6;2;1;26;1;6;42;0;13;2;8;309;5;0;1;1;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;37;PULA;"PROSTORIJE MO ""NOVA VERUDA""";VIDIKOVAC 7, PULA;1.156;755;755;747;8;0;2;6;2;0;3;61;3;7;11;6;0;48;0;2;92;0;37;7;1;441;5;0;0;4;9;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;38;PULA;INDUSTRIJSKA ŠKOLA - PRAKTIKUM;RIZZIJEVA 40, PULA;1.078;670;669;664;5;0;3;3;0;0;0;99;0;4;5;3;4;49;9;1;78;0;15;10;4;370;4;0;1;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;39;PULA;INDUSTRIJSKA ŠKOLA - PRAKTIKUM;RIZZIJEVA ULICA 40, PULA;930;623;623;617;6;0;6;8;1;0;0;53;3;4;7;5;3;23;9;8;71;0;12;9;2;383;5;0;0;4;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;40;PULA;"PROSTORIJE MO ""STOJA""";LETTISOVA 1, PULA;1.552;948;948;938;10;2;9;5;0;3;3;85;3;2;9;9;9;50;2;5;74;1;27;15;8;600;7;2;1;3;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;41;PULA;"OŠ ""STOJA""";BRIJUNSKA 5, PULA;1.333;870;867;850;17;2;5;5;4;2;3;70;4;5;12;5;1;53;1;5;83;0;18;11;0;552;5;0;1;2;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;42;PULA;OŠ STOJA;BRIJUNSKA ULICA 5;992;681;681;665;16;0;4;4;1;1;2;54;1;4;5;7;2;39;4;2;51;0;18;11;3;442;6;0;0;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;43;PULA;CENTAR ZA REHABILITACIJU PULA;SANTORIOVA 11, PULA;896;570;570;563;7;2;6;3;2;1;5;48;0;5;4;4;2;28;6;8;60;0;13;12;6;328;4;0;0;6;10;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RAB;1;RAB;PROSTORIJA GRADSKE VIJEÆNICE GRADA RABA;RAB MUNICIPIUM ARBA 2;455;288;288;281;7;0;0;0;1;0;1;77;1;6;8;1;14;13;3;0;1;2;18;10;1;117;4;0;1;0;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RAB;2;SUPETARSKA DRAGA;PODRUÈNA ŠKOLA SUPETARSKA  DRAGA;SUPETARSKA DRAGA;1.046;696;696;690;6;1;1;14;3;2;5;219;2;23;12;19;11;20;3;0;5;0;8;19;1;310;6;0;1;3;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RAB;3;MUNDANIJE;PODRUÈNA ŠKOLA MUNDANIJE;MUNDANIJE;449;288;288;283;5;0;1;1;0;1;0;65;0;4;3;13;17;8;0;0;2;1;5;13;1;141;1;0;2;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RAB;4;KAMPOR;ŠPDRUÈNA ŠKOLA;KAMPOR;1.020;648;648;636;12;3;2;18;3;2;1;173;1;14;8;8;18;22;11;0;4;2;13;23;1;298;4;0;0;2;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RAB;5;PALIT;"O.Š.""IVANA RABLJANINA"" - UÈ. IV. RAZ";PALIT;1.538;1.028;1.028;1.005;23;0;6;14;4;2;8;202;7;10;21;27;24;46;11;0;3;1;40;57;5;486;15;1;2;8;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RAB;6;BANJOL 2;PODRUÈNA ŠKOLA BANJOL;BANJOL;579;361;361;350;11;0;0;7;2;0;0;78;1;3;11;8;10;12;2;0;2;0;17;17;1;173;2;0;0;1;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RAB;7;BANJOL 1;"OŠ ""IVANA  RABLJANINA "" - UÈION. I.RAZ.";BANJOL;1.176;765;765;753;12;0;4;9;6;1;0;203;4;9;19;8;24;25;8;0;2;0;33;36;1;335;5;1;5;3;12;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RAB;8;BARBAT;"PODRUÈNA ŠKOLA  ""BARBAT""";BARBAT;1.189;700;700;684;16;1;2;13;3;0;3;155;2;9;20;9;19;20;3;1;3;1;20;32;4;349;6;0;1;3;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;1;COSTABELLA;PROSTORIJE MJESNOG ODBORA;ISTARSKA 50;1.265;840;840;834;6;0;3;34;2;4;2;104;2;6;15;17;18;64;1;0;30;0;34;42;3;437;7;0;2;3;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;2;COSTABELLA;DOM UMIROVLJENIKA;ÐURE CATTIA 6;1.405;913;913;908;5;2;4;35;4;1;6;80;4;2;16;15;18;52;7;1;23;2;48;49;3;524;5;0;1;2;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;3;KANTRIDA;DOM MIRKO ÆURBEG;LOVRANSKA 10;1.256;759;759;752;7;1;2;27;3;2;4;90;4;13;16;11;18;67;0;0;21;2;30;32;7;391;6;0;1;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;4;KANTRIDA;"OSNOVNA ŠKOLA ""KANTRIDA""";IZVIÐAÈKA 9;1.169;759;759;743;16;2;3;32;3;0;0;91;2;7;14;10;14;57;2;1;16;0;23;41;1;411;3;0;2;4;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;5;ZAPADNI ZAMET;"OSNOVNA ŠKOLA ""ZAMET""";BOŽE VIDASA 12;1.021;667;667;657;10;0;6;12;5;0;5;98;7;4;8;16;18;48;3;0;17;0;10;39;5;348;2;0;2;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;6;ZAPADNI ZAMET;"OSNOVNA ŠKOLA ""ZAMET""";BOŽE VIDASA 12;1.326;794;794;780;14;2;2;28;7;3;4;113;5;5;9;11;13;51;1;1;15;1;30;55;2;407;5;0;2;1;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;7;ZAPADNI ZAMET;"OSNOVNA ŠKOLA ""ZAMET""";BOŽE VIDASA 12;1.588;1.051;1.051;1.040;11;0;3;28;3;2;4;150;6;6;24;10;22;55;16;0;29;0;41;76;0;548;1;2;3;3;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;8;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIÆ 2;1.437;820;820;811;9;0;3;19;2;5;3;149;3;4;17;14;24;47;12;0;16;1;17;60;4;401;2;0;5;3;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;9;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIÆ 2;1.363;772;772;767;5;1;7;9;4;3;3;151;8;10;20;11;21;37;3;0;13;2;15;43;3;388;2;3;5;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;10;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIÆ 2;1.361;650;649;642;7;1;2;15;3;1;1;152;2;2;5;12;23;27;10;0;8;1;13;76;2;273;3;0;2;4;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;11;ZAMET;"ŠPORTSKO DRUŠTVO ""ZAMET""";OBITELJI SUŠANJ 2;1.508;935;934;925;9;2;1;34;5;7;2;103;4;4;15;14;30;71;4;3;20;0;24;65;2;505;1;0;1;4;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;12;ZAMET;"ŠPORTSKO DRUŠTVO ""ZAMET""";OBITELJI SUŠANJ 2;1.410;883;883;875;8;1;4;22;6;1;0;137;4;7;11;12;17;54;7;0;19;0;18;57;1;489;4;0;0;1;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;13;ZAMET;"ŠPORTSKO DRUŠTVO ""ZAMET""";OBITELJI SUŠANJ 2;1.374;857;856;844;12;1;5;17;7;1;2;129;4;5;11;17;27;68;8;1;19;2;21;68;3;419;2;1;0;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;14;SRDOÈI;PROSTOR MJESNOG ODBORA;M. KRLEŽE 4;1.452;935;935;925;10;0;3;23;5;3;6;170;13;4;17;13;32;48;10;1;29;0;35;67;2;434;4;0;2;1;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;15;SRDOÈI;"DV ""SRDOÈI""";SRDOÈI BB;1.345;846;846;831;15;2;6;20;2;4;3;130;5;5;16;8;21;49;7;2;21;0;37;53;2;428;1;2;1;2;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;16;SRDOÈI;"DV ""SRDOÈI""";SRDOÈI BB;1.396;819;819;805;14;0;2;32;2;1;5;100;15;8;25;4;32;59;3;1;12;0;26;48;1;417;1;0;2;2;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;17;SRDOÈI;"DV ""SRDOÈI""";SRDOÈI BB;1.350;847;847;832;15;0;4;26;4;2;4;151;19;3;14;9;26;46;9;1;19;1;26;55;1;405;1;0;0;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;18;GRPCI;PROSTORIJE MO;DRAŽIÈKA 4;1.529;814;814;800;14;1;8;19;1;5;4;268;6;3;16;20;18;46;2;1;4;1;13;35;1;320;2;0;0;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;19;PEHLIN;"OSNOVNA ŠKOLA ""PEHLIN""";PEHLIN 34;1.499;835;835;819;16;1;5;30;5;4;6;192;2;7;12;16;28;42;1;1;19;0;27;46;7;352;3;0;1;2;10;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;20;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1.589;957;957;951;6;0;2;28;6;5;5;168;9;5;19;12;25;79;11;1;8;1;22;55;1;468;3;0;8;6;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;21;PEHLIN;"OŠ ""PEHLIN""";PEHLIN 34;1.423;720;720;709;11;0;7;31;1;4;2;111;3;8;8;18;28;49;1;10;9;2;14;42;0;354;0;1;2;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;22;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;1.087;654;654;643;11;2;8;23;5;2;5;81;3;1;8;17;18;54;6;3;11;0;20;24;1;341;3;1;1;0;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;23;BELVEDER;CENTAR ZA ODGOJ I OBRAZOVANJE;SENJSKIH USKOKA 2;932;598;597;594;3;0;7;16;4;2;2;76;2;5;6;11;16;40;2;1;9;1;22;37;1;328;2;0;0;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;24;BELVEDER;DOM MLADIH;LAGINJINA 15;1.154;693;693;683;10;0;8;28;4;0;2;74;2;6;9;9;23;51;2;1;6;2;28;43;0;377;2;0;1;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;25;KOZALA;DOM MLADIH;LAGINJINA 15;1.177;749;748;734;14;0;2;26;3;4;0;93;2;3;15;10;16;61;3;1;21;0;33;40;2;391;1;1;0;2;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;26;KOZALA;"OŠ ""KOZALA""";ANTE KOVAÈIÆA 21;1.314;908;908;899;9;0;4;29;4;1;4;85;3;1;17;7;14;78;1;1;15;0;27;46;6;546;3;0;1;3;3;;;;;;;;;;;;;;;;;
