Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MIRKO MAKAUS ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  GORAN OŽANIÆ;AKCIJA MLADIH - AM , LISTA ZA RIJEKU - LISTA-RI , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DANKO ŠVORINIÆ ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  ANDRIJA ŠKRIBULJA  ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  ,  Nositelj liste:  NATAŠA SRDOÈ  ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  IVO ZRILIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  dr.sc. IVAN KIRIN;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  DAVOR JURICA ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS  , Nositelj liste:  IVAN JANKO  ;LADONJA  , Nositelj liste:  PLINIO CUCCURIN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  ZDRAVKO BERIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;PRIMORSKO GORANSKI SAVEZ - PGS , BLOK UMIROVLJENICI ZAJEDNO - BUZ , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR   ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  IVAN PLJEŠA;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad.;VOLIM HRVATSKU - VH  , Nositelj liste:  prof.dr.sc. ZVONKO ÈAPKO ;ZELENA LISTA  , Nositelj liste:  DARKO ANTOŠ  ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI  , Nositelj liste:  mr.sc. JOSIP-ANTON RUPNIK;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRES;1;CRES;GRADSKA VIJEÆNICA CRES;CRES, CRESKOG STATUTA 15;560;328;328;318;10;1;5;10;1;0;3;54;1;10;5;2;2;20;16;1;7;0;6;12;0;156;2;0;1;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRES;2;CRES;GRADSKA KNJIŽNICA I ÈITAONICA;CRES, TRG SV. FRANE 8;487;306;306;300;6;1;0;13;2;2;3;57;0;7;2;0;8;12;15;2;3;0;11;28;0;132;1;0;0;1;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRES;3;CRES;"DJEÈJI VRTIÆ ""GIRICE"" CRES";CRES, ŠETALIŠTE 20.TRAVNJA 54;525;270;270;264;6;1;2;9;2;2;3;42;0;10;7;7;4;18;12;0;0;2;8;15;1;115;1;1;0;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRES;4;CRES;DOM ZA ODGOJ DJECE;CRES, JADRANSKA OBALA 15;572;400;400;397;3;0;1;7;2;1;1;49;0;5;1;2;6;23;21;2;10;2;11;34;2;213;0;0;2;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRES;5;BELI;PROSTORIJA MJESNOG ODBORA BELI;BELI;173;82;82;80;2;0;0;10;0;0;0;17;0;1;0;0;0;2;1;0;0;0;2;5;1;40;1;0;0;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRES;6;ORLEC;ORLEC;ORLEC 4;121;80;80;80;0;2;0;3;0;1;2;7;1;5;0;0;0;5;3;1;3;0;3;5;0;39;0;0;0;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRES;7;VALUN;OSNOVNA ŠKOLA VALUN;VALUN;90;57;57;54;3;0;3;5;1;0;0;5;0;4;1;0;0;1;4;0;1;0;4;3;0;21;0;0;0;0;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRES;8;MARTINŠÆICA;PROST.MJESNOG ODBORA MARTINŠÆICA;MARTINŠÆICA;277;139;139;136;3;0;0;1;1;2;0;19;0;22;6;0;5;6;0;0;1;0;0;6;1;65;0;0;1;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRIKVENICA;1;CRIKVENICA;"""THALASSOTHERAPIA""";CRIKVENICA, GAJEVO ŠETALIŠTE 21;839;479;479;475;4;1;3;3;0;0;3;68;0;5;6;12;18;33;0;2;6;0;11;32;1;264;1;0;1;3;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRIKVENICA;2;CRIKVENICA;ZGRADA GRADA CRIKVENICE;CRIKVENICA, TOMISLAVOVA 85;1.230;658;658;650;8;3;8;11;8;3;3;135;0;8;10;7;15;28;2;0;5;0;20;40;6;330;2;0;0;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRIKVENICA;3;CRIKVENICA;"OSNOVNA ŠKOLA ""V.NAZORA""";CRIKVENICA,VINODOLSKA BB;971;510;510;501;9;0;2;5;1;0;1;114;1;7;11;6;17;27;2;0;2;1;11;29;1;258;3;0;0;0;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRIKVENICA;4;CRIKVENICA;ZGRADA GRADSKE VIJEÆNICE;CRIKVENICA, PRERADOVIÆEVA 1;917;489;489;485;4;2;3;7;2;1;0;63;1;7;11;12;14;28;3;1;5;0;20;32;2;265;0;0;0;2;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRIKVENICA;5;CRIKVENICA;"SREDNJA ŠKOLA ""DR. A. BARCA""";CRIKVENICA, ZIDARSKA 4;1.583;808;807;798;9;1;3;8;2;3;6;194;2;13;14;16;27;46;2;2;2;0;14;42;2;387;2;0;1;3;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRIKVENICA;6;CRIKVENICA;"SREDNJA ŠKOLA ""DR. A. BARCA""";CRIKVENICA, ZIDARSKA 4;1.724;822;822;807;15;0;3;6;2;5;4;135;4;7;27;17;15;58;3;0;1;0;22;29;4;452;3;0;1;4;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRIKVENICA;7;DRAMALJ;"""ZADRUŽNI DOM""";DRAMALJ, DRAMALJSKO SELCE 30;1.830;808;808;804;4;1;0;12;0;2;4;146;3;7;14;18;14;53;4;0;8;0;13;48;6;436;6;0;4;1;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRIKVENICA;8;JADRANOVO;ZGRADA OSNOVNE ŠKOLE;JADRANOVO, VLADIMIRA NAZORA 5;1.434;623;623;603;20;2;1;15;3;4;3;139;4;2;13;7;19;44;2;2;0;2;10;31;4;287;1;0;1;3;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;CRIKVENICA;9;SELCE;STARA ŠKOLA;SELCE, ŠET. I. JELIÈIÆA 1;1.684;880;880;868;12;1;17;12;6;3;8;154;2;2;11;8;13;49;4;1;9;0;29;37;10;482;4;0;1;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRALJEVICA;1;KRALJEVICA;I. KAT - VIJEÆNICA;KRALJEVICA, FRANKOPANSKA 1A;1.268;783;783;767;16;1;2;14;3;5;2;135;3;8;11;35;30;46;2;2;6;1;16;53;2;384;1;0;2;2;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRALJEVICA;2;KRALJEVICA;DOM KULTURE I SPORTA;KRALJEVICA, STROSSMAYEROVA 29;1.207;728;728;720;8;0;11;21;2;1;2;122;3;7;11;38;20;33;1;1;7;0;18;48;0;361;1;0;4;4;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRALJEVICA;3;BAKARAC;PROSTORIJE DRUŠTVENOG DOMA;BAKARAC, ULICA BAKARAC 8;306;195;195;191;4;0;0;3;8;0;3;17;1;0;2;1;7;13;1;0;5;0;7;14;3;102;0;0;0;1;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRALJEVICA;4;KRIŽIŠÆE;PROSTORIJE DRUŠTVENOG DOMA;KRIŽIŠÆE, KRIŽIŠÆE 27;418;304;304;301;3;0;0;2;0;4;3;58;1;2;3;9;8;30;0;0;4;1;10;25;1;135;0;0;0;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRALJEVICA;5;ŠMRIKA;"DRUŠTVENI DOM ""IVICA TURINA""";ŠMRIKA, BURIÆEVA 38;930;587;587;580;7;1;3;9;3;0;0;94;0;5;14;13;19;34;6;0;5;0;25;48;2;283;3;0;5;5;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRK;1;KRK;"GALERIJA ""DECUMANUS""";KRK, J.J. STROSSMAYERA BB;906;450;450;446;4;0;1;6;2;0;3;70;4;2;6;9;9;13;7;0;4;1;21;114;2;168;0;0;1;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRK;2;KRK;MALA VIJEÆNICA GRADA KRKA;KRK, TRG JOSIPA BANA JELAÈIÆA BR.2;668;361;360;355;5;1;0;1;0;0;1;36;0;2;7;10;5;17;4;1;6;0;9;105;1;145;2;0;2;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRK;3;KRK;VELIKA VIJEÆ. GRADA KRKA - I DIO;KRK, TRG JOSIPA BANA JELAÈIÆA BR.2;974;583;583;579;4;1;2;4;0;0;2;74;6;3;8;10;7;22;15;0;4;1;15;155;2;241;2;0;2;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRK;4;KRK;VELIKA VIJEÆ. GRADA KRKA - II DIO;KRK, TRG JOSIPA BANA JELAÈIÆA BR.2;1.071;616;616;604;12;0;2;5;2;2;5;74;2;3;9;14;9;34;6;0;12;0;20;137;1;258;1;1;1;3;3;;;;;;;;;;;;;;;;;
