Rbr izborne jedinice biraèa;Naziv izborne jedinice biraèa;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;RÓBERT JANKOVICS;ŠANDOR JUHAS
009;IX. IZBORNA JEDINICA;6;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;KOPRIVNIÈKI BREGI;001;DOM 22, GLOGOVAC;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE VIZJAK;KOPRIVNIÈKA 65;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;6;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;KOPRIVNIÈKI BREGI;001;DOM 22, GLOGOVAC;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE VIZJAK;KOPRIVNIÈKA 65;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;1;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;DOM 18, BJELOVAR;DOM ZA STARIJE I NEMOÆNE OSOBE BJELOVAR;VLAHE PALJETKA 1;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;DOM 19, BJELOVAR;DOM ZA ODRASLE OSOBE BJELOVAR;DON FRANE BULIÆA 5A;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;LS 07, BJELOVAR;ZATVOR;BJELOVAR,ŠETALIŠTE DR.IVŠE LEBOVIÆA 40;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;PU 01-01, BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 1, BJELOVAR;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;PU 01-01, BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 1, BJELOVAR;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;PU 01-01, BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 1, BJELOVAR;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;PU 01-01, BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 1, BJELOVAR;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;PU 01-01, BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 1, BJELOVAR;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;PU 01-01, BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 1, BJELOVAR;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;PU 01-01, BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 1, BJELOVAR;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;PU 01-01, BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 1, BJELOVAR;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;PU 01-01, BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 1, BJELOVAR;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GAREŠNICA;001;PU 06-24, GAREŠNICA;HRVATSKI DOM;VLADIMIRA NAZORA 21, GAREŠNICA;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;001;PU 07-01, GRUBIŠNO POLJE;CENTAR ZA KULTURU I INFORMIRANJE DR. FRANJO TUÐMAN;ULICA IVANA NEPOMUTKA JEMERŠIÆA, GRUBIŠNO POLJE;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;PU 02-09, BAKAR;PROSTORIJE GRADSKE VIJEÆNICE;BAKAR, PRIMORJE 39;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;CRIKVENICA, ZGRADA GRADSKE VIJEÆNICE;PRERADOVIÆEVA 1, CRIKVENICA;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;CRIKVENICA, ZGRADA GRADSKE VIJEÆNICE;PRERADOVIÆEVA 1, CRIKVENICA;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;CRIKVENICA, ZGRADA GRADSKE VIJEÆNICE;PRERADOVIÆEVA 1, CRIKVENICA;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;CRIKVENICA, ZGRADA GRADSKE VIJEÆNICE;PRERADOVIÆEVA 1, CRIKVENICA;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;CRIKVENICA, ZGRADA GRADSKE VIJEÆNICE;PRERADOVIÆEVA 1, CRIKVENICA;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;CRIKVENICA, ZGRADA GRADSKE VIJEÆNICE;PRERADOVIÆEVA 1, CRIKVENICA;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;CRIKVENICA, ZGRADA GRADSKE VIJEÆNICE;PRERADOVIÆEVA 1, CRIKVENICA;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;CRIKVENICA, ZGRADA GRADSKE VIJEÆNICE;PRERADOVIÆEVA 1, CRIKVENICA;0;0;0;0;0;0;0
