HDZ,,SDP,,BM 365,,KH,,MOST,,IDS,,HSS,,HNS-LD,,Pametno,,Glas,,NHR,,START,,DPMŠ,,Green-Left,,HDSSB,,Centar,,Fokus,,Možemo!,,RF,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2017/06/01,0.3830422816906065,2017/06/01,0.2800451247128052,2017/08/21,0.05254590984974955,2018/05/20,0.1634659250566125,2018/09/02,0.0811505148845435,2019/11/26,0.019079550901667797,2019/07/13,0.04004425692986657,2019/11/28,0.025999190069257327,2020/06/13,0.05007644754458751,,,,,,,2022/10/13,0.07458733084135982,,,,,2023/11/21,0.027131026959123228,,,2023/04/09,0.12151446422963308,,
2017/06/21,0.3784377634341064,2017/06/23,0.24218003603365346,2017/09/02,0.028880229425279735,2018/06/01,0.15585174961569614,2018/09/11,0.0949383460883651,2019/12/12,0.0195940222152432,2019/08/31,0.04038723780558351,2019/12/16,0.01663581216218446,2020/06/24,0.043259702639713016,,,,,,,2022/10/26,0.07631448453693446,,,,,2023/11/21,0.02178052529793878,,,2023/04/11,0.11116991603166992,,
2017/06/29,0.39096513991966814,2017/06/29,0.2721222664837436,2017/09/21,0.046578042612274606,2018/06/07,0.14257838972545,2018/10/01,0.0727866812438458,2020/01/13,0.010976627712854736,2019/09/15,0.039572658225755786,2019/12/27,0.02255223226830194,2020/07/23,0.01848790889105606,,,,,,,2022/11/04,0.07080229189148346,,,,,2023/12/22,0.018693697416486188,,,2023/04/26,0.11541430436866723,,
2017/07/21,0.37573678903783536,2017/07/21,0.2514405196780112,2017/10/03,0.02908601795070992,2018/06/17,0.15708648076827714,2018/10/12,0.07614299409907599,2020/01/29,0.025896295806542236,2019/09/18,0.03165837451858711,2020/01/12,0.0044171184647679995,2020/08/08,0.04061017537479955,,,,,,,2022/11/18,0.07333055091819701,,,,,2024/01/10,0.02558761301839696,,,2023/05/10,0.11716350683482368,,
2017/08/02,0.39003909155523236,2017/08/04,0.2532926164068828,2017/10/25,0.048430139341146095,2018/07/01,0.15862989470900346,2018/10/31,0.07621159027421937,2020/02/10,0.034024942561034,2019/09/30,0.04091885816294483,2020/02/10,0.009639002297558596,2020/08/23,0.028057075323559055,,,,,,,2022/12/05,0.08638342310262503,,,,,2024/01/18,0.021952015735797303,,,2023/05/07,0.11215598604935617,,
2017/08/21,0.3737817980462487,2017/08/21,0.25946627216978796,2017/11/01,0.02924035934478253,2018/07/15,0.1401089274202879,2018/11/12,0.06942056893502374,2020/02/26,0.018693697416486188,2019/10/06,0.02949759500157023,2020/03/04,0.008404271144977549,2020/09/08,0.03381915403560387,,,,,,,2022/12/14,0.08840456040595712,,,,,2024/01/22,0.015606869535033596,,,2023/05/21,0.11592877568224269,,
2017/09/02,0.3913767169705285,2017/09/02,0.26677176482255904,2017/11/18,0.040301492586654275,2018/07/27,0.15544017256483578,2018/12/13,0.07219871402833106,2020/03/07,0.020622964842394065,2019/10/28,0.0418449065273806,2020/04/17,0.0120055703400056,2020/09/23,0.014234946032165796,,,,,,,2022/12/22,0.07631448453693446,,,,,2024/02/02,0.018179226102910784,,,2023/06/01,0.12621820195375127,,
2017/09/21,0.36019975536785737,2017/09/21,0.24722185490669268,2017/12/02,0.02679662060529925,2018/08/11,0.13805104216598624,2018/12/29,0.086501016545728,2020/03/21,0.022037760954726482,2019/11/09,0.028777335162564643,2020/04/27,0.019722640043637052,2020/10/24,0.020854476933503008,,,,,,,2023/01/10,0.07868105257938146,,,,,2024/02/19,0.02558761301839696,,,2023/06/07,0.10954933139390732,,
2017/10/03,0.38736384072464014,2017/10/03,0.2562765500256203,2017/12/19,0.02733681548455341,2018/09/02,0.1490607282765004,2019/01/13,0.07682895585050992,2020/03/29,0.025124588836179074,2019/11/11,0.042359377840956,2020/05/14,0.017836245227193848,,,,,,,,,2023/01/16,0.0894849501644655,,,,,2024/03/01,0.017664754789335324,,,2023/06/19,0.12025033471627627,,
2017/10/25,0.3563926676473992,2017/10/25,0.2575112811782013,2018/01/02,0.02988344848675184,2018/09/11,0.14288707251359523,2019/01/29,0.07693185011322501,2020/04/12,0.03021785484057582,2019/11/28,0.038140713069637455,2020/06/01,0.01663581216218446,,,,,,,,,2023/01/22,0.07854386022909471,,,,,,,,,2023/07/02,0.1281731929453379,,
2017/10/31,0.3623605348848742,2017/10/31,0.26574282219540823,2018/01/19,0.04009570406122415,2018/10/01,0.14722578059141478,2019/02/13,0.07003793451131418,2020/04/26,0.02473873535099752,2019/12/10,0.027233921221838375,2020/06/11,0.011233863369642438,,,,,,,,,2023/02/06,0.07044951156217455,,,,,,,,,2023/07/11,0.10954933139390732,,
2017/11/18,0.33787170035868364,2017/11/18,0.23796137126233494,2018/01/13,0.023838410552240508,2018/10/12,0.14936941106464569,2019/02/19,0.09473255756293492,2020/05/11,0.022680850096695793,2020/01/04,0.023838410552240508,2020/06/24,0.01663581216218446,,,,,,,,,2023/02/09,0.09360072067306896,,,,,,,,,2023/08/02,0.12889345278434355,,
2017/12/01,0.3553637250202483,2017/12/01,0.2581286467544918,2018/01/30,0.02936897717317638,2018/10/31,0.14340154382717069,2019/02/25,0.07940131241838705,,,2020/01/29,0.01663581216218446,2020/07/08,0.007581117043256869,,,,,,,,,2023/02/16,0.08464891981685646,,,,,,,,,2023/08/20,0.13619894543711464,,
2017/12/19,0.35135084877435996,2017/12/19,0.20915097770211077,2018/02/16,0.0352596737136151,2018/11/12,0.15327939304781896,2019/03/10,0.0752855419097836,,,2020/02/08,0.02924035934478253,2020/08/08,0.013754772806162052,,,,,,,,,2023/03/03,0.08242383138564274,,,,,,,,,2023/08/14,0.014577926907882732,,
2018/01/01,0.3456916643250302,2018/01/01,0.24609001801682673,2018/03/13,0.04688672540041977,2018/12/13,0.1677874840906461,2019/03/13,0.0693176746723086,,,2020/02/23,0.028983123687994827,2020/09/08,0.009741896560273688,,,,,,,,,2023/03/15,0.096070182978231,,,,,,,,,2023/09/02,0.11294484206350519,,
2018/01/19,0.3314922560703483,2018/01/19,0.23096456139770907,2018/03/28,0.02824571480520338,2018/12/29,0.16192251111588618,2019/03/28,0.08043025504553791,,,2020/03/07,0.01650719433379061,2020/11/08,0.01601844658589391,,,,,,,,,2023/03/22,0.08382576571513578,,,,,,,,,2023/09/17,0.1403147159457181,,
2018/01/29,0.3506305889353543,2018/01/29,0.2531897221441677,2018/04/13,0.03721466470520174,2019/01/13,0.15307360452238883,2019/04/11,0.08120196201590107,,,2020/03/09,0.03083522041686637,2021/01/09,0.01396056133159218,,,,,,,,,2023/04/03,0.07600580174878918,,,,,,,,,2023/09/30,0.13424395444552806,,
2018/02/16,0.3302575249177673,2018/02/16,0.22036645233805519,2018/04/28,0.02864014281227789,2019/01/29,0.127041356055472,2019/04/13,0.07435949354534788,,,2020/03/24,0.033201788459313375,2021/04/06,0.011388204763715049,,,,,,,,,2023/04/09,0.09164572968148232,,,,,,,,,2023/09/23,0.014577926907882732,,
2018/03/13,0.3208941470106944,2018/03/13,0.21079728590555216,2018/05/20,0.04133043521380514,2019/02/13,0.1348613200218185,2019/04/29,0.07657172019372221,,,2020/04/03,0.0269252384336931,2021/05/07,0.014989503958743045,,,,,,,,,2023/04/19,0.07763741077184272,,,,,,,,,2023/10/03,0.10224383874113618,,
2018/03/28,0.3447656159605944,2018/03/29,0.24969131721185475,2018/05/31,0.02705385626208695,2019/02/20,0.12320486997423802,2019/05/12,0.07862960544802394,,,2020/04/27,0.03361336551017369,2021/11/07,0.020880200499181767,,,,,,,,,2023/05/04,0.08691259359658837,,,,,,,,,2023/10/21,0.1359931569116845,,
2018/03/31,0.31914494454453796,2018/04/07,0.2517492024661565,2018/06/26,0.03258442288302282,2019/03/04,0.12158796013157241,2019/05/23,0.06160060496867714,,,,,2021/12/03,0.015915552323178872,,,,,,,,,2023/05/02,0.07721480933569147,,,,,,,,,2023/10/30,0.12405742243673445,,
2018/04/13,0.30679763301872764,2018/04/13,0.2009194366849039,2018/07/05,0.03206995156944742,2019/03/13,0.1341410601828129,2019/05/29,0.04719540818856505,,,,,2021/12/31,0.014577926907882732,,,,,,,,,2023/05/19,0.08886758458817501,,,,,,,,,2023/11/04,0.09998016496140433,,
2018/04/28,0.3091642010611746,2018/04/28,0.24310608439808923,2018/07/15,0.044108580307112455,2019/03/15,0.12338860972908644,2019/06/08,0.052751698375179734,,,,,2022/01/06,0.006346385890675876,,,,,,,,,2023/06/04,0.09218959935583348,,,,,,,,,2023/11/21,0.11716350683482368,,
2018/05/20,0.2970226780607944,2018/05/20,0.20421205309178667,2018/07/27,0.039478338484933595,2019/03/28,0.09925990512239874,2019/06/18,0.07091253574439244,,,,,2022/05/10,0.024524372303674435,,,,,,,,,2023/06/19,0.09360072067306896,,,,,,,,,2023/11/15,0.015606869535033596,,
2018/06/01,0.2924953305013306,2018/06/01,0.2262314253128151,2018/08/11,0.04112464668837501,2019/04/10,0.09339493214763883,2019/06/26,0.056661680358353006,,,,,2022/10/11,0.027825563232450112,,,,,,,,,2023/07/02,0.08752995917287887,,,,,,,,,2023/12/03,0.08825021901188451,,
