Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;FURIO RADIN
001;I. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;PU 09-09, CRES;GRADSKA VIJEÆNICA;CRESKOG STATUTA 15, CRES;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;PU 10-10, CRIKVENICA;ZGRADA GRADSKE VIJEÆNICE (STARA ŠKOLA);VINODOLSKA 1, CRIKVENICA;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;001;DOM 27, ÈAKOVEC;DOM ZA STARIJE I NEMOÆNE OSOBE ÈAKOVEC;MATICE HRVATSKE;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;20;MEÐIMURSKA ŽUPANIJA;grad;ÈAKOVEC;002;PU 01-01, ÈAKOVEC;ZGRADA GRADSKE UPRAVE U ÈAKOVCU;ULICA KRALJA TOMISLAVA 15;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;001;PU 02-06, ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10, ÈAZMA;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;DARUVAR;001;PU 03-01, DARUVAR;HRVATSKI DOM;TRG PRESVETOG TROJSTVA 4, DARUVAR;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;8;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;001;PU 03-08, DELNICE;DELNICE, ZGRADA ŠUMARIJE;PETRA KREŠIMIRA IV KBR. 54, DELNICE;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;DONJI MIHOLJAC;001;PU 3-15, DONJI MIHOLJAC;GRADSKA UPRAVA, DVORAC ''MAILATH'' - KAPELICA;VUKOVARSKA 1;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;001;PU 8, DRNIŠ;PROSTORIJE SREDNJE ŠKOLE U DRNIŠU;POLJANA 1;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;001;LS 08, DUBROVNIK;ZATVOR;DUBROVNIK, B. J. JELAÈIÆA 12;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;002;DOM 65, DUBROVNIK;DOM ZA STARIJE OSOBE DUBROVNIK;BRANITELJA DUBROVNIKA 33;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;003;BROD 06, AP ARGOSY;DUBROVNIK;DUBROVNIK;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;004;BROD 07, AP JADRAN;DUBROVNIK;DUBROVNIK;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;005;BROD 08, MIHO PRACAT;DUBROVNIK;DUBROVNIK;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;006;BROD 09, ZAGREB;DUBROVNIK;DUBROVNIK;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;007;PU 02, DUBROVNIK;ZGRADA OPÆINSKOG SUDA U DUBROVNIKU;DR. ANTE STARÈEVIÆA 23, SOBA BR. 1.;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-27, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0
