date,ZZ,SKORO,GL,Pametno,SDP,HNS,HDZ,HSLS,Most,BM365
2017-02-05,7.71,,,1.79,25.24,3.17,37.04,,9.02,2.24
2017-02-06,7.75,,,1.81,25.21,3.13,37.04,,9.03,2.26
2017-02-07,7.79,,,1.83,25.19,3.09,37.03,,9.04,2.28
2017-02-08,7.84,,,1.84,25.17,3.05,37.02,,9.04,2.3
2017-02-09,7.88,,,1.86,25.14,3.01,37.01,,9.05,2.32
2017-02-10,7.92,,,1.87,25.12,2.97,37.01,,9.06,2.35
2017-02-11,7.96,,,1.89,25.09,2.93,37,,9.07,2.37
2017-02-12,8.01,,,1.91,25.07,2.89,36.99,,9.07,2.39
2017-02-13,8.05,,,1.92,25.05,2.85,36.99,,9.08,2.41
2017-02-14,8.09,,,1.94,25.02,2.81,36.98,,9.09,2.43
2017-02-15,8.13,,,1.95,25,2.78,36.97,,9.1,2.45
2017-02-16,8.18,,,1.97,24.97,2.74,36.97,,9.1,2.47
2017-02-17,8.22,,,1.99,24.95,2.7,36.96,,9.11,2.49
2017-02-18,8.26,,,2,24.93,2.66,36.95,,9.12,2.51
2017-02-19,8.3,,,2.02,24.9,2.62,36.95,,9.13,2.53
2017-02-20,8.35,,,2.03,24.88,2.58,36.94,,9.13,2.55
2017-02-21,8.39,,,2.05,24.85,2.54,36.93,,9.14,2.57
2017-02-22,8.43,,,2.07,24.83,2.5,36.92,,9.15,2.59
2017-02-23,8.47,,,2.08,24.81,2.46,36.92,,9.15,2.61
2017-02-24,8.52,,,2.1,24.78,2.42,36.91,,9.16,2.63
2017-02-25,8.52,,,2.09,24.79,2.51,36.9,,9.17,2.59
2017-02-26,8.51,,,2.09,24.8,2.61,36.89,,9.18,2.54
2017-02-27,8.51,,,2.08,24.81,2.7,36.87,,9.19,2.5
2017-02-28,8.51,,,2.07,24.82,2.79,36.86,,9.2,2.45
2017-03-01,8.51,,,2.07,24.83,2.88,36.85,,9.21,2.4
2017-03-02,8.51,,,2.06,24.83,2.98,36.84,,9.22,2.36
2017-03-03,8.5,,,2.05,24.84,3.07,36.83,,9.23,2.31
2017-03-04,8.5,,,2.05,24.85,3.16,36.81,,9.24,2.27
2017-03-05,8.5,,,2.04,24.86,3.25,36.8,,9.25,2.22
2017-03-06,8.5,,,2.03,24.87,3.35,36.79,,9.26,2.17
2017-03-07,8.48,,,2.04,24.88,3.34,36.77,,9.27,2.2
2017-03-08,8.46,,,2.05,24.89,3.33,36.74,,9.28,2.22
2017-03-09,8.45,,,2.06,24.9,3.33,36.72,,9.3,2.25
2017-03-10,8.43,,,2.07,24.91,3.32,36.69,,9.31,2.28
2017-03-11,8.41,,,2.08,24.93,3.32,36.67,,9.32,2.3
2017-03-12,8.4,,,2.09,24.94,3.31,36.64,,9.34,2.33
2017-03-13,8.38,,,2.1,24.95,3.3,36.62,,9.35,2.35
2017-03-14,8.36,,,2.11,24.96,3.3,36.6,,9.36,2.38
2017-03-15,8.35,,,2.12,24.97,3.29,36.57,,9.38,2.4
2017-03-16,8.33,,,2.13,24.98,3.29,36.55,,9.39,2.43
2017-03-17,8.31,,,2.14,24.99,3.28,36.52,,9.41,2.46
2017-03-18,8.3,,,2.15,25.01,3.27,36.5,,9.42,2.48
2017-03-19,8.28,,,2.16,25.02,3.27,36.47,,9.43,2.51
2017-03-20,8.26,,,2.17,25.03,3.26,36.45,,9.45,2.53
2017-03-21,8.24,,,2.18,25.04,3.26,36.42,,9.46,2.56
2017-03-22,8.23,,,2.18,25.05,3.25,36.4,,9.47,2.58
2017-03-23,8.21,,,2.19,25.06,3.24,36.38,,9.49,2.61
2017-03-24,8.19,,,2.2,25.07,3.24,36.35,,9.5,2.64
2017-03-25,8.2,,,2.21,25.09,3.26,36.34,,9.53,2.57
2017-03-26,8.2,,,2.21,25.12,3.29,36.33,,9.56,2.51
2017-03-27,8.2,,,2.21,25.14,3.31,36.31,,9.58,2.45
2017-03-28,8.21,,,2.21,25.16,3.34,36.3,,9.61,2.38
2017-03-29,8.21,,,2.21,25.18,3.37,36.29,,9.64,2.32
2017-03-30,8.21,,,2.21,25.2,3.39,36.28,,9.66,2.26
2017-03-31,8.22,,,2.21,25.22,3.42,36.27,,9.69,2.19
2017-04-01,8.22,,,2.22,25.24,3.44,36.25,,9.72,2.13
2017-04-02,8.22,,,2.22,25.26,3.47,36.24,,9.75,2.07
2017-04-03,8.22,,,2.22,25.28,3.5,36.23,,9.77,2
2017-04-04,8.23,,,2.22,25.3,3.52,36.22,,9.8,1.94
2017-04-05,8.23,,,2.22,25.32,3.55,36.2,,9.83,1.88
2017-04-06,8.24,,,2.23,25.33,3.52,36.2,,9.81,1.91
2017-04-07,8.25,,,2.24,25.34,3.49,36.19,,9.79,1.95
2017-04-08,8.26,,,2.26,25.34,3.46,36.19,,9.78,1.98
2017-04-09,8.26,,,2.27,25.35,3.43,36.18,,9.76,2.02
2017-04-10,8.27,,,2.28,25.35,3.4,36.18,,9.74,2.05
2017-04-11,8.28,,,2.29,25.36,3.38,36.17,,9.72,2.09
2017-04-12,8.29,,,2.3,25.37,3.35,36.16,,9.71,2.12
2017-04-13,8.3,,,2.31,25.37,3.32,36.16,,9.69,2.16
2017-04-14,8.31,,,2.32,25.38,3.29,36.15,,9.67,2.19
2017-04-15,8.32,,,2.33,25.38,3.26,36.15,,9.66,2.23
2017-04-16,8.33,,,2.34,25.39,3.23,36.14,,9.64,2.27
2017-04-17,8.33,,,2.35,25.4,3.2,36.13,,9.62,2.3
2017-04-18,8.34,,,2.37,25.4,3.17,36.13,,9.61,2.34
2017-04-19,8.35,,,2.38,25.41,3.15,36.12,,9.59,2.37
2017-04-20,8.36,,,2.39,25.42,3.12,36.12,,9.57,2.41
2017-04-21,8.37,,,2.4,25.42,3.09,36.11,,9.55,2.44
2017-04-22,8.38,,,2.41,25.43,3.06,36.11,,9.54,2.48
2017-04-23,8.39,,,2.42,25.43,3.03,36.1,,9.52,2.51
2017-04-24,8.39,,,2.43,25.44,3,36.09,,9.5,2.55
2017-04-25,8.38,,,2.42,25.45,3.04,36.09,,9.53,2.49
2017-04-26,8.37,,,2.41,25.46,3.08,36.09,,9.56,2.43
2017-04-27,8.36,,,2.41,25.47,3.12,36.09,,9.59,2.38
2017-04-28,8.35,,,2.4,25.48,3.16,36.09,,9.61,2.32
2017-04-29,8.34,,,2.39,25.49,3.19,36.09,,9.64,2.26
2017-04-30,8.34,,,2.38,25.5,3.23,36.09,,9.67,2.21
2017-05-01,8.33,,,2.37,25.51,3.27,36.08,,9.7,2.15
2017-05-02,8.32,,,2.36,25.52,3.31,36.08,,9.72,2.09
2017-05-03,8.31,,,2.35,25.53,3.35,36.08,,9.75,2.04
2017-05-04,8.3,,,2.35,25.54,3.38,36.08,,9.78,1.98
2017-05-05,8.29,,,2.34,25.55,3.42,36.08,,9.81,1.92
2017-05-06,8.28,,,2.33,25.56,3.46,36.08,,9.83,1.87
2017-05-07,8.25,,,2.34,25.54,3.44,36.1,,9.8,1.92
2017-05-08,8.23,,,2.34,25.52,3.43,36.13,,9.77,1.97
2017-05-09,8.21,,,2.35,25.5,3.41,36.15,,9.74,2.02
2017-05-10,8.19,,,2.36,25.49,3.39,36.18,,9.71,2.07
2017-05-11,8.17,,,2.36,25.47,3.37,36.2,,9.68,2.12
2017-05-12,8.15,,,2.37,25.45,3.36,36.23,,9.65,2.17
2017-05-13,8.13,,,2.38,25.43,3.34,36.25,,9.61,2.22
2017-05-14,8.11,,,2.38,25.42,3.32,36.28,,9.58,2.27
2017-05-15,8.09,,,2.39,25.4,3.31,36.3,,9.55,2.32
2017-05-16,8.06,,,2.4,25.38,3.29,36.33,,9.52,2.37
2017-05-17,8.04,,,2.4,25.36,3.27,36.35,,9.49,2.42
2017-05-18,8.02,,,2.41,25.35,3.25,36.38,,9.46,2.47
2017-05-19,8,,,2.42,25.33,3.24,36.4,,9.43,2.52
2017-05-20,7.98,,,2.42,25.31,3.22,36.43,,9.4,2.57
2017-05-21,7.96,,,2.43,25.29,3.2,36.45,,9.37,2.61
2017-05-22,7.94,,,2.44,25.28,3.18,36.48,,9.33,2.66
2017-05-23,7.92,,,2.44,25.26,3.17,36.5,,9.3,2.71
2017-05-24,7.89,,,2.45,25.24,3.15,36.53,,9.27,2.76
2017-05-25,7.86,,,2.44,25.26,3.15,36.56,,9.21,2.73
2017-05-26,7.82,,,2.42,25.29,3.15,36.58,,9.16,2.69
2017-05-27,7.79,,,2.41,25.31,3.15,36.61,,9.1,2.65
2017-05-28,7.75,,,2.39,25.33,3.15,36.64,,9.04,2.62
2017-05-29,7.72,,,2.38,25.35,3.15,36.67,,8.98,2.58
2017-05-30,7.68,,,2.36,25.37,3.15,36.7,,8.92,2.54
2017-05-31,7.64,,,2.35,25.39,3.15,36.73,,8.86,2.5
